;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.758;0.786;0.764;0.79;0.86;0.917;0.897;0.786;0.046;0.933;0.591;0.896;0.933;0.498
ENSCAFT00000018912_90_90;0.758;1.0;0.812;0.79;0.817;0.887;0.891;0.923;0.812;0.045;0.96;0.574;0.922;0.96;0.486
ENST00000400304_90_90;0.786;0.812;1.0;0.756;0.711;0.774;0.668;0.752;1.0;0.046;0.85;0.653;0.881;0.85;0.555
ENST00000400305_90_90;0.764;0.79;0.756;1.0;0.857;0.799;0.74;0.834;0.756;0.05;0.828;0.481;0.79;0.828;0.388
ENST00000400308_90_90;0.79;0.817;0.711;0.857;1.0;0.931;0.804;0.899;0.711;0.046;0.85;0.464;0.881;0.85;0.376
ENST00000400309_90_90;0.86;0.887;0.774;0.799;0.931;1.0;0.871;0.965;0.774;0.042;0.919;0.536;0.954;0.919;0.448
ENST00000400310_90_90;0.917;0.891;0.668;0.74;0.804;0.871;1.0;0.906;0.668;0.046;0.858;0.572;0.821;0.858;0.479
ENST00000400314_90_90;0.897;0.923;0.752;0.834;0.899;0.965;0.906;1.0;0.752;0.041;0.957;0.518;0.919;0.957;0.43
ENST00000449640_90_90;0.786;0.812;1.0;0.756;0.711;0.774;0.668;0.752;1.0;0.046;0.85;0.653;0.881;0.85;0.555
ENST00000549265_90_90;0.046;0.045;0.046;0.05;0.046;0.042;0.046;0.041;0.046;1.0;0.042;0.083;0.045;0.042;0.0
ENSMUST00000001148_90_90;0.933;0.96;0.85;0.828;0.85;0.919;0.858;0.957;0.85;0.042;1.0;0.538;0.965;1.0;0.45
ENSMUST00000092393_90_90;0.591;0.574;0.653;0.481;0.464;0.536;0.572;0.518;0.653;0.083;0.538;1.0;0.555;0.538;0.386
ENSMUST00000105411_90_90;0.896;0.922;0.881;0.79;0.881;0.954;0.821;0.919;0.881;0.045;0.965;0.555;1.0;0.965;0.467
ENSMUST00000168465_90_90;0.933;0.96;0.85;0.828;0.85;0.919;0.858;0.957;0.85;0.042;1.0;0.538;0.965;1.0;0.45
ENSMUST00000173854_90_90;0.498;0.486;0.555;0.388;0.376;0.448;0.479;0.43;0.555;0.0;0.45;0.386;0.467;0.45;1.0
