;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript8_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.087;0.025;0.174;0.174;0.174;0.67;0.658;0.395;0.658;0.082;0.658;0.67;0.395
transcript7_ENSPCIG00000036398;0.087;1.0;0.0;0.0;0.0;0.0;0.066;0.065;0.056;0.065;0.575;0.065;0.066;0.056
transcript7_ENSMUNG00000007775;0.025;0.0;1.0;0.311;0.311;0.311;0.016;0.035;0.026;0.035;0.0;0.035;0.016;0.026
transcript16_ENSMUNG00000007775;0.174;0.0;0.311;1.0;1.0;1.0;0.129;0.147;0.021;0.147;0.0;0.147;0.129;0.021
transcript23_ENSMUNG00000007775;0.174;0.0;0.311;1.0;1.0;1.0;0.129;0.147;0.021;0.147;0.0;0.147;0.129;0.021
transcript16_ENSMUNG00000002377;0.174;0.0;0.311;1.0;1.0;1.0;0.129;0.147;0.021;0.147;0.0;0.147;0.129;0.021
transcript10_ENSMUNG00000002391;0.67;0.066;0.016;0.129;0.129;0.129;1.0;0.982;0.719;0.982;0.076;0.982;1.0;0.719
transcript2_ENSHGLG00100006079;0.658;0.065;0.035;0.147;0.147;0.147;0.982;1.0;0.738;1.0;0.074;1.0;0.982;0.738
transcript8_ENSHGLG00100006079;0.395;0.056;0.026;0.021;0.021;0.021;0.719;0.738;1.0;0.738;0.067;0.738;0.719;1.0
transcript2_ENSXMAG00000026005;0.658;0.065;0.035;0.147;0.147;0.147;0.982;1.0;0.738;1.0;0.074;1.0;0.982;0.738
transcript7_ENSXMAG00000026005;0.082;0.575;0.0;0.0;0.0;0.0;0.076;0.074;0.067;0.074;1.0;0.074;0.076;0.067
transcript9_ENSXMAG00000026005;0.658;0.065;0.035;0.147;0.147;0.147;0.982;1.0;0.738;1.0;0.074;1.0;0.982;0.738
transcript10_ENSXMAG00000026005;0.67;0.066;0.016;0.129;0.129;0.129;1.0;0.982;0.719;0.982;0.076;0.982;1.0;0.719
transcript8_ENSXMAG00000026005;0.395;0.056;0.026;0.021;0.021;0.021;0.719;0.738;1.0;0.738;0.067;0.738;0.719;1.0
