;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.16;0.333;0.216;0.448;0.211;0.186;0.0;0.2;0.16
ENST00000166534_90_90;0.0;1.0;0.905;0.905;0.905;1.0;0.7;1.0;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.531;0.485;0.0;0.125;0.0;0.156;0.312;0.136;0.219;0.485
ENST00000360568_90_90;0.0;0.905;1.0;1.0;1.0;0.905;0.7;0.905;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.485;0.531;0.0;0.125;0.0;0.156;0.312;0.136;0.219;0.531
ENST00000379086_90_90;0.0;0.905;1.0;1.0;1.0;0.905;0.7;0.905;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.485;0.531;0.0;0.125;0.0;0.156;0.312;0.136;0.219;0.531
ENST00000379100_90_90;0.0;0.905;1.0;1.0;1.0;0.905;0.7;0.905;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.485;0.531;0.0;0.125;0.0;0.156;0.312;0.136;0.219;0.531
ENST00000379104_90_90;0.0;1.0;0.905;0.905;0.905;1.0;0.7;1.0;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.531;0.485;0.0;0.125;0.0;0.156;0.312;0.136;0.219;0.485
ENST00000395164_90_90;0.0;0.7;0.7;0.7;0.7;0.7;1.0;0.7;0.429;0.824;0.643;0.786;0.286;0.737;0.933;0.857;0.344;0.344;0.0;0.154;0.0;0.192;0.385;0.188;0.269;0.344
ENST00000401867_90_90;0.0;1.0;0.905;0.905;0.905;1.0;0.7;1.0;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.531;0.485;0.0;0.125;0.0;0.156;0.312;0.136;0.219;0.485
ENST00000416053_90_90;0.0;0.3;0.3;0.3;0.3;0.3;0.429;0.3;1.0;0.353;0.667;0.545;0.667;0.316;0.4;0.5;0.094;0.094;0.0;0.158;0.0;0.15;0.12;0.375;0.136;0.094
ENST00000417528_90_90;0.0;0.85;0.85;0.85;0.85;0.85;0.824;0.85;0.353;1.0;0.529;0.647;0.235;0.8;0.882;0.706;0.438;0.438;0.0;0.138;0.0;0.172;0.345;0.158;0.241;0.438
