;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.955;0.97;0.96;0.958;0.959;0.941;0.94;0.984;0.954;0.954
transcript9_MGP-PahariEiJ-G0020237;0.955;1.0;0.925;0.995;0.997;0.914;0.896;0.895;0.939;0.91;0.91
transcript37_MGP-PahariEiJ-G0020237;0.97;0.925;1.0;0.93;0.928;0.989;0.971;0.97;0.956;0.984;0.984
transcript39_MGP-PahariEiJ-G0020237;0.96;0.995;0.93;1.0;0.999;0.919;0.9;0.899;0.944;0.915;0.915
transcript49_MGP-PahariEiJ-G0020237;0.958;0.997;0.928;0.999;1.0;0.917;0.899;0.898;0.942;0.913;0.913
transcript50_MGP-PahariEiJ-G0020237;0.959;0.914;0.989;0.919;0.917;1.0;0.979;0.978;0.946;0.974;0.974
transcript51_MGP-PahariEiJ-G0020237;0.941;0.896;0.971;0.9;0.899;0.979;1.0;0.999;0.928;0.956;0.956
transcript52_MGP-PahariEiJ-G0020237;0.94;0.895;0.97;0.899;0.898;0.978;0.999;1.0;0.927;0.955;0.955
transcript36_ENSRNOG00000031503;0.984;0.939;0.956;0.944;0.942;0.946;0.928;0.927;1.0;0.97;0.97
transcript37_ENSRNOG00000031503;0.954;0.91;0.984;0.915;0.913;0.974;0.956;0.955;0.97;1.0;1.0
transcript44_ENSRNOG00000031503;0.954;0.91;0.984;0.915;0.913;0.974;0.956;0.955;0.97;1.0;1.0
