;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.859;0.23;0.228;0.385;0.365;0.207;0.476;0.371;0.106;0.305;0.392;0.161;0.364;0.036;0.129;0.308;0.207;0.392;0.364;0.311;0.12;0.179;0.248;0.344;0.346;0.34;0.2;0.26;0.352;0.346;0.33;0.346;0.352;0.307;0.351;0.352;0.031;0.203;0.4;0.427;0.054;0.412;0.423;0.052;0.116;0.133;0.18;0.417
ENSCAFT00000021175_90_90;0.859;1.0;0.261;0.259;0.352;0.333;0.198;0.421;0.338;0.101;0.281;0.358;0.153;0.332;0.035;0.122;0.279;0.189;0.358;0.333;0.281;0.115;0.171;0.238;0.398;0.41;0.405;0.262;0.312;0.399;0.394;0.309;0.324;0.33;0.287;0.329;0.33;0.028;0.183;0.37;0.475;0.053;0.464;0.484;0.049;0.112;0.127;0.226;0.47
ENSCAFT00000022869_90_90;0.23;0.261;1.0;0.96;0.31;0.294;0.044;0.222;0.283;0.008;0.127;0.298;0.011;0.28;0.0;0.011;0.354;0.172;0.298;0.295;0.349;0.069;0.022;0.013;0.134;0.142;0.139;0.193;0.176;0.138;0.135;0.318;0.344;0.332;0.406;0.336;0.332;0.039;0.208;0.211;0.139;0.073;0.146;0.145;0.0;0.0;0.127;0.144;0.148
ENSCAFT00000049479_90_90;0.228;0.259;0.96;1.0;0.29;0.275;0.046;0.219;0.264;0.009;0.129;0.278;0.011;0.26;0.0;0.012;0.333;0.176;0.278;0.276;0.328;0.071;0.022;0.014;0.136;0.144;0.141;0.197;0.179;0.14;0.137;0.296;0.323;0.311;0.384;0.315;0.311;0.041;0.203;0.207;0.14;0.075;0.148;0.147;0.0;0.0;0.131;0.147;0.15
ENST00000346964_90_90;0.385;0.352;0.31;0.29;1.0;0.957;0.242;0.738;0.919;0.116;0.413;0.958;0.173;0.892;0.039;0.139;0.661;0.286;0.958;0.96;0.668;0.133;0.208;0.048;0.115;0.113;0.114;0.112;0.135;0.116;0.116;0.571;0.636;0.603;0.613;0.601;0.603;0.043;0.329;0.392;0.165;0.09;0.157;0.163;0.0;0.01;0.119;0.058;0.158
ENST00000357674_90_90;0.365;0.333;0.294;0.275;0.957;1.0;0.204;0.702;0.96;0.121;0.431;0.923;0.181;0.931;0.041;0.145;0.686;0.299;0.923;0.996;0.695;0.139;0.218;0.05;0.092;0.091;0.092;0.083;0.107;0.093;0.093;0.592;0.6;0.573;0.582;0.57;0.573;0.045;0.343;0.408;0.142;0.095;0.134;0.141;0.0;0.01;0.084;0.027;0.135
ENST00000392380_90_90;0.207;0.198;0.044;0.046;0.242;0.204;1.0;0.321;0.209;0.483;0.381;0.248;0.719;0.186;0.162;0.575;0.02;0.042;0.248;0.203;0.021;0.198;0.82;0.098;0.121;0.119;0.12;0.12;0.163;0.122;0.123;0.021;0.054;0.056;0.056;0.056;0.056;0.0;0.0;0.027;0.206;0.062;0.193;0.204;0.0;0.028;0.142;0.146;0.196
ENST00000392381_90_90;0.476;0.421;0.222;0.219;0.738;0.702;0.321;1.0;0.719;0.155;0.55;0.758;0.231;0.69;0.052;0.184;0.475;0.379;0.758;0.699;0.48;0.175;0.277;0.058;0.134;0.131;0.132;0.138;0.162;0.134;0.135;0.4;0.423;0.433;0.439;0.431;0.433;0.056;0.402;0.499;0.193;0.118;0.183;0.192;0.0;0.013;0.152;0.072;0.185
ENST00000392382_90_90;0.371;0.338;0.283;0.264;0.919;0.96;0.209;0.719;1.0;0.124;0.442;0.96;0.185;0.97;0.042;0.148;0.714;0.306;0.96;0.956;0.723;0.142;0.223;0.05;0.094;0.093;0.093;0.084;0.109;0.095;0.095;0.615;0.571;0.594;0.605;0.591;0.594;0.046;0.351;0.416;0.144;0.097;0.136;0.143;0.0;0.011;0.086;0.028;0.137
ENST00000412364_90_90;0.106;0.101;0.008;0.009;0.116;0.121;0.483;0.155;0.124;1.0;0.281;0.119;0.671;0.128;0.335;0.839;0.0;0.0;0.119;0.121;0.0;0.0;0.56;0.085;0.052;0.051;0.051;0.0;0.063;0.052;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.099;0.0;0.1;0.097;0.0;0.038;0.0;0.0;0.101
ENST00000419227_90_90;0.305;0.281;0.127;0.129;0.413;0.431;0.381;0.55;0.442;0.281;1.0;0.424;0.42;0.456;0.094;0.336;0.22;0.402;0.424;0.429;0.223;0.316;0.409;0.08;0.109;0.107;0.107;0.102;0.139;0.11;0.11;0.218;0.206;0.211;0.213;0.21;0.211;0.0;0.179;0.269;0.18;0.138;0.169;0.178;0.0;0.02;0.111;0.048;0.171
ENST00000419354_90_90;0.392;0.358;0.298;0.278;0.958;0.923;0.248;0.758;0.96;0.119;0.424;1.0;0.178;0.931;0.04;0.143;0.689;0.294;1.0;0.919;0.697;0.137;0.214;0.049;0.117;0.115;0.116;0.115;0.138;0.118;0.118;0.594;0.603;0.628;0.639;0.625;0.628;0.044;0.338;0.401;0.167;0.092;0.159;0.166;0.0;0.01;0.121;0.059;0.161
