;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript48_ENSMUGG00000013649;transcript8_ENSRNOG00000031503;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript25_ENSPEMG00000024651;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSMUGG00000013592;transcript47_ENSMUGG00000013649;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;0.552;0.474;0.084;0.077;0.079;0.552;0.533;0.533;0.455;0.348;0.066;0.073;0.079;0.08;1.0;0.079;0.076
transcript47_ENSMUSG00000054036;1.0;1.0;0.552;0.474;0.084;0.077;0.079;0.552;0.533;0.533;0.455;0.348;0.066;0.073;0.079;0.08;1.0;0.079;0.076
transcript55_ENSMUSG00000054036;0.552;0.552;1.0;0.821;0.151;0.139;0.144;0.684;0.697;0.697;0.843;0.737;0.119;0.131;0.142;0.143;0.552;0.142;0.137
transcript42_ENSRNOG00000031503;0.474;0.474;0.821;1.0;0.162;0.149;0.155;0.854;0.827;0.827;0.959;0.85;0.128;0.141;0.153;0.154;0.474;0.153;0.147
transcript54_ENSMUGG00000013592;0.084;0.084;0.151;0.162;1.0;0.809;0.759;0.14;0.144;0.144;0.168;0.15;0.782;0.866;0.788;0.779;0.084;0.769;0.804
transcript53_ENSMUGG00000013592;0.077;0.077;0.139;0.149;0.809;1.0;0.835;0.128;0.132;0.132;0.155;0.138;0.852;0.943;0.865;0.856;0.077;0.846;0.88
transcript48_ENSMUGG00000013649;0.079;0.079;0.144;0.155;0.759;0.835;1.0;0.132;0.137;0.137;0.161;0.144;0.827;0.891;0.814;0.805;0.079;0.816;0.952
transcript8_ENSRNOG00000031503;0.552;0.552;0.684;0.854;0.14;0.128;0.132;1.0;0.963;0.963;0.819;0.71;0.109;0.121;0.131;0.132;0.552;0.131;0.126
transcript8_ENSMSIG00000000513;0.533;0.533;0.697;0.827;0.144;0.132;0.137;0.963;1.0;1.0;0.85;0.741;0.113;0.125;0.135;0.137;0.533;0.136;0.13
transcript8_ENSMUSG00000054036;0.533;0.533;0.697;0.827;0.144;0.132;0.137;0.963;1.0;1.0;0.85;0.741;0.113;0.125;0.135;0.137;0.533;0.136;0.13
transcript42_ENSMUSG00000054036;0.455;0.455;0.843;0.959;0.168;0.155;0.161;0.819;0.85;0.85;1.0;0.891;0.133;0.146;0.158;0.16;0.455;0.16;0.153
transcript54_ENSMUSG00000054036;0.348;0.348;0.737;0.85;0.15;0.138;0.144;0.71;0.741;0.741;0.891;1.0;0.119;0.13;0.141;0.142;0.348;0.142;0.137
transcript25_ENSPEMG00000024651;0.066;0.066;0.119;0.128;0.782;0.852;0.827;0.109;0.113;0.113;0.133;0.119;1.0;0.903;0.833;0.824;0.066;0.836;0.869
transcript28_ENSMUGG00000013592;0.073;0.073;0.131;0.141;0.866;0.943;0.891;0.121;0.125;0.125;0.146;0.13;0.903;1.0;0.922;0.913;0.073;0.902;0.936
transcript52_ENSMUGG00000013592;0.079;0.079;0.142;0.153;0.788;0.865;0.814;0.131;0.135;0.135;0.158;0.141;0.833;0.922;1.0;0.99;0.079;0.977;0.859
transcript7_ENSMUGG00000013592;0.08;0.08;0.143;0.154;0.779;0.856;0.805;0.132;0.137;0.137;0.16;0.142;0.824;0.913;0.99;1.0;0.08;0.987;0.85
transcript47_ENSMUGG00000013649;1.0;1.0;0.552;0.474;0.084;0.077;0.079;0.552;0.533;0.533;0.455;0.348;0.066;0.073;0.079;0.08;1.0;0.079;0.076
transcript7_ENSMUGG00000013649;0.079;0.079;0.142;0.153;0.769;0.846;0.816;0.131;0.136;0.136;0.16;0.142;0.836;0.902;0.977;0.987;0.079;1.0;0.862
transcript44_ENSMUGG00000013649;0.076;0.076;0.137;0.147;0.804;0.88;0.952;0.126;0.13;0.13;0.153;0.137;0.869;0.936;0.859;0.85;0.076;0.862;1.0
