;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00015005362;transcript33_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.999;0.782;0.782;0.782;0.787;0.978;0.978;0.782;0.823;0.782
transcript7_ENSCGRG00000018457;0.999;1.0;0.782;0.782;0.782;0.788;0.98;0.98;0.782;0.823;0.782
transcript33_ENSCGRG00015005362;0.782;0.782;1.0;1.0;1.0;0.993;0.799;0.799;1.0;0.95;1.0
transcript33_ENSCGRG00000018457;0.782;0.782;1.0;1.0;1.0;0.993;0.799;0.799;1.0;0.95;1.0
transcript33_ENSCGRG00001010245;0.782;0.782;1.0;1.0;1.0;0.993;0.799;0.799;1.0;0.95;1.0
transcript41_ENSCGRG00015005362;0.787;0.788;0.993;0.993;0.993;1.0;0.805;0.805;0.993;0.957;0.993
transcript42_ENSCGRG00015005362;0.978;0.98;0.799;0.799;0.799;0.805;1.0;1.0;0.799;0.841;0.799
transcript43_ENSCGRG00015005362;0.978;0.98;0.799;0.799;0.799;0.805;1.0;1.0;0.799;0.841;0.799
transcript46_ENSCGRG00000018457;0.782;0.782;1.0;1.0;1.0;0.993;0.799;0.799;1.0;0.95;1.0
transcript47_ENSCGRG00000018457;0.823;0.823;0.95;0.95;0.95;0.957;0.841;0.841;0.95;1.0;0.95
transcript40_ENSCGRG00001010245;0.782;0.782;1.0;1.0;1.0;0.993;0.799;0.799;1.0;0.95;1.0
