;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.646;0.575;0.748;0.987;0.158;0.158;0.684;0.878;0.639;0.244;0.575;0.878;0.814;0.639;0.742;0.314
ENSCAFT00000025580_90_90;0.646;1.0;0.3;0.473;0.712;0.232;0.232;0.409;0.603;0.364;0.352;0.3;0.603;0.539;0.364;0.467;0.449
ENST00000263846_90_90;0.575;0.3;1.0;0.772;0.587;0.158;0.158;0.843;0.66;0.902;0.435;1.0;0.66;0.711;0.902;0.778;0.129
ENST00000535826_90_90;0.748;0.473;0.772;1.0;0.761;0.219;0.219;0.916;0.652;0.856;0.336;0.773;0.652;0.588;0.857;0.633;0.343
ENST00000539008_90_90;0.987;0.712;0.587;0.761;1.0;0.167;0.167;0.697;0.891;0.652;0.256;0.588;0.891;0.827;0.652;0.755;0.325
ENST00000539246_90_90;0.158;0.232;0.158;0.219;0.167;1.0;1.0;0.136;0.187;0.255;0.318;0.16;0.189;0.117;0.259;0.127;0.52
ENST00000539468_90_90;0.158;0.232;0.158;0.219;0.167;1.0;1.0;0.136;0.187;0.255;0.318;0.16;0.189;0.117;0.259;0.127;0.52
ENST00000540677_90_90;0.684;0.409;0.843;0.916;0.697;0.136;0.136;1.0;0.587;0.772;0.367;0.844;0.588;0.628;0.773;0.68;0.264
ENST00000542670_90_90;0.878;0.603;0.66;0.652;0.891;0.187;0.187;0.587;1.0;0.732;0.287;0.66;1.0;0.928;0.732;0.848;0.216
ENST00000542836_90_90;0.639;0.364;0.902;0.856;0.652;0.255;0.255;0.772;0.732;1.0;0.392;0.902;0.732;0.66;1.0;0.717;0.209
ENST00000545053_90_90;0.244;0.352;0.435;0.336;0.256;0.318;0.318;0.367;0.287;0.392;1.0;0.435;0.287;0.309;0.392;0.338;0.219
ENSMUST00000073899_90_90;0.575;0.3;1.0;0.773;0.588;0.16;0.16;0.844;0.66;0.902;0.435;1.0;0.66;0.711;0.902;0.778;0.129
ENSMUST00000076968_90_90;0.878;0.603;0.66;0.652;0.891;0.189;0.189;0.588;1.0;0.732;0.287;0.66;1.0;0.928;0.732;0.848;0.215
ENSMUST00000169121_90_90;0.814;0.539;0.711;0.588;0.827;0.117;0.117;0.628;0.928;0.66;0.309;0.711;0.928;1.0;0.66;0.914;0.151
ENSMUST00000223586_90_90;0.639;0.364;0.902;0.857;0.652;0.259;0.259;0.773;0.732;1.0;0.392;0.902;0.732;0.66;1.0;0.717;0.208
ENSMUST00000224135_90_90;0.742;0.467;0.778;0.633;0.755;0.127;0.127;0.68;0.848;0.717;0.338;0.778;0.848;0.914;0.717;1.0;0.163
ENSMUST00000225452_90_90;0.314;0.449;0.129;0.343;0.325;0.52;0.52;0.264;0.216;0.209;0.219;0.129;0.215;0.151;0.208;0.163;1.0
