;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.758;0.791;0.962;0.984;0.476;0.114;0.984;0.536;0.143;0.62;0.791;0.751;0.438;0.756;0.343;0.762;0.791;0.756;0.438;0.034;0.024;0.173;0.159;0.0;0.124;0.714;0.722;0.748;0.714;0.311;0.308;0.988;0.919;0.946;0.13;0.177;0.966;0.988;0.762;0.768;0.809;0.751;0.809;0.797;0.789;0.768;0.699;0.732;0.707;0.067;0.025;0.098;0.732;0.699;0.098
ENSCAFT00000019817_90_90;0.758;1.0;0.724;0.732;0.746;0.343;0.113;0.746;0.367;0.145;0.458;0.724;0.7;0.444;0.698;0.353;0.702;0.724;0.698;0.444;0.037;0.026;0.182;0.159;0.0;0.13;0.908;0.919;0.948;0.908;0.38;0.376;0.75;0.728;0.727;0.095;0.182;0.736;0.75;0.703;0.708;0.732;0.701;0.732;0.729;0.722;0.708;0.894;0.933;0.905;0.084;0.038;0.123;0.933;0.894;0.123
ENSCAFT00000022132_90_90;0.791;0.724;1.0;0.779;0.78;0.371;0.098;0.78;0.418;0.125;0.487;0.964;0.893;0.432;0.883;0.332;0.867;0.964;0.883;0.432;0.067;0.027;0.167;0.212;0.0;0.121;0.683;0.691;0.714;0.683;0.3;0.297;0.789;0.75;0.775;0.103;0.158;0.788;0.789;0.896;0.88;0.953;0.927;0.953;0.984;0.976;0.88;0.669;0.7;0.677;0.058;0.023;0.088;0.7;0.669;0.088
ENST00000257414_90_90;0.962;0.732;0.779;1.0;0.978;0.46;0.111;0.978;0.524;0.14;0.612;0.779;0.75;0.424;0.742;0.336;0.747;0.779;0.742;0.424;0.042;0.023;0.169;0.157;0.0;0.121;0.696;0.698;0.722;0.696;0.305;0.302;0.966;0.905;0.91;0.127;0.174;0.988;0.966;0.748;0.752;0.782;0.75;0.782;0.784;0.782;0.752;0.68;0.708;0.683;0.066;0.024;0.096;0.708;0.68;0.096
ENST00000343348_90_90;0.984;0.746;0.78;0.978;1.0;0.47;0.114;1.0;0.536;0.143;0.627;0.78;0.751;0.433;0.756;0.343;0.762;0.78;0.756;0.433;0.034;0.024;0.173;0.15;0.0;0.124;0.709;0.711;0.736;0.709;0.311;0.308;0.988;0.926;0.93;0.13;0.177;0.966;0.988;0.762;0.768;0.797;0.751;0.797;0.785;0.783;0.768;0.694;0.72;0.697;0.067;0.025;0.098;0.72;0.694;0.098
ENST00000503865_90_90;0.476;0.343;0.371;0.46;0.47;1.0;0.0;0.47;0.833;0.0;0.742;0.377;0.4;0.012;0.407;0.0;0.414;0.377;0.407;0.012;0.0;0.0;0.0;0.129;0.0;0.0;0.345;0.347;0.338;0.345;0.112;0.108;0.474;0.504;0.485;0.007;0.0;0.464;0.474;0.407;0.414;0.389;0.393;0.389;0.377;0.374;0.414;0.331;0.325;0.333;0.0;0.0;0.0;0.325;0.331;0.0
ENST00000509665_90_90;0.114;0.113;0.098;0.111;0.114;0.0;1.0;0.114;0.0;0.801;0.0;0.099;0.106;0.231;0.108;0.311;0.111;0.099;0.108;0.231;0.0;0.199;0.571;0.0;0.0;0.762;0.113;0.112;0.108;0.113;0.223;0.225;0.113;0.121;0.115;0.0;0.663;0.111;0.113;0.108;0.111;0.102;0.105;0.102;0.099;0.1;0.111;0.112;0.108;0.11;0.524;0.192;0.73;0.108;0.112;0.73
ENST00000510263_90_90;0.984;0.746;0.78;0.978;1.0;0.47;0.114;1.0;0.536;0.143;0.627;0.78;0.751;0.433;0.756;0.343;0.762;0.78;0.756;0.433;0.034;0.024;0.173;0.15;0.0;0.124;0.709;0.711;0.736;0.709;0.311;0.308;0.988;0.926;0.93;0.13;0.177;0.966;0.988;0.762;0.768;0.797;0.751;0.797;0.785;0.783;0.768;0.694;0.72;0.697;0.067;0.025;0.098;0.72;0.694;0.098
ENST00000513137_90_90;0.536;0.367;0.418;0.524;0.536;0.833;0.0;0.536;1.0;0.0;0.667;0.42;0.372;0.032;0.379;0.0;0.385;0.42;0.379;0.032;0.0;0.0;0.0;0.21;0.0;0.0;0.333;0.371;0.362;0.333;0.103;0.098;0.527;0.465;0.545;0.103;0.0;0.515;0.527;0.379;0.385;0.433;0.372;0.433;0.424;0.421;0.385;0.321;0.35;0.358;0.0;0.0;0.0;0.35;0.321;0.0
ENST00000515009_90_90;0.143;0.145;0.125;0.14;0.143;0.0;0.801;0.143;0.0;1.0;0.0;0.127;0.137;0.288;0.139;0.387;0.141;0.127;0.139;0.288;0.0;0.164;0.72;0.0;0.0;0.84;0.146;0.145;0.14;0.146;0.283;0.286;0.142;0.153;0.146;0.0;0.819;0.139;0.142;0.139;0.141;0.131;0.134;0.131;0.127;0.128;0.141;0.145;0.139;0.144;0.422;0.158;0.591;0.139;0.145;0.591
ENST00000515129_90_90;0.62;0.458;0.487;0.612;0.627;0.742;0.0;0.627;0.667;0.0;1.0;0.485;0.52;0.141;0.525;0.054;0.528;0.485;0.525;0.141;0.052;0.0;0.0;0.15;0.0;0.0;0.469;0.465;0.453;0.469;0.102;0.092;0.623;0.673;0.572;0.091;0.0;0.609;0.623;0.53;0.533;0.496;0.522;0.496;0.49;0.494;0.533;0.454;0.439;0.451;0.0;0.0;0.0;0.439;0.454;0.0
ENST00000316364_90_90;0.791;0.724;0.964;0.779;0.78;0.377;0.099;0.78;0.42;0.127;0.485;1.0;0.926;0.444;0.88;0.332;0.894;1.0;0.88;0.444;0.054;0.028;0.169;0.206;0.0;0.123;0.682;0.691;0.714;0.682;0.304;0.301;0.789;0.75;0.775;0.101;0.16;0.788;0.789;0.867;0.881;0.954;0.893;0.954;0.979;0.97;0.881;0.668;0.7;0.675;0.059;0.024;0.089;0.7;0.668;0.089
ENST00000354744_90_90;0.751;0.7;0.893;0.75;0.751;0.4;0.106;0.751;0.372;0.137;0.52;0.926;1.0;0.448;0.948;0.356;0.964;0.926;0.948;0.448;0.059;0.029;0.182;0.133;0.0;0.133;0.714;0.666;0.691;0.714;0.325;0.322;0.755;0.802;0.734;0.05;0.171;0.754;0.755;0.933;0.95;0.881;0.961;0.881;0.907;0.914;0.95;0.699;0.676;0.652;0.064;0.026;0.096;0.676;0.699;0.096
