;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.5;0.553;0.278;0.553;0.595;0.091;0.361;0.61;0.619;0.417;0.405;0.6;0.243;0.5;0.294
ENST00000379697_90_90;0.5;1.0;0.426;0.149;0.457;0.457;0.073;0.39;0.51;0.49;0.311;0.304;0.469;0.227;0.542;0.209
ENST00000379698_90_90;0.553;0.426;1.0;0.464;0.862;0.929;0.107;0.571;0.419;0.5;0.278;0.27;0.439;0.323;0.386;0.114
ENST00000379716_90_90;0.278;0.149;0.464;1.0;0.464;0.464;0.0;0.107;0.263;0.25;0.5;0.478;0.278;0.167;0.143;0.182
ENST00000379726_90_90;0.553;0.457;0.862;0.464;1.0;0.862;0.107;0.517;0.488;0.5;0.278;0.27;0.439;0.323;0.386;0.114
ENST00000397821_90_90;0.595;0.457;0.929;0.464;0.862;1.0;0.107;0.571;0.452;0.5;0.278;0.27;0.475;0.323;0.386;0.114
ENST00000431164_90_90;0.091;0.073;0.107;0.0;0.107;0.107;1.0;0.167;0.118;0.111;0.0;0.0;0.125;0.286;0.118;0.0
ENST00000432234_90_90;0.361;0.39;0.571;0.107;0.517;0.571;0.167;1.0;0.275;0.359;0.091;0.088;0.289;0.409;0.378;0.0
ENSMUST00000073094_90_90;0.61;0.51;0.419;0.263;0.488;0.452;0.118;0.275;1.0;0.795;0.514;0.5;0.941;0.412;0.659;0.353
ENSMUST00000080394_90_90;0.619;0.49;0.5;0.25;0.5;0.5;0.111;0.359;0.795;1.0;0.486;0.474;0.838;0.389;0.842;0.333
ENSMUST00000112451_90_90;0.417;0.311;0.278;0.5;0.278;0.278;0.0;0.091;0.514;0.486;1.0;0.95;0.545;0.138;0.359;0.632
ENSMUST00000112453_90_90;0.405;0.304;0.27;0.478;0.27;0.27;0.0;0.088;0.5;0.474;0.95;1.0;0.529;0.133;0.35;0.6
ENSMUST00000112456_90_90;0.6;0.469;0.439;0.278;0.439;0.475;0.125;0.289;0.941;0.838;0.545;0.529;1.0;0.438;0.692;0.375
ENSMUST00000123433_90_90;0.243;0.227;0.323;0.167;0.323;0.323;0.286;0.409;0.412;0.389;0.138;0.133;0.438;1.0;0.412;0.0
ENSMUST00000141354_90_90;0.5;0.542;0.386;0.143;0.386;0.386;0.118;0.378;0.659;0.842;0.359;0.35;0.692;0.412;1.0;0.243
ENSMUST00000152426_90_90;0.294;0.209;0.114;0.182;0.114;0.114;0.0;0.0;0.353;0.333;0.632;0.6;0.375;0.0;0.243;1.0
