;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.878;0.876;0.826;0.826;0.822;0.736;0.854;0.882;0.854;0.847;0.838;0.906;0.889;0.906
transcript1_ENSSTOG00000019743;0.878;1.0;0.875;0.738;0.738;0.737;0.826;0.963;0.872;0.963;0.846;0.946;0.902;0.889;0.902
transcript1_ENSCCNG00000000226;0.876;0.875;1.0;0.722;0.722;0.718;0.73;0.85;0.884;0.85;0.963;0.836;0.91;0.895;0.91
transcript10_ENSMLUG00000027828;0.826;0.738;0.722;1.0;1.0;0.995;0.882;0.765;0.777;0.765;0.747;0.748;0.748;0.731;0.748
transcript16_ENSMLUG00000027828;0.826;0.738;0.722;1.0;1.0;0.995;0.882;0.765;0.777;0.765;0.747;0.748;0.748;0.731;0.748
transcript28_ENSMLUG00000027828;0.822;0.737;0.718;0.995;0.995;1.0;0.882;0.764;0.773;0.764;0.743;0.751;0.744;0.734;0.744
transcript9_ENSSTOG00000019743;0.736;0.826;0.73;0.882;0.882;0.882;1.0;0.858;0.774;0.858;0.756;0.84;0.745;0.731;0.745
transcript29_ENSSTOG00000019743;0.854;0.963;0.85;0.765;0.765;0.764;0.858;1.0;0.901;1.0;0.877;0.982;0.869;0.855;0.869
transcript29_ENSCPOG00000024843;0.882;0.872;0.884;0.777;0.777;0.773;0.774;0.901;1.0;0.901;0.91;0.885;0.963;0.945;0.963
transcript30_ENSSTOG00000019743;0.854;0.963;0.85;0.765;0.765;0.764;0.858;1.0;0.901;1.0;0.877;0.982;0.869;0.855;0.869
transcript30_ENSCCNG00000000226;0.847;0.846;0.963;0.747;0.747;0.743;0.756;0.877;0.91;0.877;1.0;0.862;0.877;0.861;0.877
transcript31_ENSSTOG00000019743;0.838;0.946;0.836;0.748;0.748;0.751;0.84;0.982;0.885;0.982;0.862;1.0;0.854;0.869;0.854
transcript35_ENSCPOG00000024843;0.906;0.902;0.91;0.748;0.748;0.744;0.745;0.869;0.963;0.869;0.877;0.854;1.0;0.983;1.0
transcript36_ENSCPOG00000024843;0.889;0.889;0.895;0.731;0.731;0.734;0.731;0.855;0.945;0.855;0.861;0.869;0.983;1.0;0.983
transcript37_ENSCPOG00000024843;0.906;0.902;0.91;0.748;0.748;0.744;0.745;0.869;0.963;0.869;0.877;0.854;1.0;0.983;1.0
