;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.59;0.317;0.557;0.316;0.125;0.195;0.333;0.122;0.262;0.419;0.122
ENST00000285737_90_90;0.59;1.0;0.224;0.965;0.586;0.088;0.138;0.237;0.086;0.186;0.238;0.086
ENST00000416006_90_90;0.317;0.224;1.0;0.232;0.021;0.188;0.533;0.667;0.333;0.588;0.522;0.333
ENST00000535754_90_90;0.557;0.965;0.232;1.0;0.607;0.053;0.143;0.203;0.089;0.172;0.206;0.089
ENST00000565867_90_90;0.316;0.586;0.021;0.607;1.0;0.0;0.0;0.02;0.025;0.021;0.037;0.025
ENST00000566755_90_90;0.125;0.088;0.188;0.053;0.0;1.0;0.077;0.312;0.0;0.2;0.238;0.0
ENST00000570174_90_90;0.195;0.138;0.533;0.143;0.0;0.077;1.0;0.389;0.154;0.375;0.304;0.154
ENSMUST00000034141_90_90;0.333;0.237;0.667;0.203;0.02;0.312;0.389;1.0;0.375;0.812;0.682;0.375
ENSMUST00000121673_90_90;0.122;0.086;0.333;0.089;0.025;0.0;0.154;0.375;1.0;0.462;0.227;1.0
ENSMUST00000122188_90_90;0.262;0.186;0.588;0.172;0.021;0.2;0.375;0.812;0.462;1.0;0.545;0.462
ENSMUST00000155433_90_90;0.419;0.238;0.522;0.206;0.037;0.238;0.304;0.682;0.227;0.545;1.0;0.227
ENSMUST00000163987_90_90;0.122;0.086;0.333;0.089;0.025;0.0;0.154;0.375;1.0;0.462;0.227;1.0
