id_transcript;block_sequence
ENSCAFT00000012216_90_90;0.2.3.4.5.7.9.10.16.18.23.24.25.28.29.30.31.32.33.34.35.36.37
ENST00000320694_90_90;21.24.25.26.29.30.31.32.33.34.35.36.37
ENST00000336483_90_90;22.23.24.25.26.29.30.31.32.33.34.35.36.37
ENST00000517698_90_90;22.23.29
ENST00000519025_90_90;27.29.30.31.32.33.34.35.36
ENST00000520675_90_90;1.2.3.5.6.7.8.9
ENST00000521381_90_90;0.3.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.24.25.26.29.30.31.32.33.34.35.36.37
ENST00000521409_90_90;31.32.33.34.35
ENST00000521657_90_90;0.3.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.24.25.26.29.30.31.32.33.34.35.36.37
ENST00000522084_90_90;15.16.17.18.19.24.25.26.29.30.31
ENST00000523807_90_90;15.16.17.18.19.24.25.26.29.30.31.32
ENST00000523872_90_90;31.32.33.34.35.36.37
ENSMUST00000035532_90_90;22.23.24.25.28.29.30.31.32.33.34.35.36.37
ENSMUST00000055518_90_90;0.3.4.5.7.9.10.11.13.24.25.28.29.30.31.32.33.34.35.36.37
ENSMUST00000185795_90_90;20.24.25.28.29.30.31.32.33
ENSMUST00000187009_90_90;25.28.29.30.31.32.33.34
