;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.55;0.575;0.051;0.312;0.2;0.905;0.214;0.905;0.215;0.249;0.415;0.615;0.97;0.274;0.321
ENST00000320694_90_90;0.55;1.0;0.856;0.037;0.487;0.0;0.487;0.355;0.487;0.24;0.284;0.695;0.879;0.577;0.443;0.524
ENST00000336483_90_90;0.575;0.856;1.0;0.149;0.456;0.0;0.469;0.33;0.469;0.227;0.268;0.647;0.999;0.537;0.385;0.461
ENST00000517698_90_90;0.051;0.037;0.149;1.0;0.051;0.0;0.018;0.0;0.018;0.048;0.044;0.0;0.158;0.026;0.065;0.062
ENST00000519025_90_90;0.312;0.487;0.456;0.051;1.0;0.0;0.253;0.642;0.253;0.152;0.209;0.492;0.502;0.333;0.419;0.734
ENST00000520675_90_90;0.2;0.0;0.0;0.0;0.0;1.0;0.177;0.0;0.177;0.0;0.0;0.0;0.0;0.186;0.0;0.0
ENST00000521381_90_90;0.905;0.487;0.469;0.018;0.253;0.177;1.0;0.181;1.0;0.261;0.288;0.37;0.542;0.924;0.259;0.306
ENST00000521409_90_90;0.214;0.355;0.33;0.0;0.642;0.0;0.181;1.0;0.181;0.055;0.119;0.547;0.344;0.227;0.29;0.619
ENST00000521657_90_90;0.905;0.487;0.469;0.018;0.253;0.177;1.0;0.181;1.0;0.261;0.288;0.37;0.542;0.924;0.259;0.306
ENST00000522084_90_90;0.215;0.24;0.227;0.048;0.152;0.0;0.261;0.055;0.261;1.0;0.896;0.04;0.261;0.175;0.59;0.365
ENST00000523807_90_90;0.249;0.284;0.268;0.044;0.209;0.0;0.288;0.119;0.288;0.896;1.0;0.086;0.315;0.211;0.713;0.461
ENST00000523872_90_90;0.415;0.695;0.647;0.0;0.492;0.0;0.37;0.547;0.37;0.04;0.086;1.0;0.667;0.433;0.195;0.365
ENSMUST00000035532_90_90;0.615;0.879;0.999;0.158;0.502;0.0;0.542;0.344;0.542;0.261;0.315;0.667;1.0;0.536;0.384;0.478
ENSMUST00000055518_90_90;0.97;0.577;0.537;0.026;0.333;0.186;0.924;0.227;0.924;0.175;0.211;0.433;0.536;1.0;0.256;0.311
ENSMUST00000185795_90_90;0.274;0.443;0.385;0.065;0.419;0.0;0.259;0.29;0.259;0.59;0.713;0.195;0.384;0.256;1.0;0.584
ENSMUST00000187009_90_90;0.321;0.524;0.461;0.062;0.734;0.0;0.306;0.619;0.306;0.365;0.461;0.365;0.478;0.311;0.584;1.0
