;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.285;0.4;0.306;0.522;0.305;0.301;0.0;0.304;0.285
ENST00000166534_90_90;0.0;1.0;0.915;0.915;0.915;1.0;0.506;1.0;0.245;0.616;0.332;0.412;0.148;0.528;0.547;0.444;0.859;0.782;0.0;0.156;0.0;0.184;0.35;0.099;0.248;0.782
ENST00000360568_90_90;0.0;0.915;1.0;1.0;1.0;0.915;0.507;0.915;0.245;0.617;0.333;0.413;0.148;0.528;0.547;0.444;0.782;0.859;0.0;0.156;0.0;0.184;0.35;0.099;0.248;0.859
ENST00000379086_90_90;0.0;0.915;1.0;1.0;1.0;0.915;0.507;0.915;0.245;0.617;0.333;0.413;0.148;0.528;0.547;0.444;0.782;0.859;0.0;0.156;0.0;0.184;0.35;0.099;0.248;0.859
ENST00000379100_90_90;0.0;0.915;1.0;1.0;1.0;0.915;0.507;0.915;0.245;0.617;0.333;0.413;0.148;0.528;0.547;0.444;0.782;0.859;0.0;0.156;0.0;0.184;0.35;0.099;0.248;0.859
ENST00000379104_90_90;0.0;1.0;0.915;0.915;0.915;1.0;0.506;1.0;0.245;0.616;0.332;0.412;0.148;0.528;0.547;0.444;0.859;0.782;0.0;0.156;0.0;0.184;0.35;0.099;0.248;0.782
ENST00000395164_90_90;0.0;0.506;0.507;0.507;0.507;0.506;1.0;0.506;0.517;0.823;0.663;0.831;0.294;0.724;0.922;0.887;0.385;0.385;0.0;0.302;0.0;0.347;0.641;0.181;0.459;0.385
ENST00000401867_90_90;0.0;1.0;0.915;0.915;0.915;1.0;0.506;1.0;0.245;0.616;0.332;0.412;0.148;0.528;0.547;0.444;0.859;0.782;0.0;0.156;0.0;0.184;0.35;0.099;0.248;0.782
ENST00000416053_90_90;0.0;0.245;0.245;0.245;0.245;0.245;0.517;0.245;1.0;0.425;0.777;0.619;0.583;0.373;0.477;0.581;0.127;0.127;0.0;0.426;0.0;0.393;0.271;0.412;0.335;0.127
ENST00000417528_90_90;0.0;0.616;0.617;0.617;0.617;0.616;0.823;0.616;0.425;1.0;0.545;0.682;0.241;0.832;0.891;0.729;0.492;0.492;0.0;0.252;0.0;0.289;0.533;0.147;0.382;0.492
ENST00000418055_90_90;0.0;0.332;0.333;0.333;0.333;0.332;0.663;0.332;0.777;0.545;1.0;0.8;0.443;0.48;0.611;0.748;0.213;0.213;0.0;0.439;0.0;0.508;0.421;0.286;0.526;0.213
ENST00000428369_90_90;0.0;0.412;0.413;0.413;0.413;0.412;0.831;0.412;0.619;0.682;0.8;1.0;0.354;0.6;0.765;0.935;0.291;0.291;0.0;0.36;0.0;0.415;0.583;0.225;0.551;0.291
ENST00000428841_90_90;0.0;0.148;0.148;0.148;0.148;0.148;0.294;0.148;0.583;0.241;0.443;0.354;1.0;0.213;0.271;0.332;0.065;0.065;0.0;0.204;0.0;0.185;0.121;0.605;0.153;0.065
ENST00000431054_90_90;0.0;0.528;0.528;0.528;0.528;0.528;0.724;0.528;0.373;0.832;0.48;0.6;0.213;1.0;0.784;0.641;0.52;0.521;0.0;0.332;0.0;0.37;0.622;0.186;0.466;0.521
ENST00000439698_90_90;0.0;0.547;0.547;0.547;0.547;0.547;0.922;0.547;0.477;0.891;0.611;0.765;0.271;0.784;1.0;0.818;0.424;0.424;0.0;0.28;0.0;0.322;0.596;0.166;0.426;0.424
ENST00000453286_90_90;0.0;0.444;0.444;0.444;0.444;0.444;0.887;0.444;0.581;0.729;0.748;0.935;0.332;0.641;0.818;1.0;0.323;0.323;0.0;0.338;0.0;0.389;0.64;0.209;0.516;0.323
ENSMUST00000019050_90_90;0.285;0.859;0.782;0.782;0.782;0.859;0.385;0.859;0.127;0.492;0.213;0.291;0.065;0.52;0.424;0.323;1.0;0.929;0.151;0.377;0.143;0.397;0.527;0.086;0.447;0.929
ENSMUST00000093107_90_90;0.285;0.782;0.859;0.859;0.859;0.782;0.385;0.782;0.127;0.492;0.213;0.291;0.065;0.521;0.424;0.323;0.929;1.0;0.152;0.378;0.144;0.398;0.527;0.086;0.448;1.0
ENSMUST00000125132_90_90;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.151;0.152;1.0;0.332;0.476;0.318;0.246;0.0;0.286;0.152
ENSMUST00000126840_90_90;0.306;0.156;0.156;0.156;0.156;0.156;0.302;0.156;0.426;0.252;0.439;0.36;0.204;0.332;0.28;0.338;0.377;0.378;0.332;1.0;0.302;0.954;0.707;0.209;0.845;0.378
ENSMUST00000129499_90_90;0.522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.143;0.144;0.476;0.302;1.0;0.29;0.229;0.0;0.264;0.144
ENSMUST00000135653_90_90;0.305;0.184;0.184;0.184;0.184;0.184;0.347;0.184;0.393;0.289;0.508;0.415;0.185;0.37;0.322;0.389;0.397;0.398;0.318;0.954;0.29;1.0;0.741;0.2;0.885;0.398
ENSMUST00000138477_90_90;0.301;0.35;0.35;0.35;0.35;0.35;0.641;0.35;0.271;0.533;0.421;0.583;0.121;0.622;0.596;0.64;0.527;0.527;0.246;0.707;0.229;0.741;1.0;0.15;0.838;0.527
ENSMUST00000141258_90_90;0.0;0.099;0.099;0.099;0.099;0.099;0.181;0.099;0.412;0.147;0.286;0.225;0.605;0.186;0.166;0.209;0.086;0.086;0.0;0.209;0.0;0.2;0.15;1.0;0.178;0.086
ENSMUST00000151218_90_90;0.304;0.248;0.248;0.248;0.248;0.248;0.459;0.248;0.335;0.382;0.526;0.551;0.153;0.466;0.426;0.516;0.447;0.448;0.286;0.845;0.264;0.885;0.838;0.178;1.0;0.448
ENSMUST00000174616_90_90;0.285;0.782;0.859;0.859;0.859;0.782;0.385;0.782;0.127;0.492;0.213;0.291;0.065;0.521;0.424;0.323;0.929;1.0;0.152;0.378;0.144;0.398;0.527;0.086;0.448;1.0
