;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;0.882;0.824;0.882;0.875;0.938;0.059;0.667;0.7;0.619;0.65
ENST00000307972_90_90;0.882;1.0;0.938;1.0;0.875;0.938;0.059;0.667;0.619;0.619;0.571
ENST00000373057_90_90;0.824;0.938;1.0;0.938;0.812;0.875;0.062;0.619;0.571;0.65;0.524
ENST00000373060_90_90;0.882;1.0;0.938;1.0;0.875;0.938;0.059;0.667;0.619;0.619;0.571
ENST00000373063_90_90;0.875;0.875;0.812;0.875;1.0;0.933;0.067;0.571;0.6;0.524;0.632
ENST00000409208_90_90;0.938;0.938;0.875;0.938;0.933;1.0;0.062;0.619;0.65;0.571;0.6
ENST00000451305_90_90;0.059;0.059;0.062;0.059;0.067;0.062;1.0;0.05;0.053;0.053;0.056
ENSMUST00000097311_90_90;0.667;0.667;0.619;0.667;0.571;0.619;0.05;1.0;0.947;0.947;0.895
ENSMUST00000113262_90_90;0.7;0.619;0.571;0.619;0.6;0.65;0.053;0.947;1.0;0.895;0.944
ENSMUST00000113263_90_90;0.619;0.619;0.65;0.619;0.524;0.571;0.053;0.947;0.895;1.0;0.842
ENSMUST00000113265_90_90;0.65;0.571;0.524;0.571;0.632;0.6;0.056;0.895;0.944;0.842;1.0
