;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.962;1.0;1.0;1.0;0.962;0.315;0.962;0.191;0.383;0.215;0.275;0.095;0.378;0.345;0.288;0.956;0.994;0.052;0.197;0.049;0.204;0.29;0.038;0.234;0.994
ENST00000166534_90_90;0.962;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.994;0.919;0.052;0.196;0.049;0.203;0.289;0.037;0.233;0.919
ENST00000360568_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.919;0.994;0.052;0.197;0.049;0.204;0.29;0.038;0.234;0.994
ENST00000379086_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.919;0.994;0.052;0.197;0.049;0.204;0.29;0.038;0.234;0.994
ENST00000379100_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.919;0.994;0.052;0.197;0.049;0.204;0.29;0.038;0.234;0.994
ENST00000379104_90_90;0.962;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.994;0.919;0.052;0.196;0.049;0.203;0.289;0.037;0.233;0.919
ENST00000395164_90_90;0.315;0.313;0.315;0.315;0.315;0.313;1.0;0.313;0.606;0.821;0.684;0.875;0.302;0.71;0.911;0.917;0.31;0.311;0.165;0.621;0.144;0.642;0.914;0.119;0.737;0.311
ENST00000401867_90_90;0.962;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.994;0.919;0.052;0.196;0.049;0.203;0.289;0.037;0.233;0.919
ENST00000416053_90_90;0.191;0.19;0.191;0.191;0.191;0.19;0.606;0.19;1.0;0.498;0.887;0.693;0.498;0.431;0.553;0.662;0.187;0.188;0.27;0.923;0.221;0.893;0.634;0.197;0.782;0.188
ENST00000417528_90_90;0.383;0.382;0.383;0.383;0.383;0.382;0.821;0.382;0.498;1.0;0.561;0.718;0.248;0.863;0.9;0.752;0.378;0.379;0.136;0.511;0.121;0.528;0.751;0.098;0.606;0.379
ENST00000418055_90_90;0.215;0.214;0.215;0.215;0.215;0.214;0.684;0.214;0.887;0.561;1.0;0.782;0.442;0.486;0.623;0.746;0.211;0.212;0.24;0.903;0.2;0.934;0.716;0.174;0.883;0.212
ENST00000428369_90_90;0.275;0.274;0.275;0.275;0.275;0.274;0.875;0.274;0.693;0.718;0.782;1.0;0.345;0.621;0.797;0.954;0.271;0.272;0.188;0.709;0.162;0.733;0.918;0.136;0.841;0.272
ENST00000428841_90_90;0.095;0.095;0.095;0.095;0.095;0.095;0.302;0.095;0.498;0.248;0.442;0.345;1.0;0.215;0.275;0.33;0.093;0.094;0.532;0.463;0.376;0.448;0.317;0.198;0.392;0.094
ENST00000431054_90_90;0.378;0.36;0.361;0.361;0.361;0.36;0.71;0.36;0.431;0.863;0.486;0.621;0.215;1.0;0.78;0.651;0.378;0.38;0.143;0.511;0.147;0.529;0.748;0.095;0.605;0.38
