;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.886;0.886;0.851;0.851;0.847;0.76;0.862;0.888;0.862;0.859;0.846;0.913;0.896;0.913
transcript1_ENSSTOG00000019743;0.886;1.0;0.881;0.766;0.766;0.766;0.853;0.963;0.874;0.963;0.854;0.946;0.904;0.89;0.904
transcript1_ENSCCNG00000000226;0.886;0.881;1.0;0.749;0.749;0.745;0.754;0.855;0.89;0.855;0.966;0.84;0.917;0.902;0.917
transcript10_ENSMLUG00000027828;0.851;0.766;0.749;1.0;1.0;0.995;0.888;0.794;0.805;0.794;0.775;0.777;0.775;0.757;0.775
transcript16_ENSMLUG00000027828;0.851;0.766;0.749;1.0;1.0;0.995;0.888;0.794;0.805;0.794;0.775;0.777;0.775;0.757;0.775
transcript28_ENSMLUG00000027828;0.847;0.766;0.745;0.995;0.995;1.0;0.887;0.794;0.801;0.794;0.771;0.78;0.771;0.76;0.771
transcript9_ENSSTOG00000019743;0.76;0.853;0.754;0.888;0.888;0.887;1.0;0.886;0.798;0.886;0.782;0.868;0.768;0.754;0.768
transcript29_ENSSTOG00000019743;0.862;0.963;0.855;0.794;0.794;0.794;0.886;1.0;0.903;1.0;0.881;0.982;0.871;0.857;0.871
transcript29_ENSCPOG00000024843;0.888;0.874;0.89;0.805;0.805;0.801;0.798;0.903;1.0;0.903;0.916;0.887;0.963;0.945;0.963
transcript30_ENSSTOG00000019743;0.862;0.963;0.855;0.794;0.794;0.794;0.886;1.0;0.903;1.0;0.881;0.982;0.871;0.857;0.871
transcript30_ENSCCNG00000000226;0.859;0.854;0.966;0.775;0.775;0.771;0.782;0.881;0.916;0.881;1.0;0.867;0.886;0.87;0.886
transcript31_ENSSTOG00000019743;0.846;0.946;0.84;0.777;0.777;0.78;0.868;0.982;0.887;0.982;0.867;1.0;0.855;0.871;0.855
transcript35_ENSCPOG00000024843;0.913;0.904;0.917;0.775;0.775;0.771;0.768;0.871;0.963;0.871;0.886;0.855;1.0;0.983;1.0
transcript36_ENSCPOG00000024843;0.896;0.89;0.902;0.757;0.757;0.76;0.754;0.857;0.945;0.857;0.87;0.871;0.983;1.0;0.983
transcript37_ENSCPOG00000024843;0.913;0.904;0.917;0.775;0.775;0.771;0.768;0.871;0.963;0.871;0.886;0.855;1.0;0.983;1.0
