;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.0;0.032;0.0;0.071;0.067;0.05;0.067;0.0;0.0;0.071;0.05;0.0;0.0;0.0
ENST00000311089_90_90;0.0;1.0;0.267;0.25;0.0;0.571;0.421;0.158;0.0;0.333;0.167;0.125;0.0;0.5;0.0
ENST00000553645_90_90;0.032;0.267;1.0;0.067;0.433;0.467;0.633;0.467;0.233;0.097;0.387;0.485;0.242;0.156;0.303
ENST00000554113_90_90;0.0;0.25;0.067;1.0;0.0;0.143;0.105;0.143;0.0;0.5;0.154;0.105;0.0;0.125;0.0
ENST00000554159_90_90;0.071;0.0;0.433;0.0;1.0;0.174;0.391;0.5;0.429;0.0;0.368;0.333;0.2;0.0;0.368
ENST00000554339_90_90;0.067;0.571;0.467;0.143;0.174;1.0;0.65;0.4;0.05;0.2;0.421;0.32;0.0;0.312;0.0
ENST00000554871_90_90;0.05;0.421;0.633;0.105;0.391;0.65;1.0;0.737;0.368;0.15;0.524;0.407;0.111;0.238;0.103
ENST00000555631_90_90;0.067;0.158;0.467;0.143;0.5;0.4;0.737;1.0;0.5;0.2;0.688;0.5;0.136;0.105;0.125
ENST00000555919_90_90;0.0;0.0;0.233;0.0;0.429;0.05;0.368;0.5;1.0;0.0;0.25;0.182;0.2;0.0;0.176
ENST00000559993_90_90;0.0;0.333;0.097;0.5;0.0;0.2;0.15;0.2;0.0;1.0;0.214;0.15;0.0;0.375;0.0
ENSMUST00000046340_90_90;0.071;0.167;0.387;0.154;0.368;0.421;0.524;0.688;0.25;0.214;1.0;0.684;0.2;0.111;0.083
ENSMUST00000123491_90_90;0.05;0.125;0.485;0.105;0.333;0.32;0.407;0.5;0.182;0.15;0.684;1.0;0.5;0.083;0.333
ENSMUST00000136159_90_90;0.0;0.0;0.242;0.0;0.2;0.0;0.111;0.136;0.2;0.0;0.2;0.5;1.0;0.0;0.5
ENSMUST00000140812_90_90;0.0;0.5;0.156;0.125;0.0;0.312;0.238;0.105;0.0;0.375;0.111;0.083;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.0;0.0;0.303;0.0;0.368;0.0;0.103;0.125;0.176;0.0;0.083;0.333;0.5;0.0;1.0
