;ENSCAFT00000017209_90_90;ENST00000357258_90_90;ENST00000393785_90_90;ENST00000462705_90_90;ENST00000464560_90_90;ENST00000470311_90_90;ENST00000471418_90_90;ENST00000474710_90_90;ENST00000481632_90_90;ENST00000482689_90_90;ENSMUST00000079441_90_90;ENSMUST00000114690_90_90;ENSMUST00000114691_90_90;ENSMUST00000114694_90_90;ENSMUST00000114695_90_90;ENSMUST00000123047_90_90;ENSMUST00000126100_90_90;ENSMUST00000146708_90_90;ENSMUST00000148775_90_90;ENSMUST00000151244_90_90;ENSMUST00000156367_90_90;ENSMUST00000156981_90_90
ENSCAFT00000017209_90_90;1.0;0.6;0.6;0.6;0.6;0.1;0.6;1.0;0.6;0.2;1.0;0.6;0.6;1.0;1.0;0.0;0.1;0.4;0.3;0.2;0.6;0.5
ENST00000357258_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENST00000393785_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENST00000462705_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENST00000464560_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENST00000470311_90_90;0.1;0.167;0.167;0.167;0.167;1.0;0.167;0.1;0.167;0.0;0.1;0.167;0.167;0.1;0.1;0.0;0.0;0.25;0.333;0.0;0.167;0.2
ENST00000471418_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENST00000474710_90_90;1.0;0.6;0.6;0.6;0.6;0.1;0.6;1.0;0.6;0.2;1.0;0.6;0.6;1.0;1.0;0.0;0.1;0.4;0.3;0.2;0.6;0.5
ENST00000481632_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENST00000482689_90_90;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;1.0;0.2;0.0;0.0;0.2;0.2;0.0;0.5;0.0;0.0;0.333;0.333;0.0
ENSMUST00000079441_90_90;1.0;0.6;0.6;0.6;0.6;0.1;0.6;1.0;0.6;0.2;1.0;0.6;0.6;1.0;1.0;0.0;0.1;0.4;0.3;0.167;0.6;0.5
ENSMUST00000114690_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENSMUST00000114691_90_90;0.6;1.0;1.0;1.0;1.0;0.167;1.0;0.6;1.0;0.0;0.6;1.0;1.0;0.6;0.6;0.0;0.0;0.667;0.5;0.0;0.2;0.833
ENSMUST00000114694_90_90;1.0;0.6;0.6;0.6;0.6;0.1;0.6;1.0;0.6;0.2;1.0;0.6;0.6;1.0;1.0;0.0;0.1;0.4;0.3;0.167;0.6;0.5
ENSMUST00000114695_90_90;1.0;0.6;0.6;0.6;0.6;0.1;0.6;1.0;0.6;0.2;1.0;0.6;0.6;1.0;1.0;0.0;0.1;0.4;0.3;0.167;0.6;0.5
ENSMUST00000123047_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.25;0.0;0.0
ENSMUST00000126100_90_90;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.5;0.1;0.0;0.0;0.1;0.1;0.0;1.0;0.0;0.0;0.0;0.167;0.0
ENSMUST00000146708_90_90;0.4;0.667;0.667;0.667;0.667;0.25;0.667;0.4;0.667;0.0;0.4;0.667;0.667;0.4;0.4;0.0;0.0;1.0;0.75;0.0;0.25;0.8
ENSMUST00000148775_90_90;0.3;0.5;0.5;0.5;0.5;0.333;0.5;0.3;0.5;0.0;0.3;0.5;0.5;0.3;0.3;0.0;0.0;0.75;1.0;0.0;0.286;0.6
ENSMUST00000151244_90_90;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.333;0.167;0.0;0.0;0.167;0.167;0.25;0.0;0.0;0.0;1.0;0.25;0.0
ENSMUST00000156367_90_90;0.6;0.2;0.2;0.2;0.2;0.167;0.2;0.6;0.2;0.333;0.6;0.2;0.2;0.6;0.6;0.0;0.167;0.25;0.286;0.25;1.0;0.222
ENSMUST00000156981_90_90;0.5;0.833;0.833;0.833;0.833;0.2;0.833;0.5;0.833;0.0;0.5;0.833;0.833;0.5;0.5;0.0;0.0;0.8;0.6;0.0;0.222;1.0
