;ENSCAFT00000019569_90_90;ENSCAFT00000036114_90_90;ENST00000334961_90_90;ENST00000338641_90_90;ENST00000353887_90_90;ENST00000361166_90_90;ENST00000361452_90_90;ENST00000361676_90_90;ENST00000397789_90_90;ENST00000403435_90_90;ENST00000403999_90_90;ENST00000413209_90_90;ENST00000432151_90_90;ENSMUST00000053079_90_90;ENSMUST00000056290_90_90;ENSMUST00000093374_90_90;ENSMUST00000109910_90_90;ENSMUST00000124878_90_90;ENSMUST00000137926_90_90;ENSMUST00000152656_90_90;ENSMUST00000164190_90_90;ENSMUST00000172305_90_90
ENSCAFT00000019569_90_90;1.0;0.906;0.797;0.882;0.797;0.972;0.885;0.885;0.972;0.895;0.972;0.265;0.37;1.0;1.0;0.888;0.906;0.166;0.239;0.25;0.423;0.053
ENSCAFT00000036114_90_90;0.906;1.0;0.718;0.927;0.718;0.882;0.8;0.799;0.882;0.81;0.882;0.304;0.359;0.906;0.906;0.801;0.952;0.161;0.233;0.242;0.411;0.052
ENST00000334961_90_90;0.797;0.718;1.0;0.734;1.0;0.819;0.899;0.9;0.819;0.739;0.819;0.105;0.467;0.797;0.797;0.78;0.718;0.053;0.239;0.317;0.378;0.065
ENST00000338641_90_90;0.882;0.927;0.734;1.0;0.734;0.902;0.819;0.818;0.902;0.829;0.902;0.349;0.369;0.882;0.882;0.776;0.927;0.166;0.239;0.249;0.421;0.053
ENST00000353887_90_90;0.797;0.718;1.0;0.734;1.0;0.819;0.899;0.9;0.819;0.739;0.819;0.105;0.467;0.797;0.797;0.78;0.718;0.053;0.239;0.317;0.378;0.065
ENST00000361166_90_90;0.972;0.882;0.819;0.902;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.273;0.381;0.972;0.972;0.861;0.882;0.171;0.245;0.258;0.435;0.054
ENST00000361452_90_90;0.885;0.8;0.899;0.819;0.899;0.91;1.0;0.819;0.91;0.83;0.91;0.189;0.419;0.885;0.885;0.774;0.8;0.084;0.216;0.283;0.479;0.059
ENST00000361676_90_90;0.885;0.799;0.9;0.818;0.9;0.909;0.819;1.0;0.909;0.829;0.909;0.189;0.419;0.885;0.885;0.873;0.799;0.145;0.27;0.283;0.344;0.059
ENST00000397789_90_90;0.972;0.882;0.819;0.902;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.273;0.381;0.972;0.972;0.861;0.882;0.171;0.245;0.258;0.435;0.054
ENST00000403435_90_90;0.895;0.81;0.739;0.829;0.739;0.92;0.83;0.829;0.92;1.0;0.92;0.295;0.415;0.895;0.895;0.783;0.81;0.187;0.266;0.281;0.424;0.058
ENST00000403999_90_90;0.972;0.882;0.819;0.902;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.273;0.381;0.972;0.972;0.861;0.882;0.171;0.245;0.258;0.435;0.054
ENST00000413209_90_90;0.265;0.304;0.105;0.349;0.105;0.273;0.189;0.189;0.273;0.295;0.273;1.0;0.18;0.265;0.265;0.16;0.304;0.455;0.175;0.092;0.342;0.129
ENST00000432151_90_90;0.37;0.359;0.467;0.369;0.467;0.381;0.419;0.419;0.381;0.415;0.381;0.18;1.0;0.37;0.37;0.33;0.359;0.097;0.221;0.675;0.37;0.123
ENSMUST00000053079_90_90;1.0;0.906;0.797;0.882;0.797;0.972;0.885;0.885;0.972;0.895;0.972;0.265;0.37;1.0;1.0;0.888;0.906;0.166;0.239;0.25;0.423;0.053
ENSMUST00000056290_90_90;1.0;0.906;0.797;0.882;0.797;0.972;0.885;0.885;0.972;0.895;0.972;0.265;0.37;1.0;1.0;0.888;0.906;0.166;0.239;0.25;0.423;0.053
ENSMUST00000093374_90_90;0.888;0.801;0.78;0.776;0.78;0.861;0.774;0.873;0.861;0.783;0.861;0.16;0.33;0.888;0.888;1.0;0.801;0.186;0.27;0.281;0.311;0.0
ENSMUST00000109910_90_90;0.906;0.952;0.718;0.927;0.718;0.882;0.8;0.799;0.882;0.81;0.882;0.304;0.359;0.906;0.906;0.801;1.0;0.161;0.233;0.242;0.411;0.052
ENSMUST00000124878_90_90;0.166;0.161;0.053;0.166;0.053;0.171;0.084;0.145;0.171;0.187;0.171;0.455;0.097;0.166;0.166;0.186;0.161;1.0;0.249;0.128;0.154;0.0
ENSMUST00000137926_90_90;0.239;0.233;0.239;0.239;0.239;0.245;0.216;0.27;0.245;0.266;0.245;0.175;0.221;0.239;0.239;0.27;0.233;0.249;1.0;0.291;0.438;0.0
ENSMUST00000152656_90_90;0.25;0.242;0.317;0.249;0.317;0.258;0.283;0.283;0.258;0.281;0.258;0.092;0.675;0.25;0.25;0.281;0.242;0.128;0.291;1.0;0.301;0.0
ENSMUST00000164190_90_90;0.423;0.411;0.378;0.421;0.378;0.435;0.479;0.344;0.435;0.424;0.435;0.342;0.37;0.423;0.423;0.311;0.411;0.154;0.438;0.301;1.0;0.111
ENSMUST00000172305_90_90;0.053;0.052;0.065;0.053;0.065;0.054;0.059;0.059;0.054;0.058;0.054;0.129;0.123;0.053;0.053;0.0;0.052;0.0;0.0;0.0;0.111;1.0
