;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.922;0.922;0.801;0.914;0.778;1.0;0.903;1.0;0.88;0.871;0.871;0.815;0.797;0.749;0.89;0.888;0.863;0.892;0.892;0.892
transcript21_ENSMUNG00000007775;0.922;1.0;1.0;0.879;0.992;0.856;0.922;0.981;0.922;0.958;0.946;0.946;0.891;0.873;0.825;0.968;0.966;0.939;0.968;0.968;0.968
transcript23_ENSMUNG00000007775;0.922;1.0;1.0;0.879;0.992;0.856;0.922;0.981;0.922;0.958;0.946;0.946;0.891;0.873;0.825;0.968;0.966;0.939;0.968;0.968;0.968
transcript25_ENSMUNG00000007775;0.801;0.879;0.879;1.0;0.872;0.735;0.801;0.86;0.801;0.837;0.829;0.829;0.774;0.756;0.708;0.847;0.846;0.822;0.851;0.851;0.851
transcript26_ENSMUNG00000007775;0.914;0.992;0.992;0.872;1.0;0.863;0.914;0.973;0.914;0.962;0.95;0.95;0.894;0.877;0.828;0.972;0.97;0.931;0.961;0.961;0.961
transcript30_ENSMUNG00000007775;0.778;0.856;0.856;0.735;0.863;1.0;0.778;0.837;0.778;0.842;0.834;0.834;0.778;0.76;0.955;0.853;0.851;0.799;0.829;0.829;0.829
transcript31_ENSMUNG00000007775;1.0;0.922;0.922;0.801;0.914;0.778;1.0;0.903;1.0;0.88;0.871;0.871;0.815;0.797;0.749;0.89;0.888;0.863;0.892;0.892;0.892
transcript32_ENSMUNG00000007775;0.903;0.981;0.981;0.86;0.973;0.837;0.903;1.0;0.903;0.938;0.928;0.928;0.872;0.855;0.806;0.949;0.951;0.92;0.95;0.95;0.95
transcript33_ENSMUNG00000007775;1.0;0.922;0.922;0.801;0.914;0.778;1.0;0.903;1.0;0.88;0.871;0.871;0.815;0.797;0.749;0.89;0.888;0.863;0.892;0.892;0.892
transcript9_ENSMUNG00000002377;0.88;0.958;0.958;0.837;0.962;0.842;0.88;0.938;0.88;1.0;0.951;0.951;0.914;0.896;0.824;0.989;0.987;0.901;0.93;0.93;0.93
transcript13_ENSMUNG00000002377;0.871;0.946;0.946;0.829;0.95;0.834;0.871;0.928;0.871;0.951;1.0;1.0;0.943;0.925;0.873;0.961;0.96;0.949;0.978;0.978;0.978
transcript23_ENSMUNG00000002377;0.871;0.946;0.946;0.829;0.95;0.834;0.871;0.928;0.871;0.951;1.0;1.0;0.943;0.925;0.873;0.961;0.96;0.949;0.978;0.978;0.978
transcript27_ENSMUNG00000002377;0.815;0.891;0.891;0.774;0.894;0.778;0.815;0.872;0.815;0.914;0.943;0.943;1.0;0.981;0.816;0.905;0.903;0.893;0.923;0.923;0.923
transcript35_ENSMUNG00000002377;0.797;0.873;0.873;0.756;0.877;0.76;0.797;0.855;0.797;0.896;0.925;0.925;0.981;1.0;0.798;0.887;0.885;0.876;0.905;0.905;0.905
transcript36_ENSMUNG00000002377;0.749;0.825;0.825;0.708;0.828;0.955;0.749;0.806;0.749;0.824;0.873;0.873;0.816;0.798;1.0;0.834;0.832;0.824;0.854;0.854;0.854
transcript37_ENSMUNG00000002377;0.89;0.968;0.968;0.847;0.972;0.853;0.89;0.949;0.89;0.989;0.961;0.961;0.905;0.887;0.834;1.0;0.998;0.911;0.94;0.94;0.94
transcript38_ENSMUNG00000002377;0.888;0.966;0.966;0.846;0.97;0.851;0.888;0.951;0.888;0.987;0.96;0.96;0.903;0.885;0.832;0.998;1.0;0.909;0.939;0.939;0.939
transcript10_ENSMUNG00000002391;0.863;0.939;0.939;0.822;0.931;0.799;0.863;0.92;0.863;0.901;0.949;0.949;0.893;0.876;0.824;0.911;0.909;1.0;0.971;0.971;0.971
transcript23_ENSMUNG00000002391;0.892;0.968;0.968;0.851;0.961;0.829;0.892;0.95;0.892;0.93;0.978;0.978;0.923;0.905;0.854;0.94;0.939;0.971;1.0;1.0;1.0
transcript30_ENSMUNG00000002391;0.892;0.968;0.968;0.851;0.961;0.829;0.892;0.95;0.892;0.93;0.978;0.978;0.923;0.905;0.854;0.94;0.939;0.971;1.0;1.0;1.0
transcript33_ENSMUNG00000002391;0.892;0.968;0.968;0.851;0.961;0.829;0.892;0.95;0.892;0.93;0.978;0.978;0.923;0.905;0.854;0.94;0.939;0.971;1.0;1.0;1.0
