;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.998;0.99;0.791;0.806;0.79;0.829;0.776;0.794;0.789;0.818;0.826;0.845;0.817;0.835;0.838;0.82;0.805;0.816;0.847;0.842;0.765
transcript7_MGP-SPRETEiJ-G0021131;0.998;1.0;0.988;0.833;0.851;0.834;0.875;0.811;0.827;0.825;0.862;0.717;0.744;0.71;0.734;0.73;0.716;0.7;0.712;0.738;0.75;0.704
transcript7_ENSMUSG00000054036;0.99;0.988;1.0;0.828;0.842;0.829;0.876;0.803;0.825;0.847;0.856;0.738;0.769;0.731;0.76;0.776;0.76;0.742;0.756;0.776;0.728;0.708
transcript50_ENSMSIG00000000513;0.791;0.833;0.828;1.0;0.998;1.0;0.962;0.873;0.861;0.89;0.961;0.843;0.793;0.834;0.784;0.861;0.843;0.83;0.864;0.836;0.873;0.902
transcript50_MGP-CAROLIEiJ-G0020234;0.806;0.851;0.842;0.998;1.0;0.998;0.975;0.871;0.865;0.901;0.974;0.752;0.721;0.744;0.714;0.783;0.765;0.752;0.78;0.758;0.788;0.828
transcript50_MGP-PahariEiJ-G0020237;0.79;0.834;0.829;1.0;0.998;1.0;0.962;0.873;0.862;0.89;0.96;0.736;0.724;0.729;0.717;0.755;0.741;0.726;0.758;0.734;0.764;0.803
transcript55_ENSMSIG00000000513;0.829;0.875;0.876;0.962;0.975;0.962;1.0;0.849;0.86;0.928;0.987;0.817;0.793;0.808;0.785;0.901;0.883;0.869;0.879;0.875;0.899;0.925
transcript60_ENSMSIG00000000513;0.776;0.811;0.803;0.873;0.871;0.873;0.849;1.0;0.998;0.915;0.838;0.839;0.807;0.829;0.798;0.766;0.748;0.735;0.768;0.74;0.79;0.784
transcript60_MGP-CAROLIEiJ-G0020234;0.794;0.827;0.825;0.861;0.865;0.862;0.86;0.998;1.0;0.933;0.839;0.746;0.73;0.738;0.722;0.704;0.686;0.672;0.701;0.678;0.708;0.714
transcript64_ENSMSIG00000000513;0.789;0.825;0.847;0.89;0.901;0.89;0.928;0.915;0.933;1.0;0.915;0.766;0.761;0.758;0.752;0.851;0.833;0.819;0.829;0.825;0.831;0.858
transcript67_ENSMSIG00000000513;0.818;0.862;0.856;0.961;0.974;0.96;0.987;0.838;0.839;0.915;1.0;0.804;0.775;0.796;0.766;0.888;0.885;0.857;0.866;0.863;0.899;0.925
transcript59_MGP-SPRETEiJ-G0021131;0.826;0.717;0.738;0.843;0.752;0.736;0.817;0.839;0.746;0.766;0.804;1.0;0.994;0.992;0.986;0.927;0.912;0.896;0.931;0.904;0.93;0.895
transcript59_MGP-CAROLIEiJ-G0020234;0.845;0.744;0.769;0.793;0.721;0.724;0.793;0.807;0.73;0.761;0.775;0.994;1.0;0.986;0.992;0.939;0.921;0.906;0.936;0.913;0.912;0.867
transcript61_MGP-SPRETEiJ-G0021131;0.817;0.71;0.731;0.834;0.744;0.729;0.808;0.829;0.738;0.758;0.796;0.992;0.986;1.0;0.994;0.921;0.905;0.889;0.925;0.897;0.923;0.888
transcript61_MGP-CAROLIEiJ-G0020234;0.835;0.734;0.76;0.784;0.714;0.717;0.785;0.798;0.722;0.752;0.766;0.986;0.992;0.994;1.0;0.93;0.911;0.897;0.927;0.903;0.904;0.859
transcript62_MGP-SPRETEiJ-G0021131;0.838;0.73;0.776;0.861;0.783;0.755;0.901;0.766;0.704;0.851;0.888;0.927;0.939;0.921;0.93;1.0;0.985;0.969;0.982;0.977;0.967;0.965
transcript69_MGP-SPRETEiJ-G0021131;0.82;0.716;0.76;0.843;0.765;0.741;0.883;0.748;0.686;0.833;0.885;0.912;0.921;0.905;0.911;0.985;1.0;0.954;0.967;0.963;0.951;0.951
transcript70_MGP-SPRETEiJ-G0021131;0.805;0.7;0.742;0.83;0.752;0.726;0.869;0.735;0.672;0.819;0.857;0.896;0.906;0.889;0.897;0.969;0.954;1.0;0.951;0.947;0.935;0.936
transcript71_MGP-SPRETEiJ-G0021131;0.816;0.712;0.756;0.864;0.78;0.758;0.879;0.768;0.701;0.829;0.866;0.931;0.936;0.925;0.927;0.982;0.967;0.951;1.0;0.959;0.947;0.947
