;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.884;0.248;0.268;0.248;0.248;0.253;0.255;0.268;0.248;0.248;0.268;0.104;0.242;0.243;0.242;0.243;0.215;0.191;0.192;0.242;0.242;0.172;0.242
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.884;0.248;0.268;0.248;0.248;0.253;0.255;0.268;0.248;0.248;0.268;0.104;0.242;0.243;0.242;0.243;0.215;0.191;0.192;0.242;0.242;0.172;0.242
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.884;0.248;0.268;0.248;0.248;0.253;0.255;0.268;0.248;0.248;0.268;0.104;0.242;0.243;0.242;0.243;0.215;0.191;0.192;0.242;0.242;0.172;0.242
transcript38_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.884;0.248;0.268;0.248;0.248;0.253;0.255;0.268;0.248;0.248;0.268;0.104;0.242;0.243;0.242;0.243;0.215;0.191;0.192;0.242;0.242;0.172;0.242
transcript8_ENSRNOG00000031503;0.884;0.884;0.884;0.884;1.0;0.233;0.251;0.233;0.233;0.237;0.239;0.252;0.233;0.233;0.252;0.102;0.229;0.23;0.229;0.231;0.194;0.17;0.171;0.227;0.227;0.161;0.227
transcript32_ENSCGRG00015005362;0.248;0.248;0.248;0.248;0.233;1.0;0.922;1.0;1.0;0.982;0.974;0.874;1.0;0.95;0.874;0.803;0.852;0.891;0.852;0.889;0.76;0.74;0.742;0.976;0.976;0.902;0.976
transcript33_ENSCGRG00015005362;0.268;0.268;0.268;0.268;0.251;0.922;1.0;0.922;0.922;0.905;0.895;0.945;0.922;0.874;0.945;0.727;0.801;0.841;0.801;0.839;0.684;0.663;0.666;0.899;0.899;0.827;0.899
transcript22_ENSCGRG00000018457;0.248;0.248;0.248;0.248;0.233;1.0;0.922;1.0;1.0;0.982;0.974;0.874;1.0;0.95;0.874;0.803;0.852;0.891;0.852;0.889;0.76;0.74;0.742;0.976;0.976;0.902;0.976
transcript26_ENSCGRG00000018457;0.248;0.248;0.248;0.248;0.233;1.0;0.922;1.0;1.0;0.982;0.974;0.874;1.0;0.95;0.874;0.803;0.852;0.891;0.852;0.889;0.76;0.74;0.742;0.976;0.976;0.902;0.976
transcript42_ENSCGRG00000018457;0.253;0.253;0.253;0.253;0.237;0.982;0.905;0.982;0.982;1.0;0.956;0.857;0.982;0.932;0.857;0.785;0.838;0.877;0.838;0.875;0.75;0.73;0.732;0.958;0.958;0.885;0.958
transcript43_ENSCGRG00000018457;0.255;0.255;0.255;0.255;0.239;0.974;0.895;0.974;0.974;0.956;1.0;0.897;0.974;0.975;0.897;0.825;0.835;0.873;0.835;0.872;0.734;0.713;0.716;0.95;0.95;0.876;0.95
transcript7_ENSCGRG00001010245;0.268;0.268;0.268;0.268;0.252;0.874;0.945;0.874;0.874;0.857;0.897;1.0;0.874;0.922;1.0;0.772;0.805;0.802;0.805;0.8;0.671;0.65;0.646;0.898;0.898;0.825;0.898
