;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.75;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;1.0;1.0
transcript7_ENSMUNG00000007775;0.75;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.773;0.75
transcript7_ENSMUNG00000002377;0.75;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.773;0.75
transcript7_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript19_ENSMUNG00000007775;1.0;0.773;0.773;1.0;1.0;1.0;0.773;1.0;1.0;1.0;1.0;1.0
transcript19_ENSMUNG00000002377;1.0;0.773;0.773;1.0;1.0;1.0;0.773;1.0;1.0;1.0;1.0;1.0
transcript22_ENSMUNG00000007775;0.75;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.773;0.75
transcript23_ENSMUNG00000007775;1.0;0.773;0.773;1.0;1.0;1.0;0.773;1.0;1.0;1.0;1.0;1.0
transcript27_ENSMUNG00000002377;1.0;0.773;0.773;1.0;1.0;1.0;0.773;1.0;1.0;1.0;1.0;1.0
transcript28_ENSMUNG00000002377;1.0;0.773;0.773;1.0;1.0;1.0;0.773;1.0;1.0;1.0;1.0;1.0
transcript3_ENSPNYG00000024266;1.0;0.773;0.773;1.0;1.0;1.0;0.773;1.0;1.0;1.0;1.0;1.0
transcript3_ENSXMAG00000026005;1.0;0.75;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;1.0;1.0
