;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.941;0.54;0.248;0.857;0.863;0.142;0.247;0.718;0.525;0.972
ENST00000280758_90_90;0.941;1.0;0.449;0.22;0.918;0.895;0.139;0.295;0.718;0.467;0.972
ENST00000357167_90_90;0.54;0.449;1.0;0.124;0.373;0.37;0.226;0.089;0.224;1.0;0.458
ENST00000415943_90_90;0.248;0.22;0.124;1.0;0.237;0.229;0.0;0.4;0.357;0.137;0.269
ENST00000420571_90_90;0.857;0.918;0.373;0.237;1.0;0.815;0.152;0.319;0.782;0.39;0.891
ENST00000490090_90_90;0.863;0.895;0.37;0.229;0.815;1.0;0.06;0.305;0.778;0.395;0.896
ENST00000494235_90_90;0.142;0.139;0.226;0.0;0.152;0.06;1.0;0.0;0.0;0.234;0.139
ENST00000550706_90_90;0.247;0.295;0.089;0.4;0.319;0.305;0.0;1.0;0.355;0.092;0.267
ENSMUST00000020231_90_90;0.718;0.718;0.224;0.357;0.782;0.778;0.0;0.355;1.0;0.212;0.763
ENSMUST00000105306_90_90;0.525;0.467;1.0;0.137;0.39;0.395;0.234;0.092;0.212;1.0;0.432
ENSMUST00000105307_90_90;0.972;0.972;0.458;0.269;0.891;0.896;0.139;0.267;0.763;0.432;1.0
