;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.934;0.561;0.184;0.629;0.478;0.358;0.233;0.237;0.072;0.52;0.524;0.561;0.4;0.461;0.175;0.0;0.495
ENSCAFT00000045237_90_90;0.934;1.0;0.595;0.194;0.673;0.505;0.38;0.244;0.251;0.077;0.555;0.553;0.595;0.423;0.488;0.188;0.0;0.524
ENST00000323906_90_90;0.561;0.595;1.0;0.482;0.673;0.855;0.38;0.389;0.539;0.077;0.555;0.863;0.944;0.715;0.698;0.188;0.194;0.846
ENST00000391859_90_90;0.184;0.194;0.482;1.0;0.182;0.472;0.059;0.554;0.728;0.127;0.179;0.402;0.439;0.487;0.401;0.0;0.286;0.452
ENST00000426897_90_90;0.629;0.673;0.673;0.182;1.0;0.555;0.542;0.133;0.253;0.113;0.789;0.615;0.673;0.457;0.541;0.274;0.0;0.582
ENST00000535669_90_90;0.478;0.505;0.855;0.472;0.555;1.0;0.374;0.385;0.529;0.077;0.679;0.744;0.808;0.712;0.695;0.224;0.192;0.897
ENST00000594743_90_90;0.358;0.38;0.38;0.059;0.542;0.374;1.0;0.022;0.108;0.0;0.523;0.35;0.38;0.288;0.351;0.282;0.0;0.391
ENST00000595660_90_90;0.233;0.244;0.389;0.554;0.133;0.385;0.022;1.0;0.577;0.114;0.133;0.333;0.358;0.391;0.32;0.0;0.331;0.371
ENST00000595725_90_90;0.237;0.251;0.539;0.728;0.253;0.529;0.108;0.577;1.0;0.155;0.248;0.449;0.493;0.551;0.454;0.0;0.286;0.512
ENST00000597602_90_90;0.072;0.077;0.077;0.127;0.113;0.077;0.0;0.114;0.155;1.0;0.112;0.07;0.077;0.086;0.09;0.0;0.0;0.081
ENST00000598095_90_90;0.52;0.555;0.555;0.179;0.789;0.679;0.523;0.133;0.248;0.112;1.0;0.511;0.555;0.456;0.54;0.333;0.0;0.63
ENSMUST00000033063_90_90;0.524;0.553;0.863;0.402;0.615;0.744;0.35;0.333;0.449;0.07;0.511;1.0;0.911;0.698;0.782;0.171;0.206;0.82
ENSMUST00000098461_90_90;0.561;0.595;0.944;0.439;0.673;0.808;0.38;0.358;0.493;0.077;0.555;0.911;1.0;0.763;0.746;0.188;0.223;0.897
ENSMUST00000209779_90_90;0.4;0.423;0.715;0.487;0.457;0.712;0.288;0.391;0.551;0.086;0.456;0.698;0.763;1.0;0.746;0.083;0.247;0.794
ENSMUST00000210078_90_90;0.461;0.488;0.698;0.401;0.541;0.695;0.351;0.32;0.454;0.09;0.54;0.782;0.746;0.746;1.0;0.14;0.17;0.776
ENSMUST00000210226_90_90;0.175;0.188;0.188;0.0;0.274;0.224;0.282;0.0;0.0;0.0;0.333;0.171;0.188;0.083;0.14;1.0;0.0;0.235
ENSMUST00000210372_90_90;0.0;0.0;0.194;0.286;0.0;0.192;0.0;0.331;0.286;0.0;0.0;0.206;0.223;0.247;0.17;0.0;1.0;0.23
ENSMUST00000211373_90_90;0.495;0.524;0.846;0.452;0.582;0.897;0.391;0.371;0.512;0.081;0.63;0.82;0.897;0.794;0.776;0.235;0.23;1.0
