;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.959;0.827;0.962;0.408;0.959;0.408;0.117;0.408;0.346;0.826;0.962;0.072;0.372;0.495;0.965;0.214;0.871
ENST00000367378_90_90;0.959;1.0;0.845;0.879;0.425;1.0;0.409;0.136;0.419;0.356;0.876;0.999;0.072;0.32;0.512;0.89;0.222;0.903
ENST00000367380_90_90;0.827;0.845;1.0;0.735;0.277;0.845;0.267;0.158;0.272;0.269;0.721;0.867;0.0;0.2;0.38;0.764;0.157;0.77
ENST00000367384_90_90;0.962;0.879;0.735;1.0;0.424;0.879;0.408;0.136;0.418;0.356;0.763;0.889;0.074;0.33;0.53;0.998;0.23;0.798
ENST00000460828_90_90;0.408;0.425;0.277;0.424;1.0;0.425;0.783;0.269;0.802;0.135;0.482;0.408;0.169;0.707;0.168;0.425;0.134;0.312
ENST00000464889_90_90;0.959;1.0;0.845;0.879;0.425;1.0;0.409;0.136;0.419;0.356;0.876;0.999;0.072;0.32;0.512;0.89;0.222;0.903
ENST00000484601_90_90;0.408;0.409;0.267;0.408;0.783;0.409;1.0;0.255;0.754;0.128;0.462;0.373;0.218;0.883;0.149;0.386;0.116;0.287
ENST00000486585_90_90;0.117;0.136;0.158;0.136;0.269;0.136;0.255;1.0;0.257;0.0;0.153;0.117;0.0;0.281;0.0;0.12;0.0;0.128
ENST00000494411_90_90;0.408;0.419;0.272;0.418;0.802;0.419;0.754;0.257;1.0;0.132;0.474;0.408;0.169;0.707;0.168;0.425;0.134;0.312
ENST00000495487_90_90;0.346;0.356;0.269;0.356;0.135;0.356;0.128;0.0;0.132;1.0;0.232;0.347;0.197;0.105;0.676;0.36;0.641;0.385
ENST00000544496_90_90;0.826;0.876;0.721;0.763;0.482;0.876;0.462;0.153;0.474;0.232;1.0;0.866;0.082;0.364;0.38;0.763;0.135;0.77
ENSMUST00000159917_90_90;0.962;0.999;0.867;0.889;0.408;0.999;0.373;0.117;0.408;0.347;0.866;1.0;0.098;0.36;0.475;0.879;0.24;0.913
ENSMUST00000159977_90_90;0.072;0.072;0.0;0.074;0.169;0.072;0.218;0.0;0.169;0.197;0.082;0.098;1.0;0.272;0.163;0.098;0.368;0.108
ENSMUST00000161123_90_90;0.372;0.32;0.2;0.33;0.707;0.32;0.883;0.281;0.707;0.105;0.364;0.36;0.272;1.0;0.17;0.359;0.163;0.348
ENSMUST00000161428_90_90;0.495;0.512;0.38;0.53;0.168;0.512;0.149;0.0;0.168;0.676;0.38;0.475;0.163;0.17;1.0;0.474;0.408;0.518
ENSMUST00000162606_90_90;0.965;0.89;0.764;0.998;0.425;0.89;0.386;0.12;0.425;0.36;0.763;0.879;0.098;0.359;0.474;1.0;0.24;0.8
ENSMUST00000162682_90_90;0.214;0.222;0.157;0.23;0.134;0.222;0.116;0.0;0.134;0.641;0.135;0.24;0.368;0.163;0.408;0.24;1.0;0.264
ENSMUST00000163085_90_90;0.871;0.903;0.77;0.798;0.312;0.903;0.287;0.128;0.312;0.385;0.77;0.913;0.108;0.348;0.518;0.8;0.264;1.0
