;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.952;0.952;0.882;0.929;0.649;1.0;0.923;1.0;0.869;0.921;0.921;0.865;0.842;0.674;0.888;0.873;0.913;0.936;0.936;0.936
transcript21_ENSMUNG00000007775;0.952;1.0;1.0;0.93;0.978;0.697;0.952;0.972;0.952;0.922;0.973;0.973;0.917;0.893;0.727;0.941;0.926;0.96;0.984;0.984;0.984
transcript23_ENSMUNG00000007775;0.952;1.0;1.0;0.93;0.978;0.697;0.952;0.972;0.952;0.922;0.973;0.973;0.917;0.893;0.727;0.941;0.926;0.96;0.984;0.984;0.984
transcript25_ENSMUNG00000007775;0.882;0.93;0.93;1.0;0.908;0.627;0.882;0.902;0.882;0.847;0.9;0.9;0.844;0.821;0.654;0.867;0.851;0.892;0.916;0.916;0.916
transcript26_ENSMUNG00000007775;0.929;0.978;0.978;0.908;1.0;0.711;0.929;0.95;0.929;0.909;0.96;0.96;0.904;0.881;0.714;0.929;0.913;0.938;0.962;0.962;0.962
transcript30_ENSMUNG00000007775;0.649;0.697;0.697;0.627;0.711;1.0;0.649;0.668;0.649;0.664;0.717;0.717;0.661;0.637;0.955;0.683;0.668;0.659;0.683;0.683;0.683
transcript31_ENSMUNG00000007775;1.0;0.952;0.952;0.882;0.929;0.649;1.0;0.923;1.0;0.869;0.921;0.921;0.865;0.842;0.674;0.888;0.873;0.913;0.936;0.936;0.936
transcript32_ENSMUNG00000007775;0.923;0.972;0.972;0.902;0.95;0.668;0.923;1.0;0.923;0.883;0.935;0.935;0.879;0.856;0.689;0.903;0.916;0.932;0.956;0.956;0.956
transcript33_ENSMUNG00000007775;1.0;0.952;0.952;0.882;0.929;0.649;1.0;0.923;1.0;0.869;0.921;0.921;0.865;0.842;0.674;0.888;0.873;0.913;0.936;0.936;0.936
transcript9_ENSMUNG00000002377;0.869;0.922;0.922;0.847;0.909;0.664;0.869;0.883;0.869;1.0;0.909;0.909;0.889;0.867;0.649;0.98;0.964;0.871;0.899;0.899;0.899
transcript13_ENSMUNG00000002377;0.921;0.973;0.973;0.9;0.96;0.717;0.921;0.935;0.921;0.909;1.0;1.0;0.945;0.923;0.739;0.928;0.914;0.962;0.989;0.989;0.989
transcript23_ENSMUNG00000002377;0.921;0.973;0.973;0.9;0.96;0.717;0.921;0.935;0.921;0.909;1.0;1.0;0.945;0.923;0.739;0.928;0.914;0.962;0.989;0.989;0.989
transcript27_ENSMUNG00000002377;0.865;0.917;0.917;0.844;0.904;0.661;0.865;0.879;0.865;0.889;0.945;0.945;1.0;0.976;0.684;0.873;0.859;0.907;0.935;0.935;0.935
transcript35_ENSMUNG00000002377;0.842;0.893;0.893;0.821;0.881;0.637;0.842;0.856;0.842;0.867;0.923;0.923;0.976;1.0;0.662;0.851;0.837;0.885;0.913;0.913;0.913
transcript36_ENSMUNG00000002377;0.674;0.727;0.727;0.654;0.714;0.955;0.674;0.689;0.674;0.649;0.739;0.739;0.684;0.662;1.0;0.667;0.653;0.702;0.73;0.73;0.73
transcript37_ENSMUNG00000002377;0.888;0.941;0.941;0.867;0.929;0.683;0.888;0.903;0.888;0.98;0.928;0.928;0.873;0.851;0.667;1.0;0.984;0.889;0.917;0.917;0.917
transcript38_ENSMUNG00000002377;0.873;0.926;0.926;0.851;0.913;0.668;0.873;0.916;0.873;0.964;0.914;0.914;0.859;0.837;0.653;0.984;1.0;0.875;0.903;0.903;0.903
transcript10_ENSMUNG00000002391;0.913;0.96;0.96;0.892;0.938;0.659;0.913;0.932;0.913;0.871;0.962;0.962;0.907;0.885;0.702;0.889;0.875;1.0;0.976;0.976;0.976
transcript23_ENSMUNG00000002391;0.936;0.984;0.984;0.916;0.962;0.683;0.936;0.956;0.936;0.899;0.989;0.989;0.935;0.913;0.73;0.917;0.903;0.976;1.0;1.0;1.0
transcript30_ENSMUNG00000002391;0.936;0.984;0.984;0.916;0.962;0.683;0.936;0.956;0.936;0.899;0.989;0.989;0.935;0.913;0.73;0.917;0.903;0.976;1.0;1.0;1.0
transcript33_ENSMUNG00000002391;0.936;0.984;0.984;0.916;0.962;0.683;0.936;0.956;0.936;0.899;0.989;0.989;0.935;0.913;0.73;0.917;0.903;0.976;1.0;1.0;1.0
