;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;0.939;0.479;0.939;0.897;0.897;0.406;0.076;0.322;0.222;0.322;0.958;0.566;0.407;0.958;0.964;0.161;0.048;0.194;1.0;0.371;0.114
ENST00000339266_90_90;0.939;1.0;0.525;1.0;0.91;0.91;0.393;0.069;0.296;0.2;0.33;0.865;0.461;0.428;0.865;0.881;0.184;0.048;0.191;0.914;0.393;0.111
ENST00000340491_90_90;0.479;0.525;1.0;0.525;0.461;0.461;0.681;0.118;0.496;0.339;0.565;0.42;0.824;0.756;0.42;0.479;0.318;0.089;0.335;0.461;0.696;0.194
ENST00000373907_90_90;0.939;1.0;0.525;1.0;0.91;0.91;0.393;0.069;0.296;0.2;0.33;0.865;0.461;0.428;0.865;0.881;0.184;0.048;0.191;0.914;0.393;0.111
ENST00000373913_90_90;0.897;0.91;0.461;0.91;1.0;1.0;0.383;0.067;0.321;0.194;0.343;0.897;0.421;0.446;0.897;0.838;0.192;0.05;0.199;0.871;0.409;0.116
ENST00000401952_90_90;0.897;0.91;0.461;0.91;1.0;1.0;0.383;0.067;0.321;0.194;0.343;0.897;0.421;0.446;0.897;0.838;0.192;0.05;0.199;0.871;0.409;0.116
ENST00000475894_90_90;0.406;0.393;0.681;0.393;0.383;0.383;1.0;0.173;0.623;0.493;0.645;0.433;0.708;1.0;0.433;0.436;0.42;0.119;0.442;0.419;0.922;0.256
ENST00000482872_90_90;0.076;0.069;0.118;0.069;0.067;0.067;0.173;1.0;0.186;0.352;0.196;0.076;0.123;0.173;0.076;0.076;0.0;0.7;0.391;0.074;0.188;0.677
ENST00000489701_90_90;0.322;0.296;0.496;0.296;0.321;0.321;0.623;0.186;1.0;0.53;0.981;0.334;0.532;0.647;0.334;0.336;0.369;0.137;0.503;0.324;0.694;0.29
ENST00000495241_90_90;0.222;0.2;0.339;0.2;0.194;0.194;0.493;0.352;0.53;1.0;0.557;0.222;0.353;0.493;0.222;0.223;0.13;0.251;0.903;0.213;0.536;0.52
ENSMUST00000000094_90_90;0.322;0.33;0.565;0.33;0.343;0.343;0.645;0.196;0.981;0.557;1.0;0.321;0.496;0.623;0.321;0.306;0.353;0.132;0.478;0.296;0.665;0.276
ENSMUST00000070782_90_90;0.958;0.865;0.42;0.865;0.897;0.897;0.433;0.076;0.334;0.222;0.321;1.0;0.461;0.383;1.0;0.881;0.164;0.042;0.17;0.91;0.352;0.1
ENSMUST00000099145_90_90;0.566;0.461;0.824;0.461;0.421;0.421;0.708;0.123;0.532;0.353;0.496;0.461;1.0;0.681;0.461;0.542;0.287;0.08;0.301;0.525;0.627;0.175
ENSMUST00000109566_90_90;0.407;0.428;0.756;0.428;0.446;0.446;1.0;0.173;0.647;0.493;0.623;0.383;0.681;1.0;0.383;0.408;0.42;0.119;0.442;0.393;0.922;0.256
ENSMUST00000109567_90_90;0.958;0.865;0.42;0.865;0.897;0.897;0.433;0.076;0.334;0.222;0.321;1.0;0.461;0.383;1.0;0.881;0.164;0.042;0.17;0.91;0.352;0.1
ENSMUST00000109568_90_90;0.964;0.881;0.479;0.881;0.838;0.838;0.436;0.076;0.336;0.223;0.306;0.881;0.542;0.408;0.881;1.0;0.175;0.045;0.181;0.969;0.374;0.106
ENSMUST00000131157_90_90;0.161;0.184;0.318;0.184;0.192;0.192;0.42;0.0;0.369;0.13;0.353;0.164;0.287;0.42;0.164;0.175;1.0;0.0;0.068;0.169;0.456;0.0
ENSMUST00000137356_90_90;0.048;0.048;0.089;0.048;0.05;0.05;0.119;0.7;0.137;0.251;0.132;0.042;0.08;0.119;0.042;0.045;0.0;1.0;0.272;0.043;0.129;0.476
ENSMUST00000146412_90_90;0.194;0.191;0.335;0.191;0.199;0.199;0.442;0.391;0.503;0.903;0.478;0.17;0.301;0.442;0.17;0.181;0.068;0.272;1.0;0.175;0.48;0.578
ENSMUST00000169464_90_90;1.0;0.914;0.461;0.914;0.871;0.871;0.419;0.074;0.324;0.213;0.296;0.91;0.525;0.393;0.91;0.969;0.169;0.043;0.175;1.0;0.362;0.103
ENSMUST00000171030_90_90;0.371;0.393;0.696;0.393;0.409;0.409;0.922;0.188;0.694;0.536;0.665;0.352;0.627;0.922;0.352;0.374;0.456;0.129;0.48;0.362;1.0;0.277
ENSMUST00000177013_90_90;0.114;0.111;0.194;0.111;0.116;0.116;0.256;0.677;0.29;0.52;0.276;0.1;0.175;0.256;0.1;0.106;0.0;0.476;0.578;0.103;0.277;1.0
