;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.933;0.708;0.786;0.741;0.57;0.603;0.532;0.139;0.41;0.897;0.718;0.753;0.619;0.57;0.34;0.278;0.587;0.177;0.352;0.746
ENST00000264731_90_90;0.933;1.0;0.768;0.845;0.801;0.623;0.655;0.58;0.139;0.453;0.962;0.718;0.809;0.619;0.57;0.34;0.278;0.587;0.203;0.352;0.746
ENST00000320472_90_90;0.708;0.768;1.0;0.623;0.87;0.8;0.694;0.744;0.169;0.574;0.729;0.495;0.587;0.42;0.593;0.434;0.345;0.387;0.255;0.443;0.539
ENST00000354600_90_90;0.786;0.845;0.623;1.0;0.655;0.748;0.786;0.453;0.19;0.552;0.809;0.856;0.961;0.732;0.449;0.428;0.35;0.698;0.102;0.247;0.619
ENST00000392460_90_90;0.741;0.801;0.87;0.655;1.0;0.694;0.809;0.713;0.164;0.55;0.762;0.528;0.619;0.449;0.691;0.414;0.331;0.417;0.241;0.422;0.57
ENST00000392461_90_90;0.57;0.623;0.8;0.748;0.694;1.0;0.861;0.574;0.239;0.726;0.587;0.604;0.708;0.51;0.452;0.57;0.446;0.476;0.126;0.308;0.42
ENST00000392463_90_90;0.603;0.655;0.694;0.786;0.809;0.861;1.0;0.55;0.229;0.691;0.619;0.643;0.747;0.543;0.54;0.536;0.425;0.509;0.12;0.294;0.449
ENST00000418709_90_90;0.532;0.58;0.744;0.453;0.713;0.574;0.55;1.0;0.185;0.778;0.544;0.332;0.418;0.278;0.461;0.476;0.373;0.247;0.272;0.478;0.384
ENST00000434928_90_90;0.139;0.139;0.169;0.19;0.164;0.239;0.229;0.185;1.0;0.262;0.143;0.072;0.196;0.164;0.135;0.263;0.226;0.169;0.327;0.157;0.114
ENST00000437221_90_90;0.41;0.453;0.574;0.552;0.55;0.726;0.691;0.778;0.262;1.0;0.418;0.417;0.515;0.35;0.331;0.631;0.489;0.317;0.135;0.331;0.278
ENST00000440651_90_90;0.897;0.962;0.729;0.809;0.762;0.587;0.619;0.544;0.143;0.418;1.0;0.681;0.84;0.587;0.535;0.308;0.247;0.605;0.207;0.361;0.712
ENST00000449992_90_90;0.718;0.718;0.495;0.856;0.528;0.604;0.643;0.332;0.072;0.417;0.681;1.0;0.817;0.658;0.376;0.335;0.266;0.621;0.0;0.17;0.55
ENST00000456148_90_90;0.753;0.809;0.587;0.961;0.619;0.708;0.747;0.418;0.196;0.515;0.84;0.817;1.0;0.698;0.417;0.393;0.317;0.721;0.104;0.253;0.587
ENSMUST00000040231_90_90;0.619;0.619;0.42;0.732;0.449;0.51;0.543;0.278;0.164;0.35;0.587;0.658;0.698;1.0;0.643;0.44;0.535;0.958;0.104;0.398;0.841
ENSMUST00000065523_90_90;0.57;0.57;0.593;0.449;0.691;0.452;0.54;0.461;0.135;0.331;0.535;0.376;0.417;0.643;1.0;0.427;0.531;0.605;0.246;0.649;0.792
ENSMUST00000115304_90_90;0.34;0.34;0.434;0.428;0.414;0.57;0.536;0.476;0.263;0.631;0.308;0.335;0.393;0.44;0.427;1.0;0.657;0.403;0.158;0.445;0.349
ENSMUST00000115305_90_90;0.278;0.278;0.345;0.35;0.331;0.446;0.425;0.373;0.226;0.489;0.247;0.266;0.317;0.535;0.531;0.657;1.0;0.496;0.138;0.708;0.433
ENSMUST00000115306_90_90;0.587;0.587;0.387;0.698;0.417;0.476;0.509;0.247;0.169;0.317;0.605;0.621;0.721;0.958;0.605;0.403;0.496;1.0;0.106;0.41;0.802
ENSMUST00000115307_90_90;0.177;0.203;0.255;0.102;0.241;0.126;0.12;0.272;0.327;0.135;0.207;0.0;0.104;0.104;0.246;0.158;0.138;0.106;1.0;0.285;0.206
ENSMUST00000115308_90_90;0.352;0.352;0.443;0.247;0.422;0.308;0.294;0.478;0.157;0.331;0.361;0.17;0.253;0.398;0.649;0.445;0.708;0.41;0.285;1.0;0.525
ENSMUST00000115310_90_90;0.746;0.746;0.539;0.619;0.57;0.42;0.449;0.384;0.114;0.278;0.712;0.55;0.587;0.841;0.792;0.349;0.433;0.802;0.206;0.525;1.0
