;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.794;0.595;0.438;0.676;0.394;0.194;0.194;0.371;0.429;0.225;0.362;0.351;0.263;0.391;0.263
ENST00000158771_90_90;0.794;1.0;0.657;0.5;0.743;0.5;0.235;0.235;0.343;0.441;0.231;0.312;0.361;0.27;0.34;0.205
ENST00000570848_90_90;0.595;0.657;1.0;0.483;0.903;0.536;0.25;0.25;0.406;0.679;0.211;0.298;0.382;0.286;0.298;0.154
ENST00000571476_90_90;0.438;0.5;0.483;1.0;0.438;0.579;0.227;0.227;0.067;0.7;0.375;0.231;0.417;0.455;0.231;0.032
ENST00000571971_90_90;0.676;0.743;0.903;0.438;1.0;0.484;0.229;0.229;0.455;0.613;0.195;0.362;0.351;0.263;0.362;0.231
ENST00000572834_90_90;0.394;0.5;0.536;0.579;0.484;1.0;0.421;0.421;0.032;0.545;0.32;0.231;0.259;0.333;0.231;0.032
ENST00000573637_90_90;0.194;0.235;0.25;0.227;0.229;0.421;1.0;1.0;0.0;0.24;0.154;0.098;0.069;0.16;0.098;0.0
ENST00000574952_90_90;0.194;0.235;0.25;0.227;0.229;0.421;1.0;1.0;0.0;0.24;0.154;0.098;0.069;0.16;0.098;0.0
ENST00000575605_90_90;0.371;0.343;0.406;0.067;0.455;0.032;0.0;0.0;1.0;0.2;0.0;0.22;0.161;0.03;0.25;0.417
ENST00000576551_90_90;0.429;0.441;0.679;0.7;0.613;0.545;0.24;0.24;0.2;1.0;0.276;0.3;0.357;0.385;0.3;0.125
ENSMUST00000018586_90_90;0.225;0.231;0.211;0.375;0.195;0.32;0.154;0.154;0.0;0.276;1.0;0.545;0.423;0.75;0.545;0.061
ENSMUST00000108523_90_90;0.362;0.312;0.298;0.231;0.362;0.231;0.098;0.098;0.22;0.3;0.545;1.0;0.268;0.429;0.941;0.471
ENSMUST00000131340_90_90;0.351;0.361;0.382;0.417;0.351;0.259;0.069;0.069;0.161;0.357;0.423;0.268;1.0;0.565;0.268;0.0
ENSMUST00000132198_90_90;0.263;0.27;0.286;0.455;0.263;0.333;0.16;0.16;0.03;0.385;0.75;0.429;0.565;1.0;0.429;0.0
ENSMUST00000143850_90_90;0.391;0.34;0.298;0.231;0.362;0.231;0.098;0.098;0.25;0.3;0.545;0.941;0.268;0.429;1.0;0.515
ENSMUST00000171041_90_90;0.263;0.205;0.154;0.032;0.231;0.032;0.0;0.0;0.417;0.125;0.061;0.471;0.0;0.0;0.515;1.0
