;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;1.0;1.0;0.788;0.78;0.112;0.108;0.112;1.0;0.9;0.392;0.195;0.713
ENST00000297737_90_90;1.0;1.0;0.788;0.78;0.112;0.108;0.112;1.0;0.9;0.392;0.195;0.713
ENST00000315769_90_90;0.788;0.788;1.0;0.569;0.148;0.14;0.148;0.788;0.689;0.515;0.253;0.502
ENST00000519406_90_90;0.78;0.78;0.569;1.0;0.139;0.134;0.139;0.78;0.859;0.513;0.244;0.493
ENST00000522623_90_90;0.112;0.112;0.148;0.139;1.0;0.4;1.0;0.112;0.121;0.257;0.338;0.0
ENST00000523188_90_90;0.108;0.108;0.14;0.134;0.4;1.0;0.4;0.108;0.118;0.238;0.304;0.0
ENST00000523542_90_90;0.112;0.112;0.148;0.139;1.0;0.4;1.0;0.112;0.121;0.257;0.338;0.0
ENSMUST00000042352_90_90;1.0;1.0;0.788;0.78;0.112;0.108;0.112;1.0;0.9;0.392;0.195;0.713
ENSMUST00000123412_90_90;0.9;0.9;0.689;0.859;0.121;0.118;0.121;0.9;1.0;0.436;0.213;0.613
ENSMUST00000131410_90_90;0.392;0.392;0.515;0.513;0.257;0.238;0.257;0.392;0.436;1.0;0.445;0.105
ENSMUST00000135747_90_90;0.195;0.195;0.253;0.244;0.338;0.304;0.338;0.195;0.213;0.445;1.0;0.0
ENSMUST00000207301_90_90;0.713;0.713;0.502;0.493;0.0;0.0;0.0;0.713;0.613;0.105;0.0;1.0
