;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.67;0.685;0.971;1.0;0.9;0.059;0.376;0.33;0.101;0.383;0.97;0.899;0.999;0.293
ENST00000347464_90_90;0.67;1.0;0.842;0.708;0.638;0.76;0.081;0.274;0.492;0.0;0.332;0.699;0.752;0.641;0.071
ENST00000373525_90_90;0.685;0.842;1.0;0.721;0.647;0.653;0.079;0.318;0.477;0.0;0.43;0.712;0.641;0.652;0.068
ENST00000392017_90_90;0.971;0.708;0.721;1.0;0.899;0.932;0.057;0.364;0.346;0.098;0.324;0.999;0.928;0.914;0.293
ENST00000392018_90_90;1.0;0.638;0.647;0.899;1.0;0.841;0.051;0.324;0.305;0.088;0.425;0.914;0.852;0.999;0.266
ENST00000392020_90_90;0.9;0.76;0.653;0.932;0.841;1.0;0.061;0.347;0.375;0.106;0.266;0.928;0.999;0.852;0.319
ENST00000392021_90_90;0.059;0.081;0.079;0.057;0.051;0.061;1.0;0.163;0.177;0.0;0.144;0.059;0.063;0.054;0.0
ENST00000417017_90_90;0.376;0.274;0.318;0.364;0.324;0.347;0.163;1.0;0.49;0.172;0.467;0.376;0.358;0.341;0.329
ENST00000419681_90_90;0.33;0.492;0.477;0.346;0.305;0.375;0.177;0.49;1.0;0.0;0.604;0.357;0.39;0.322;0.1
ENST00000431917_90_90;0.101;0.0;0.0;0.098;0.088;0.106;0.0;0.172;0.0;1.0;0.0;0.101;0.11;0.092;0.346
ENST00000444735_90_90;0.383;0.332;0.43;0.324;0.425;0.266;0.144;0.467;0.604;0.0;1.0;0.344;0.28;0.427;0.078
ENSMUST00000027512_90_90;0.97;0.699;0.712;0.999;0.914;0.928;0.059;0.376;0.357;0.101;0.344;1.0;0.934;0.922;0.277
ENSMUST00000113186_90_90;0.899;0.752;0.641;0.928;0.852;0.999;0.063;0.358;0.39;0.11;0.28;0.934;1.0;0.863;0.297
ENSMUST00000113190_90_90;0.999;0.641;0.652;0.914;0.999;0.852;0.054;0.341;0.322;0.092;0.427;0.922;0.863;1.0;0.254
ENSMUST00000144047_90_90;0.293;0.071;0.068;0.293;0.266;0.319;0.0;0.329;0.1;0.346;0.078;0.277;0.297;0.254;1.0
