;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.769;0.704;0.724;0.089;0.352;0.197;0.61;0.214;0.476;0.769;0.214
ENST00000285737_90_90;0.769;1.0;0.704;0.948;0.203;0.352;0.197;0.61;0.214;0.476;0.75;0.214
ENST00000416006_90_90;0.704;0.704;1.0;0.742;0.019;0.394;0.278;0.703;0.279;0.58;0.908;0.279
ENST00000535754_90_90;0.724;0.948;0.742;1.0;0.214;0.3;0.208;0.569;0.223;0.466;0.699;0.223
ENST00000565867_90_90;0.089;0.203;0.019;0.214;1.0;0.0;0.0;0.015;0.024;0.017;0.02;0.024
ENST00000566755_90_90;0.352;0.352;0.394;0.3;0.0;1.0;0.009;0.352;0.0;0.219;0.455;0.0
ENST00000570174_90_90;0.197;0.197;0.278;0.208;0.0;0.009;1.0;0.197;0.079;0.197;0.255;0.079
ENSMUST00000034141_90_90;0.61;0.61;0.703;0.569;0.015;0.352;0.197;1.0;0.507;0.833;0.747;0.507
ENSMUST00000121673_90_90;0.214;0.214;0.279;0.223;0.024;0.0;0.079;0.507;1.0;0.608;0.261;1.0
ENSMUST00000122188_90_90;0.476;0.476;0.58;0.466;0.017;0.219;0.197;0.833;0.608;1.0;0.583;0.608
ENSMUST00000155433_90_90;0.769;0.75;0.908;0.699;0.02;0.455;0.255;0.747;0.261;0.583;1.0;0.261
ENSMUST00000163987_90_90;0.214;0.214;0.279;0.223;0.024;0.0;0.079;0.507;1.0;0.608;0.261;1.0
