;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript2_ENSMLUG00000027828;transcript8_ENSPEMG00000024651;transcript18_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript17_ENSMUGG00000013649;transcript29_ENSMUGG00000013592;transcript17_ENSMUGG00000013592
transcript2_ENSSTOG00000019743;1.0;1.0;0.505;0.808;0.904;0.54;0.769;0.348;0.778;0.803;0.56;0.607;0.551
transcript15_ENSSTOG00000019743;1.0;1.0;0.505;0.808;0.904;0.54;0.769;0.348;0.778;0.803;0.56;0.607;0.551
transcript8_ENSNGAG00000018584;0.505;0.505;1.0;0.625;0.488;0.855;0.596;0.353;0.59;0.572;0.76;0.823;0.762
transcript9_ENSNGAG00000018584;0.808;0.808;0.625;1.0;0.763;0.557;0.896;0.39;0.907;0.937;0.509;0.553;0.509
transcript2_ENSMLUG00000027828;0.904;0.904;0.488;0.763;1.0;0.515;0.73;0.346;0.738;0.759;0.527;0.572;0.523
transcript8_ENSPEMG00000024651;0.54;0.54;0.855;0.557;0.515;1.0;0.534;0.319;0.529;0.514;0.801;0.872;0.795
transcript18_ENSNGAG00000018584;0.769;0.769;0.596;0.896;0.73;0.534;1.0;0.406;0.928;0.958;0.523;0.569;0.523
transcript7_ENSNGAG00000018584;0.348;0.348;0.353;0.39;0.346;0.319;0.406;1.0;0.447;0.433;0.375;0.348;0.376
transcript19_ENSNGAG00000018584;0.778;0.778;0.59;0.907;0.738;0.529;0.928;0.447;1.0;0.969;0.518;0.563;0.517
transcript10_ENSNGAG00000018584;0.803;0.803;0.572;0.937;0.759;0.514;0.958;0.433;0.969;1.0;0.503;0.548;0.503
transcript17_ENSMUGG00000013649;0.56;0.56;0.76;0.509;0.527;0.801;0.523;0.375;0.518;0.503;1.0;0.897;0.985
transcript29_ENSMUGG00000013592;0.607;0.607;0.823;0.553;0.572;0.872;0.569;0.348;0.563;0.548;0.897;1.0;0.909
transcript17_ENSMUGG00000013592;0.551;0.551;0.762;0.509;0.523;0.795;0.523;0.376;0.517;0.503;0.985;0.909;1.0
