id_transcript;block_sequence
ENSCAFT00000038801_90_90;0.1.3.4.5.6.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24
ENST00000313899_90_90;0.1.3.4.5.6.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24
ENST00000352301_90_90;0.1.3.4.5.6.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24
ENST00000353341_90_90;0.1.3.4.5.6.8.9.10.11.12.13.14.15.16.17.18.19.20.21.24
ENST00000503822_90_90;0.1.3.4.5.6.10.11.12.13.14.15.16
ENST00000507010_90_90;0.1.3.4.5.6.8.9.10.11.12.13.14.15.16.17.18.19
ENST00000509107_90_90;0.6.8.9.10.11.12
ENST00000509263_90_90;7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22
ENST00000513584_90_90;0.1.3.4.5.6.14.15
ENST00000514671_90_90;10.11.12.13.14.15.16.17.18.19.20.21.24
ENST00000515432_90_90;11.12.13.14.15.16.17.18
ENSMUST00000019128_90_90;0.1.2.3.5.6.8.9.10.11.12.13.14.15.16.17.18.19.20.21.24
ENSMUST00000072750_90_90;0.1.2.3.5.6.10.11.12.13.14.15.16.17.18.19.20.21.24
ENSMUST00000112939_90_90;0.1.2.3.5.6.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24
ENSMUST00000164833_90_90;21.22.23.24
ENSMUST00000168396_90_90;0.1.2.3.5.6.14.15
ENSMUST00000170912_90_90;11
ENSMUST00000171106_90_90;9.10.11.12.13.14.15.16.17.18.19.20.21.24
ENSMUST00000171640_90_90;15.16.17.18.19.20.21.24
ENSMUST00000171786_90_90;11.12.13.14.15.16.17
ENSMUST00000172361_90_90;0.1.2.3.5.6.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24
