;ENSCAFT00000011194_90_90;ENST00000313726_90_90;ENST00000524757_90_90;ENST00000525169_90_90;ENST00000526057_90_90;ENST00000526062_90_90;ENST00000526099_90_90;ENST00000526126_90_90;ENST00000526155_90_90;ENST00000526241_90_90;ENST00000526757_90_90;ENST00000526828_90_90;ENST00000527347_90_90;ENST00000527392_90_90;ENST00000527473_90_90;ENST00000527510_90_90;ENST00000527516_90_90;ENST00000527930_90_90;ENST00000528196_90_90;ENST00000528523_90_90;ENST00000528527_90_90;ENST00000530338_90_90;ENST00000530438_90_90;ENST00000530580_90_90;ENST00000530593_90_90;ENST00000530938_90_90;ENST00000530959_90_90;ENST00000530991_90_90;ENST00000531060_90_90;ENST00000531093_90_90;ENST00000531578_90_90;ENST00000532734_90_90;ENST00000533016_90_90;ENST00000533020_90_90;ENST00000533225_90_90;ENST00000533471_90_90;ENST00000533580_90_90;ENST00000533681_90_90;ENST00000534127_90_90;ENST00000534248_90_90;ENST00000534278_90_90;ENST00000534665_90_90;ENST00000626808_90_90;ENSMUST00000077909_90_90;ENSMUST00000079282_90_90;ENSMUST00000084738_90_90;ENSMUST00000168005_90_90;ENSMUST00000207394_90_90;ENSMUST00000207745_90_90;ENSMUST00000208583_90_90;ENSMUST00000208734_90_90
ENSCAFT00000011194_90_90;1.0;0.99;0.082;0.046;0.077;0.054;0.511;0.06;0.215;0.251;0.571;0.06;0.191;0.071;0.132;0.155;0.146;0.284;0.178;0.294;0.183;0.069;0.571;0.154;0.218;0.099;0.24;0.457;0.121;0.081;0.021;0.312;0.177;0.303;0.071;0.099;0.231;0.271;0.99;0.205;0.192;0.033;0.312;1.0;1.0;0.601;0.601;0.146;0.045;0.158;0.021
ENST00000313726_90_90;0.99;1.0;0.079;0.044;0.074;0.051;0.51;0.068;0.206;0.241;0.584;0.058;0.183;0.068;0.126;0.159;0.14;0.264;0.181;0.282;0.177;0.067;0.584;0.158;0.221;0.095;0.231;0.465;0.114;0.087;0.02;0.297;0.165;0.303;0.078;0.095;0.215;0.26;1.0;0.197;0.196;0.031;0.297;0.99;0.99;0.575;0.575;0.15;0.046;0.162;0.022
ENST00000524757_90_90;0.082;0.079;1.0;0.599;0.0;0.0;0.0;0.185;0.407;0.352;0.033;0.79;0.457;0.881;0.644;0.11;0.575;0.276;0.102;0.311;0.0;0.0;0.033;0.111;0.0;0.816;0.363;0.0;0.0;0.169;0.316;0.053;0.42;0.0;0.175;0.816;0.335;0.335;0.079;0.421;0.0;0.428;0.053;0.083;0.083;0.033;0.033;0.573;0.219;0.534;0.316
ENST00000525169_90_90;0.046;0.044;0.599;1.0;0.0;0.0;0.0;0.239;0.249;0.216;0.034;0.757;0.279;0.675;0.39;0.127;0.347;0.169;0.116;0.193;0.0;0.0;0.034;0.128;0.0;0.485;0.222;0.0;0.0;0.21;0.5;0.056;0.257;0.0;0.221;0.485;0.204;0.207;0.044;0.257;0.0;0.709;0.056;0.046;0.046;0.035;0.035;0.347;0.307;0.323;0.5
ENST00000526057_90_90;0.077;0.074;0.0;0.0;1.0;0.0;0.147;0.0;0.0;0.0;0.133;0.0;0.0;0.0;0.0;0.203;0.0;0.0;0.309;0.0;0.404;0.0;0.133;0.196;0.323;0.0;0.0;0.175;0.496;0.0;0.0;0.197;0.0;0.244;0.0;0.0;0.0;0.0;0.074;0.0;0.0;0.0;0.197;0.078;0.078;0.14;0.14;0.0;0.0;0.0;0.0
ENST00000526062_90_90;0.054;0.051;0.0;0.0;0.0;1.0;0.093;0.0;0.0;0.0;0.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.085;0.0;0.0;0.0;0.0;0.106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.051;0.0;0.243;0.0;0.0;0.054;0.054;0.094;0.094;0.0;0.0;0.0;0.0
ENST00000526099_90_90;0.511;0.51;0.0;0.0;0.147;0.093;1.0;0.0;0.0;0.0;0.865;0.0;0.0;0.0;0.0;0.158;0.0;0.0;0.198;0.0;0.342;0.123;0.865;0.157;0.427;0.0;0.0;0.876;0.218;0.036;0.0;0.385;0.0;0.58;0.018;0.0;0.0;0.0;0.51;0.0;0.358;0.0;0.385;0.515;0.515;0.877;0.877;0.0;0.0;0.0;0.0
ENST00000526126_90_90;0.06;0.068;0.185;0.239;0.0;0.0;0.0;1.0;0.104;0.092;0.117;0.208;0.113;0.197;0.142;0.445;0.131;0.076;0.397;0.086;0.0;0.0;0.117;0.449;0.0;0.162;0.095;0.0;0.0;0.803;0.309;0.189;0.105;0.0;0.876;0.162;0.088;0.09;0.068;0.105;0.0;0.276;0.189;0.06;0.06;0.104;0.104;0.134;0.748;0.127;0.352
ENST00000526155_90_90;0.215;0.206;0.407;0.249;0.0;0.0;0.0;0.104;1.0;0.863;0.028;0.328;0.89;0.361;0.629;0.075;0.706;0.679;0.071;0.758;0.0;0.0;0.028;0.075;0.0;0.503;0.893;0.0;0.0;0.099;0.137;0.042;0.726;0.0;0.101;0.503;0.825;0.817;0.206;0.964;0.0;0.179;0.042;0.208;0.208;0.028;0.028;0.73;0.115;0.784;0.139
ENST00000526241_90_90;0.251;0.241;0.352;0.216;0.0;0.0;0.0;0.092;0.863;1.0;0.026;0.284;0.768;0.313;0.543;0.069;0.61;0.788;0.066;0.877;0.0;0.0;0.026;0.07;0.0;0.435;0.967;0.0;0.0;0.09;0.119;0.041;0.636;0.0;0.091;0.435;0.844;0.947;0.241;0.832;0.0;0.155;0.041;0.244;0.244;0.027;0.027;0.627;0.102;0.674;0.121
ENST00000526757_90_90;0.571;0.584;0.033;0.034;0.133;0.085;0.865;0.117;0.028;0.026;1.0;0.033;0.028;0.033;0.03;0.279;0.03;0.025;0.32;0.026;0.309;0.112;1.0;0.278;0.386;0.032;0.027;0.791;0.198;0.153;0.035;0.5;0.028;0.524;0.137;0.032;0.026;0.026;0.584;0.028;0.325;0.035;0.5;0.575;0.575;0.981;0.981;0.03;0.079;0.03;0.037
ENST00000526828_90_90;0.06;0.058;0.79;0.757;0.0;0.0;0.0;0.208;0.328;0.284;0.033;1.0;0.368;0.891;0.514;0.117;0.458;0.223;0.107;0.254;0.0;0.0;0.033;0.118;0.0;0.639;0.293;0.0;0.0;0.185;0.38;0.054;0.338;0.0;0.194;0.639;0.269;0.272;0.058;0.339;0.0;0.536;0.054;0.061;0.061;0.034;0.034;0.457;0.256;0.425;0.38
ENST00000527347_90_90;0.191;0.183;0.457;0.279;0.0;0.0;0.0;0.113;0.89;0.768;0.028;0.368;1.0;0.405;0.707;0.08;0.792;0.605;0.075;0.675;0.0;0.0;0.028;0.081;0.0;0.565;0.794;0.0;0.0;0.108;0.153;0.043;0.803;0.0;0.11;0.565;0.734;0.728;0.183;0.924;0.0;0.201;0.043;0.183;0.183;0.029;0.029;0.824;0.127;0.885;0.156
ENST00000527392_90_90;0.071;0.068;0.881;0.675;0.0;0.0;0.0;0.197;0.361;0.313;0.033;0.891;0.405;1.0;0.57;0.115;0.508;0.245;0.105;0.277;0.0;0.0;0.033;0.116;0.0;0.718;0.323;0.0;0.0;0.178;0.35;0.054;0.373;0.0;0.185;0.718;0.296;0.298;0.068;0.373;0.0;0.481;0.054;0.072;0.072;0.034;0.034;0.507;0.238;0.473;0.35
ENST00000527473_90_90;0.132;0.126;0.644;0.39;0.0;0.0;0.0;0.142;0.629;0.543;0.03;0.514;0.707;0.57;1.0;0.093;0.893;0.427;0.087;0.479;0.0;0.0;0.03;0.095;0.0;0.794;0.561;0.0;0.0;0.134;0.21;0.048;0.651;0.0;0.136;0.794;0.518;0.516;0.126;0.652;0.0;0.28;0.048;0.123;0.123;0.032;0.032;0.841;0.166;0.782;0.217
ENST00000527510_90_90;0.155;0.159;0.11;0.127;0.203;0.0;0.158;0.445;0.075;0.069;0.279;0.117;0.08;0.115;0.093;1.0;0.088;0.06;0.886;0.065;0.131;0.0;0.279;0.863;0.114;0.101;0.07;0.071;0.224;0.552;0.143;0.432;0.076;0.093;0.504;0.101;0.067;0.068;0.159;0.076;0.0;0.136;0.432;0.157;0.157;0.274;0.274;0.089;0.317;0.087;0.147
ENST00000527516_90_90;0.146;0.14;0.575;0.347;0.0;0.0;0.0;0.131;0.706;0.61;0.03;0.458;0.792;0.508;0.893;0.088;1.0;0.48;0.083;0.537;0.0;0.0;0.03;0.089;0.0;0.708;0.629;0.0;0.0;0.122;0.186;0.046;0.73;0.0;0.126;0.708;0.581;0.579;0.14;0.731;0.0;0.249;0.046;0.138;0.138;0.03;0.03;0.948;0.15;0.882;0.192
ENST00000527930_90_90;0.284;0.264;0.276;0.169;0.0;0.0;0.0;0.076;0.679;0.788;0.025;0.223;0.605;0.245;0.427;0.06;0.48;1.0;0.057;0.859;0.0;0.0;0.025;0.06;0.0;0.342;0.762;0.0;0.0;0.074;0.093;0.092;0.575;0.0;0.075;0.342;0.748;0.835;0.264;0.655;0.0;0.122;0.092;0.268;0.268;0.026;0.026;0.563;0.092;0.605;0.108
ENST00000528196_90_90;0.178;0.181;0.102;0.116;0.309;0.0;0.198;0.397;0.071;0.066;0.32;0.107;0.075;0.105;0.087;0.886;0.083;0.057;1.0;0.062;0.202;0.0;0.32;0.879;0.176;0.095;0.067;0.112;0.309;0.49;0.128;0.491;0.072;0.145;0.448;0.095;0.064;0.065;0.181;0.072;0.0;0.123;0.491;0.181;0.181;0.318;0.318;0.084;0.285;0.081;0.132
ENST00000528523_90_90;0.294;0.282;0.311;0.193;0.0;0.0;0.0;0.086;0.758;0.877;0.026;0.254;0.675;0.277;0.479;0.065;0.537;0.859;0.062;1.0;0.0;0.0;0.026;0.065;0.0;0.386;0.85;0.0;0.0;0.083;0.107;0.038;0.565;0.0;0.084;0.386;0.75;0.927;0.282;0.732;0.0;0.139;0.038;0.278;0.278;0.026;0.026;0.566;0.094;0.607;0.111
ENST00000528527_90_90;0.183;0.177;0.0;0.0;0.404;0.0;0.342;0.0;0.0;0.0;0.309;0.0;0.0;0.0;0.0;0.131;0.0;0.0;0.202;0.0;1.0;0.12;0.309;0.127;0.688;0.0;0.0;0.397;0.452;0.0;0.0;0.491;0.0;0.584;0.0;0.0;0.0;0.0;0.177;0.0;0.0;0.0;0.491;0.185;0.185;0.322;0.322;0.0;0.0;0.0;0.0
ENST00000530338_90_90;0.069;0.067;0.0;0.0;0.0;0.0;0.123;0.0;0.0;0.0;0.112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;1.0;0.112;0.0;0.306;0.0;0.0;0.14;0.0;0.0;0.0;0.111;0.0;0.215;0.0;0.0;0.0;0.0;0.067;0.0;0.0;0.0;0.111;0.07;0.07;0.117;0.117;0.0;0.0;0.0;0.0
ENST00000530438_90_90;0.571;0.584;0.033;0.034;0.133;0.085;0.865;0.117;0.028;0.026;1.0;0.033;0.028;0.033;0.03;0.279;0.03;0.025;0.32;0.026;0.309;0.112;1.0;0.278;0.386;0.032;0.027;0.791;0.198;0.153;0.035;0.5;0.028;0.524;0.137;0.032;0.026;0.026;0.584;0.028;0.325;0.035;0.5;0.575;0.575;0.981;0.981;0.03;0.079;0.03;0.037
