;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;0.0;0.0;0.0;0.0;0.957;0.432;0.115;0.305;0.583;0.077;0.914
ENST00000370197_90_90;0.0;1.0;0.899;0.794;0.895;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000370198_90_90;0.0;0.899;1.0;0.871;0.794;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000426398_90_90;0.0;0.794;0.871;1.0;0.874;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000609116_90_90;0.0;0.895;0.794;0.874;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000029780_90_90;0.957;0.0;0.0;0.0;0.0;1.0;0.39;0.115;0.296;0.626;0.074;0.958
ENSMUST00000195902_90_90;0.432;0.0;0.0;0.0;0.0;0.39;1.0;0.217;0.0;0.381;0.0;0.409
ENSMUST00000197387_90_90;0.115;0.0;0.0;0.0;0.0;0.115;0.217;1.0;0.0;0.19;0.0;0.122
ENSMUST00000197464_90_90;0.305;0.0;0.0;0.0;0.0;0.296;0.0;0.0;1.0;0.452;0.201;0.303
ENSMUST00000197833_90_90;0.583;0.0;0.0;0.0;0.0;0.626;0.381;0.19;0.452;1.0;0.115;0.653
ENSMUST00000198403_90_90;0.077;0.0;0.0;0.0;0.0;0.074;0.0;0.0;0.201;0.115;1.0;0.077
ENSMUST00000200097_90_90;0.914;0.0;0.0;0.0;0.0;0.958;0.409;0.122;0.303;0.653;0.077;1.0
