;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.561;0.661;0.413;0.396;0.516;0.504;0.386;0.5;0.397;0.538;0.391;0.38;0.408;0.402;0.534;0.526;0.503;0.51;0.371;0.368;0.517;0.505;0.402;0.396;0.385;0.529;0.414;0.384;0.396;0.38;0.495;0.484;0.499;0.53;0.507;0.603;0.0
ENSCAFT00000003727_90_90;0.561;1.0;0.436;0.683;0.68;0.863;0.861;0.718;0.868;0.723;0.822;0.726;0.721;0.686;0.678;0.828;0.818;0.821;0.799;0.587;0.641;0.737;0.73;0.629;0.677;0.67;0.817;0.637;0.603;0.611;0.648;0.776;0.771;0.794;0.765;0.808;0.398;0.116
ENST00000502815_90_90;0.661;0.436;1.0;0.354;0.386;0.457;0.474;0.351;0.5;0.34;0.477;0.356;0.369;0.371;0.366;0.502;0.495;0.471;0.479;0.308;0.357;0.485;0.505;0.394;0.362;0.376;0.47;0.378;0.372;0.36;0.345;0.464;0.482;0.499;0.536;0.51;0.913;0.0
ENST00000504896_90_90;0.413;0.683;0.354;1.0;0.899;0.803;0.764;0.914;0.714;0.956;0.837;0.901;0.86;0.943;0.957;0.784;0.795;0.741;0.722;0.78;0.795;0.75;0.712;0.809;0.812;0.774;0.706;0.85;0.832;0.871;0.833;0.721;0.684;0.683;0.691;0.663;0.32;0.102
ENST00000506700_90_90;0.396;0.68;0.386;0.899;1.0;0.714;0.742;0.896;0.784;0.86;0.743;0.908;0.952;0.953;0.94;0.783;0.774;0.738;0.717;0.752;0.801;0.691;0.717;0.887;0.813;0.845;0.67;0.853;0.839;0.809;0.774;0.663;0.688;0.746;0.756;0.724;0.349;0.116
ENST00000506720_90_90;0.516;0.863;0.457;0.803;0.714;1.0;0.956;0.803;0.9;0.843;0.958;0.793;0.753;0.753;0.764;0.903;0.913;0.888;0.867;0.64;0.722;0.86;0.819;0.663;0.741;0.703;0.885;0.702;0.684;0.721;0.76;0.901;0.859;0.825;0.8;0.841;0.422;0.1
ENST00000506746_90_90;0.504;0.861;0.474;0.764;0.742;0.956;1.0;0.837;0.941;0.803;0.913;0.753;0.784;0.714;0.796;0.858;0.956;0.847;0.825;0.66;0.748;0.819;0.851;0.688;0.703;0.728;0.843;0.663;0.708;0.684;0.722;0.859;0.893;0.857;0.832;0.875;0.436;0.107
ENST00000507164_90_90;0.386;0.718;0.351;0.914;0.896;0.803;0.837;1.0;0.784;0.958;0.764;0.904;0.943;0.86;0.954;0.714;0.796;0.742;0.723;0.77;0.867;0.684;0.708;0.801;0.817;0.846;0.707;0.774;0.823;0.795;0.838;0.722;0.748;0.749;0.688;0.728;0.317;0.104
ENST00000507625_90_90;0.5;0.868;0.5;0.714;0.784;0.9;0.941;0.784;1.0;0.753;0.858;0.792;0.827;0.75;0.742;0.907;0.897;0.891;0.867;0.612;0.728;0.8;0.832;0.724;0.737;0.766;0.851;0.696;0.688;0.663;0.703;0.841;0.875;0.904;0.88;0.926;0.46;0.116
ENST00000508693_90_90;0.397;0.723;0.34;0.956;0.86;0.843;0.803;0.958;0.753;1.0;0.803;0.946;0.904;0.901;0.914;0.753;0.764;0.78;0.76;0.747;0.838;0.721;0.684;0.774;0.855;0.817;0.744;0.812;0.795;0.833;0.875;0.76;0.722;0.723;0.663;0.703;0.307;0.097
ENST00000508946_90_90;0.538;0.822;0.477;0.837;0.743;0.958;0.913;0.764;0.858;0.803;1.0;0.753;0.714;0.784;0.795;0.943;0.954;0.847;0.826;0.665;0.684;0.897;0.854;0.691;0.702;0.663;0.844;0.731;0.712;0.75;0.721;0.86;0.819;0.785;0.834;0.8;0.441;0.105
ENST00000509896_90_90;0.391;0.726;0.356;0.901;0.908;0.793;0.753;0.904;0.792;0.946;0.753;1.0;0.955;0.953;0.86;0.794;0.714;0.821;0.799;0.699;0.817;0.702;0.663;0.813;0.901;0.859;0.749;0.855;0.774;0.812;0.855;0.741;0.703;0.758;0.696;0.737;0.322;0.104
ENST00000511324_90_90;0.38;0.721;0.369;0.86;0.952;0.753;0.784;0.943;0.827;0.904;0.714;0.955;1.0;0.908;0.896;0.75;0.742;0.779;0.758;0.72;0.846;0.663;0.688;0.845;0.859;0.893;0.71;0.813;0.801;0.774;0.817;0.703;0.728;0.789;0.724;0.766;0.333;0.111
