;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;1.0;0.968;0.947;0.947;0.922;0.377;0.99;0.941;0.039;0.373;0.02;1.0;0.958;0.947;0.979;0.0;0.905;0.379;0.389;0.263;0.411;0.905;0.832;0.979;1.0;1.0;1.0;0.98;0.905;0.979;0.958;0.926;0.832;1.0;0.0;0.99;0.939
ENSCAFT00000018571_90_90;1.0;1.0;0.953;0.945;0.921;0.933;0.481;1.0;1.0;0.035;0.412;0.0;1.0;0.937;0.937;0.969;0.0;0.874;0.378;0.354;0.291;0.378;0.874;0.803;0.969;1.0;1.0;1.0;0.984;0.874;0.969;0.937;0.906;0.803;1.0;0.0;1.0;1.0
ENSCAFT00000021391_90_90;0.968;0.953;1.0;0.816;0.876;0.884;0.304;0.966;0.966;0.0;0.326;0.0;0.942;0.94;0.911;0.97;0.061;0.909;0.35;0.378;0.27;0.396;0.902;0.788;0.911;0.947;0.968;0.849;0.958;0.91;0.97;0.941;0.94;0.849;0.943;0.073;0.965;0.965
ENSCAFT00000021394_90_90;0.947;0.945;0.816;1.0;0.867;0.944;0.33;0.944;0.944;0.0;0.303;0.0;0.895;0.837;0.831;0.866;0.0;0.773;0.368;0.406;0.284;0.426;0.778;0.761;0.92;0.842;0.863;0.952;0.853;0.769;0.861;0.832;0.798;0.711;0.89;0.0;0.941;0.941
ENSCAFT00000021397_90_90;0.947;0.921;0.876;0.867;1.0;0.821;0.275;0.944;0.944;0.0;0.303;0.0;0.866;0.92;0.834;0.892;0.0;0.887;0.38;0.42;0.293;0.44;0.892;0.88;0.949;0.842;0.863;0.952;0.853;0.881;0.887;0.914;0.855;0.819;0.861;0.0;0.941;0.941
ENST00000227348_90_90;0.922;0.933;0.884;0.944;0.821;1.0;0.352;0.917;0.917;0.045;0.319;0.0;0.938;0.866;0.883;0.902;0.029;0.811;0.352;0.476;0.276;0.505;0.811;0.703;0.875;0.953;0.984;0.938;0.969;0.811;0.902;0.866;0.847;0.73;0.938;0.029;0.913;0.913
ENST00000533709_90_90;0.377;0.481;0.304;0.33;0.275;0.352;1.0;0.403;0.403;0.103;1.0;0.0;0.357;0.286;0.286;0.321;0.0;0.214;0.0;0.0;0.0;0.0;0.214;0.138;0.33;0.0;0.0;0.0;0.0;0.214;0.321;0.286;0.25;0.134;0.357;0.0;0.42;0.42
ENST00000252483_90_90;0.99;1.0;0.966;0.944;0.944;0.917;0.403;1.0;0.819;0.038;0.362;0.019;1.0;0.955;0.944;0.978;0.0;0.899;0.371;0.382;0.281;0.404;0.899;0.82;0.978;1.0;1.0;1.0;0.978;0.899;0.978;0.955;0.921;0.82;1.0;0.0;1.0;0.835
ENST00000252485_90_90;0.941;1.0;0.966;0.944;0.944;0.917;0.403;0.819;1.0;0.047;0.364;0.0;1.0;0.955;0.944;0.978;0.0;0.899;0.371;0.382;0.281;0.404;0.899;0.82;0.978;1.0;1.0;1.0;0.978;0.899;0.978;0.955;0.921;0.82;1.0;0.0;0.835;1.0
ENST00000585601_90_90;0.039;0.035;0.0;0.0;0.0;0.045;0.103;0.038;0.047;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.05
ENST00000591581_90_90;0.373;0.412;0.326;0.303;0.303;0.319;1.0;0.362;0.364;0.1;1.0;0.0;0.36;0.315;0.303;0.337;0.0;0.258;0.0;0.0;0.0;0.0;0.258;0.18;0.337;0.0;0.0;0.0;0.0;0.258;0.337;0.315;0.281;0.18;0.36;0.0;0.376;0.39
ENST00000592018_90_90;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.019;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0
ENST00000331581_90_90;1.0;1.0;0.942;0.895;0.866;0.938;0.357;1.0;1.0;0.0;0.36;0.0;1.0;0.942;0.936;0.971;0.05;0.877;0.333;0.366;0.257;0.384;0.871;0.757;0.913;0.898;0.918;0.868;0.908;0.877;0.971;0.942;0.906;0.819;1.0;0.052;1.0;1.0
ENST00000452722_90_90;0.958;0.937;0.94;0.837;0.92;0.866;0.286;0.955;0.955;0.0;0.315;0.0;0.942;1.0;0.877;0.97;0.053;0.932;0.354;0.389;0.273;0.407;0.925;0.804;0.91;0.898;0.918;0.868;0.908;0.932;0.97;1.0;0.904;0.87;0.942;0.055;0.953;0.953
ENST00000536727_90_90;0.947;0.937;0.911;0.831;0.834;0.883;0.286;0.944;0.944;0.0;0.303;0.0;0.936;0.877;1.0;0.906;0.054;0.938;0.356;0.391;0.275;0.41;0.931;0.809;0.849;0.898;0.918;0.868;0.908;0.938;0.906;0.877;0.969;0.875;0.936;0.056;0.941;0.941
ENST00000537058_90_90;0.979;0.969;0.97;0.866;0.892;0.902;0.321;0.978;0.978;0.0;0.337;0.0;0.971;0.97;0.906;1.0;0.052;0.904;0.343;0.377;0.265;0.395;0.898;0.78;0.94;0.898;0.918;0.868;0.908;0.904;1.0;0.97;0.934;0.843;0.971;0.054;0.976;0.976
ENST00000540951_90_90;0.0;0.0;0.061;0.0;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.053;0.054;0.052;1.0;0.057;0.0;0.0;0.0;0.0;0.051;0.0;0.0;0.147;0.144;0.0;0.146;0.059;0.054;0.055;0.057;0.063;0.052;1.0;0.0;0.0
ENST00000542447_90_90;0.905;0.874;0.909;0.773;0.887;0.811;0.214;0.899;0.899;0.0;0.258;0.0;0.877;0.932;0.938;0.904;0.057;1.0;0.38;0.417;0.293;0.437;0.993;0.862;0.844;0.898;0.918;0.868;0.908;1.0;0.904;0.932;0.968;0.933;0.877;0.059;0.894;0.894
ENST00000542450_90_90;0.379;0.378;0.35;0.368;0.38;0.352;0.0;0.371;0.371;0.0;0.0;0.0;0.333;0.354;0.356;0.343;0.0;0.38;1.0;0.391;0.772;0.425;0.383;0.429;0.361;0.579;0.567;0.696;0.573;0.38;0.343;0.354;0.368;0.407;0.333;0.0;0.341;0.341
ENST00000543249_90_90;0.389;0.354;0.378;0.406;0.42;0.476;0.0;0.382;0.382;0.0;0.0;0.0;0.366;0.389;0.391;0.377;0.0;0.417;0.391;1.0;0.459;0.926;0.42;0.47;0.396;0.551;0.571;0.659;0.561;0.42;0.38;0.391;0.406;0.45;0.368;0.0;0.376;0.376
ENST00000543540_90_90;0.263;0.291;0.27;0.284;0.293;0.276;0.0;0.281;0.281;0.0;0.0;0.0;0.257;0.273;0.275;0.265;0.0;0.293;0.772;0.459;1.0;0.5;0.295;0.331;0.278;0.442;0.433;0.532;0.438;0.293;0.265;0.273;0.284;0.314;0.257;0.0;0.271;0.271
ENST00000545094_90_90;0.411;0.378;0.396;0.426;0.44;0.505;0.0;0.404;0.404;0.0;0.0;0.0;0.384;0.407;0.41;0.395;0.0;0.437;0.425;0.926;0.5;1.0;0.44;0.493;0.415;0.592;0.612;0.687;0.602;0.44;0.398;0.41;0.426;0.471;0.386;0.0;0.4;0.4
