;transcript16_ENSXMAG00000026005;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript12_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript22_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript17_ENSXMAG00000026005;transcript3_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript16_ENSXMAG00000026005;1.0;0.818;0.818;0.714;0.714;0.143;0.095;0.727;0.773;0.818;0.818;0.364;0.143;0.318;0.095;0.714;0.818;0.773;0.727;0.913;0.913;0.818;0.818;0.577
transcript19_ENSAPOG00000016134;0.818;1.0;1.0;0.789;0.789;0.158;0.105;0.895;0.947;1.0;1.0;0.474;0.158;0.421;0.105;0.789;1.0;0.947;0.895;0.826;0.826;1.0;1.0;0.625
transcript19_ENSAPOG00000023408;0.818;1.0;1.0;0.789;0.789;0.158;0.105;0.895;0.947;1.0;1.0;0.474;0.158;0.421;0.105;0.789;1.0;0.947;0.895;0.826;0.826;1.0;1.0;0.625
transcript22_ENSAPOG00000016134;0.714;0.789;0.789;1.0;1.0;0.2;0.133;0.684;0.737;0.789;0.789;0.333;0.2;0.278;0.133;1.0;0.789;0.737;0.684;0.652;0.652;0.789;0.789;0.458
transcript22_ENSAPOG00000023408;0.714;0.789;0.789;1.0;1.0;0.2;0.133;0.684;0.737;0.789;0.789;0.333;0.2;0.278;0.133;1.0;0.789;0.737;0.684;0.652;0.652;0.789;0.789;0.458
transcript27_ENSAPOG00000016134;0.143;0.158;0.158;0.2;0.2;1.0;0.667;0.176;0.105;0.158;0.158;0.333;1.0;0.375;0.667;0.2;0.158;0.105;0.176;0.13;0.13;0.158;0.158;0.15
transcript28_ENSAPOG00000016134;0.095;0.105;0.105;0.133;0.133;0.667;1.0;0.118;0.111;0.105;0.105;0.222;0.667;0.25;1.0;0.133;0.105;0.053;0.118;0.087;0.087;0.105;0.105;0.1
transcript32_ENSAPOG00000023408;0.727;0.895;0.895;0.684;0.684;0.176;0.118;1.0;0.842;0.895;0.895;0.368;0.176;0.389;0.118;0.684;0.895;0.842;1.0;0.739;0.739;0.895;0.895;0.542
transcript33_ENSAPOG00000023408;0.773;0.947;0.947;0.737;0.737;0.105;0.111;0.842;1.0;0.947;0.947;0.421;0.105;0.368;0.111;0.737;0.947;0.895;0.842;0.783;0.783;0.947;0.947;0.583
transcript19_ENSAOCG00000015695;0.818;1.0;1.0;0.789;0.789;0.158;0.105;0.895;0.947;1.0;1.0;0.474;0.158;0.421;0.105;0.789;1.0;0.947;0.895;0.826;0.826;1.0;1.0;0.625
transcript12_ENSAOCG00000015695;0.818;1.0;1.0;0.789;0.789;0.158;0.105;0.895;0.947;1.0;1.0;0.474;0.158;0.421;0.105;0.789;1.0;0.947;0.895;0.826;0.826;1.0;1.0;0.625
transcript26_ENSAOCG00000015695;0.364;0.474;0.474;0.333;0.333;0.333;0.222;0.368;0.421;0.474;0.474;1.0;0.333;0.889;0.222;0.333;0.474;0.421;0.368;0.391;0.391;0.474;0.474;0.381
transcript27_ENSAOCG00000015695;0.143;0.158;0.158;0.2;0.2;1.0;0.667;0.176;0.105;0.158;0.158;0.333;1.0;0.375;0.667;0.2;0.158;0.105;0.176;0.13;0.13;0.158;0.158;0.15
transcript29_ENSAOCG00000015695;0.318;0.421;0.421;0.278;0.278;0.375;0.25;0.389;0.368;0.421;0.421;0.889;0.375;1.0;0.25;0.278;0.421;0.368;0.389;0.348;0.348;0.421;0.421;0.333
transcript28_ENSAOCG00000015695;0.095;0.105;0.105;0.133;0.133;0.667;1.0;0.118;0.111;0.105;0.105;0.222;0.667;0.25;1.0;0.133;0.105;0.053;0.118;0.087;0.087;0.105;0.105;0.1
transcript22_ENSPNYG00000024266;0.714;0.789;0.789;1.0;1.0;0.2;0.133;0.684;0.737;0.789;0.789;0.333;0.2;0.278;0.133;1.0;0.789;0.737;0.684;0.652;0.652;0.789;0.789;0.458
