;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;1.0;0.913;0.913;0.565;0.783;0.304;0.652;0.348;0.565;0.348;0.909;0.818;0.909;0.182;0.318;0.045;0.636;0.364;0.318;1.0
ENST00000313899_90_90;1.0;1.0;0.913;0.913;0.565;0.783;0.304;0.625;0.348;0.565;0.348;0.909;0.818;0.909;0.182;0.318;0.045;0.636;0.364;0.318;1.0
ENST00000352301_90_90;0.913;0.913;1.0;0.826;0.619;0.696;0.217;0.542;0.381;0.619;0.381;0.818;0.9;1.0;0.2;0.35;0.05;0.619;0.4;0.35;0.909
ENST00000353341_90_90;0.913;0.913;0.826;1.0;0.619;0.857;0.333;0.609;0.381;0.619;0.381;1.0;0.9;0.818;0.091;0.35;0.05;0.7;0.4;0.35;0.909
ENST00000503822_90_90;0.565;0.565;0.619;0.619;1.0;0.722;0.333;0.318;0.615;0.368;0.4;0.6;0.667;0.6;0.0;0.583;0.083;0.368;0.111;0.462;0.545
ENST00000507010_90_90;0.783;0.783;0.696;0.857;0.722;1.0;0.389;0.545;0.444;0.476;0.444;0.85;0.75;0.682;0.0;0.412;0.059;0.55;0.25;0.412;0.773
ENST00000509107_90_90;0.304;0.304;0.217;0.333;0.333;0.389;1.0;0.278;0.154;0.176;0.154;0.35;0.25;0.227;0.0;0.167;0.143;0.235;0.0;0.167;0.318
ENST00000509263_90_90;0.652;0.625;0.542;0.609;0.318;0.545;0.278;1.0;0.091;0.706;0.5;0.667;0.571;0.591;0.118;0.1;0.067;0.812;0.438;0.467;0.682
ENST00000513584_90_90;0.348;0.348;0.381;0.381;0.615;0.444;0.154;0.091;1.0;0.105;0.143;0.35;0.389;0.35;0.0;1.0;0.0;0.105;0.071;0.167;0.318
ENST00000514671_90_90;0.565;0.565;0.619;0.619;0.368;0.476;0.176;0.706;0.105;1.0;0.615;0.65;0.722;0.65;0.133;0.111;0.077;0.929;0.615;0.538;0.591
ENST00000515432_90_90;0.348;0.348;0.381;0.381;0.4;0.444;0.154;0.5;0.143;0.615;1.0;0.4;0.444;0.4;0.0;0.154;0.125;0.571;0.333;0.875;0.364
ENSMUST00000019128_90_90;0.909;0.909;0.818;1.0;0.6;0.85;0.35;0.667;0.35;0.65;0.4;1.0;0.905;0.826;0.087;0.381;0.048;0.667;0.381;0.333;0.913
ENSMUST00000072750_90_90;0.818;0.818;0.9;0.9;0.667;0.75;0.25;0.571;0.389;0.722;0.444;0.905;1.0;0.905;0.095;0.421;0.053;0.65;0.421;0.368;0.826
ENSMUST00000112939_90_90;0.909;0.909;1.0;0.818;0.6;0.682;0.227;0.591;0.35;0.65;0.4;0.826;0.905;1.0;0.19;0.381;0.048;0.591;0.381;0.333;0.913
ENSMUST00000164833_90_90;0.182;0.182;0.2;0.091;0.0;0.0;0.0;0.118;0.0;0.133;0.0;0.087;0.095;0.19;1.0;0.0;0.0;0.125;0.2;0.0;0.174
ENSMUST00000168396_90_90;0.318;0.318;0.35;0.35;0.583;0.412;0.167;0.1;1.0;0.111;0.154;0.381;0.421;0.381;0.0;1.0;0.0;0.1;0.067;0.154;0.348
ENSMUST00000170912_90_90;0.045;0.045;0.05;0.05;0.083;0.059;0.143;0.067;0.0;0.077;0.125;0.048;0.053;0.048;0.0;0.0;1.0;0.071;0.0;0.143;0.043
ENSMUST00000171106_90_90;0.636;0.636;0.619;0.7;0.368;0.55;0.235;0.812;0.105;0.929;0.571;0.667;0.65;0.591;0.125;0.1;0.071;1.0;0.571;0.5;0.609
ENSMUST00000171640_90_90;0.364;0.364;0.4;0.4;0.111;0.25;0.0;0.438;0.071;0.615;0.333;0.381;0.421;0.381;0.2;0.067;0.0;0.571;1.0;0.25;0.348
ENSMUST00000171786_90_90;0.318;0.318;0.35;0.35;0.462;0.412;0.167;0.467;0.167;0.538;0.875;0.333;0.368;0.333;0.0;0.154;0.143;0.5;0.25;1.0;0.304
ENSMUST00000172361_90_90;1.0;1.0;0.909;0.909;0.545;0.773;0.318;0.682;0.318;0.591;0.364;0.913;0.826;0.913;0.174;0.348;0.043;0.609;0.348;0.304;1.0
