;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.333;0.6;0.6;0.467;0.667;0.267;0.571;0.643;0.571;0.5;0.429
ENST00000261210_90_90;0.333;1.0;0.192;0.421;0.471;0.4;0.286;0.211;0.462;0.5;0.545;0.6
ENST00000266732_90_90;0.6;0.192;1.0;0.172;0.185;0.167;0.042;1.0;0.154;0.16;0.167;0.174
ENST00000343315_90_90;0.6;0.421;0.172;1.0;0.867;0.938;0.4;0.174;0.769;0.833;0.75;0.667
ENST00000393053_90_90;0.467;0.471;0.185;0.867;1.0;0.812;0.357;0.19;0.615;0.667;0.727;0.8
ENST00000556029_90_90;0.667;0.4;0.167;0.938;0.812;1.0;0.375;0.167;0.846;0.769;0.692;0.615
ENST00000556678_90_90;0.267;0.286;0.042;0.4;0.357;0.375;1.0;0.053;0.231;0.25;0.273;0.182
ENSMUST00000020123_90_90;0.571;0.211;1.0;0.174;0.19;0.167;0.053;1.0;0.138;0.143;0.148;0.154
ENSMUST00000072239_90_90;0.643;0.462;0.154;0.769;0.615;0.846;0.231;0.138;1.0;0.933;0.867;0.8
ENSMUST00000092219_90_90;0.571;0.5;0.16;0.833;0.667;0.769;0.25;0.143;0.933;1.0;0.929;0.857
ENSMUST00000099355_90_90;0.5;0.545;0.167;0.75;0.727;0.692;0.273;0.148;0.867;0.929;1.0;0.923
ENSMUST00000105293_90_90;0.429;0.6;0.174;0.667;0.8;0.615;0.182;0.154;0.8;0.857;0.923;1.0
