;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.994;0.72;0.939;0.507;0.82;0.703;0.912;0.892;0.973;0.998;0.915;0.123
ENST00000320672_90_90;0.994;1.0;0.724;0.945;0.508;0.825;0.7;0.917;0.897;0.978;0.993;0.91;0.122
ENST00000504985_90_90;0.72;0.724;1.0;0.669;0.325;0.553;0.914;0.642;0.664;0.745;0.72;0.639;0.0
ENST00000505980_90_90;0.939;0.945;0.669;1.0;0.455;0.77;0.646;0.861;0.843;0.924;0.937;0.855;0.129
ENST00000509013_90_90;0.507;0.508;0.325;0.455;1.0;0.47;0.335;0.429;0.42;0.498;0.506;0.426;0.103
ENST00000509053_90_90;0.82;0.825;0.553;0.77;0.47;1.0;0.529;0.9;0.879;0.808;0.819;0.893;0.148
ENST00000512923_90_90;0.703;0.7;0.914;0.646;0.335;0.529;1.0;0.618;0.605;0.685;0.703;0.621;0.0
ENST00000514493_90_90;0.912;0.917;0.642;0.861;0.429;0.9;0.618;1.0;0.976;0.897;0.91;0.992;0.133
ENST00000515395_90_90;0.892;0.897;0.664;0.843;0.42;0.879;0.605;0.976;1.0;0.919;0.89;0.969;0.13
ENST00000615665_90_90;0.973;0.978;0.745;0.924;0.498;0.808;0.685;0.897;0.919;1.0;0.971;0.89;0.12
ENSMUST00000004094_90_90;0.998;0.993;0.72;0.937;0.506;0.819;0.703;0.91;0.89;0.971;1.0;0.917;0.123
ENSMUST00000042122_90_90;0.915;0.91;0.639;0.855;0.426;0.893;0.621;0.992;0.969;0.89;0.917;1.0;0.134
ENSMUST00000138488_90_90;0.123;0.122;0.0;0.129;0.103;0.148;0.0;0.133;0.13;0.12;0.123;0.134;1.0
