;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.771;0.75;0.806;0.303;0.8;0.25;0.333;0.657;0.171;0.25;0.286;0.2;0.121;0.394;0.182;0.722;0.088;0.121;0.182;0.711;0.622;0.667;0.737;0.314;0.118;0.649;0.757;0.676
ENSCAFT00000044406_90_90;0.771;1.0;0.686;0.743;0.3;0.735;0.242;0.333;0.688;0.194;0.323;0.242;0.267;0.1;0.4;0.207;0.812;0.1;0.1;0.207;0.694;0.556;0.697;0.722;0.4;0.133;0.727;0.694;0.758
ENST00000356360_90_90;0.75;0.686;1.0;0.938;0.333;0.875;0.273;0.367;0.719;0.267;0.273;0.355;0.147;0.133;0.433;0.2;0.788;0.133;0.133;0.2;0.824;0.727;0.727;0.853;0.303;0.129;0.706;0.879;0.735
ENST00000393346_90_90;0.806;0.743;0.938;1.0;0.312;0.938;0.333;0.344;0.781;0.25;0.333;0.375;0.206;0.125;0.406;0.188;0.848;0.125;0.125;0.188;0.882;0.788;0.788;0.912;0.364;0.121;0.765;0.939;0.794
ENST00000525162_90_90;0.303;0.3;0.333;0.312;1.0;0.333;0.0;0.75;0.4;0.0;0.0;0.0;0.0;0.167;0.769;0.231;0.345;0.0;0.167;0.231;0.273;0.276;0.321;0.265;0.0;0.364;0.31;0.273;0.3
ENST00000526033_90_90;0.8;0.735;0.875;0.938;0.333;1.0;0.355;0.367;0.833;0.267;0.355;0.312;0.219;0.133;0.433;0.2;0.903;0.133;0.133;0.2;0.824;0.727;0.839;0.853;0.387;0.129;0.812;0.879;0.844
ENST00000526961_90_90;0.25;0.242;0.273;0.333;0.0;0.355;1.0;0.0;0.321;0.429;0.714;0.5;0.615;0.0;0.0;0.0;0.323;0.333;0.0;0.0;0.375;0.393;0.3;0.364;0.471;0.0;0.333;0.333;0.323
ENST00000528256_90_90;0.333;0.333;0.367;0.344;0.75;0.367;0.0;1.0;0.333;0.0;0.0;0.0;0.0;0.25;0.846;0.417;0.379;0.0;0.25;0.417;0.303;0.226;0.357;0.294;0.0;0.333;0.345;0.303;0.333
ENST00000528398_90_90;0.657;0.688;0.719;0.781;0.4;0.833;0.321;0.333;1.0;0.32;0.423;0.276;0.214;0.074;0.407;0.107;0.862;0.16;0.074;0.107;0.676;0.733;0.793;0.706;0.462;0.154;0.767;0.727;0.8
ENST00000529016_90_90;0.171;0.194;0.267;0.25;0.0;0.267;0.429;0.0;0.32;1.0;0.538;0.429;0.214;0.0;0.0;0.0;0.276;0.333;0.0;0.0;0.212;0.25;0.25;0.242;0.5;0.0;0.241;0.25;0.276
ENST00000529760_90_90;0.25;0.323;0.273;0.333;0.0;0.355;0.714;0.0;0.423;0.538;1.0;0.5;0.5;0.0;0.0;0.0;0.414;0.333;0.0;0.0;0.375;0.393;0.393;0.364;0.667;0.0;0.429;0.333;0.414
ENST00000530542_90_90;0.286;0.242;0.355;0.375;0.0;0.312;0.5;0.0;0.276;0.429;0.5;1.0;0.312;0.0;0.0;0.0;0.242;0.143;0.0;0.0;0.375;0.444;0.258;0.364;0.471;0.0;0.25;0.375;0.242
ENST00000530692_90_90;0.2;0.267;0.147;0.206;0.0;0.219;0.615;0.0;0.214;0.214;0.5;0.312;1.0;0.0;0.0;0.0;0.226;0.3;0.0;0.0;0.242;0.241;0.2;0.235;0.467;0.0;0.233;0.206;0.226
ENST00000531558_90_90;0.121;0.1;0.133;0.125;0.167;0.133;0.0;0.25;0.074;0.0;0.0;0.0;0.0;1.0;0.214;0.25;0.138;0.0;1.0;0.25;0.125;0.069;0.148;0.121;0.0;0.0;0.143;0.125;0.138
ENST00000531930_90_90;0.394;0.4;0.433;0.406;0.769;0.433;0.0;0.846;0.407;0.0;0.0;0.0;0.0;0.214;1.0;0.357;0.448;0.0;0.214;0.357;0.364;0.29;0.429;0.353;0.0;0.286;0.414;0.364;0.4
ENST00000532041_90_90;0.182;0.207;0.2;0.188;0.231;0.2;0.0;0.417;0.107;0.0;0.0;0.0;0.0;0.25;0.357;1.0;0.207;0.0;0.25;1.0;0.152;0.065;0.179;0.147;0.0;0.222;0.172;0.152;0.167
ENST00000532317_90_90;0.722;0.812;0.788;0.848;0.345;0.903;0.323;0.379;0.862;0.276;0.414;0.242;0.226;0.138;0.448;0.207;1.0;0.138;0.138;0.207;0.794;0.647;0.867;0.824;0.4;0.133;0.9;0.794;0.933
ENST00000532603_90_90;0.088;0.1;0.133;0.125;0.0;0.133;0.333;0.0;0.16;0.333;0.333;0.143;0.3;0.0;0.0;0.0;0.138;1.0;0.0;0.0;0.125;0.148;0.148;0.121;0.214;0.0;0.143;0.125;0.138
ENST00000534412_90_90;0.121;0.1;0.133;0.125;0.167;0.133;0.0;0.25;0.074;0.0;0.0;0.0;0.0;1.0;0.214;0.25;0.138;0.0;1.0;0.25;0.125;0.069;0.148;0.121;0.0;0.0;0.143;0.125;0.138
ENST00000630913_90_90;0.182;0.207;0.2;0.188;0.231;0.2;0.0;0.417;0.107;0.0;0.0;0.0;0.0;0.25;0.357;1.0;0.207;0.0;0.25;1.0;0.152;0.065;0.179;0.147;0.0;0.222;0.172;0.152;0.167
ENSMUST00000049537_90_90;0.711;0.694;0.824;0.882;0.273;0.824;0.375;0.303;0.676;0.212;0.375;0.375;0.242;0.125;0.364;0.152;0.794;0.125;0.125;0.152;1.0;0.788;0.844;0.97;0.324;0.156;0.875;0.939;0.848
ENSMUST00000207084_90_90;0.622;0.556;0.727;0.788;0.276;0.727;0.393;0.226;0.733;0.25;0.393;0.444;0.241;0.069;0.29;0.065;0.647;0.148;0.069;0.065;0.788;1.0;0.688;0.765;0.379;0.103;0.667;0.788;0.647
ENSMUST00000207225_90_90;0.667;0.697;0.727;0.788;0.321;0.839;0.3;0.357;0.793;0.25;0.393;0.258;0.2;0.148;0.429;0.179;0.867;0.148;0.148;0.179;0.844;0.688;1.0;0.818;0.379;0.185;0.964;0.844;0.931
ENSMUST00000207484_90_90;0.737;0.722;0.853;0.912;0.265;0.853;0.364;0.294;0.706;0.242;0.364;0.364;0.235;0.121;0.353;0.147;0.824;0.121;0.121;0.147;0.97;0.765;0.818;1.0;0.353;0.152;0.848;0.97;0.879
ENSMUST00000208089_90_90;0.314;0.4;0.303;0.364;0.0;0.387;0.471;0.0;0.462;0.5;0.667;0.471;0.467;0.0;0.0;0.0;0.4;0.214;0.0;0.0;0.324;0.379;0.379;0.353;1.0;0.0;0.367;0.364;0.4
ENSMUST00000208684_90_90;0.118;0.133;0.129;0.121;0.364;0.129;0.0;0.333;0.154;0.0;0.0;0.0;0.0;0.0;0.286;0.222;0.133;0.0;0.0;0.222;0.156;0.103;0.185;0.152;0.0;1.0;0.179;0.156;0.172
ENSMUST00000208730_90_90;0.649;0.727;0.706;0.765;0.31;0.812;0.333;0.345;0.767;0.241;0.429;0.25;0.233;0.143;0.414;0.172;0.9;0.143;0.143;0.172;0.875;0.667;0.964;0.848;0.367;0.179;1.0;0.818;0.966
ENSMUST00000208742_90_90;0.757;0.694;0.879;0.939;0.273;0.879;0.333;0.303;0.727;0.25;0.333;0.375;0.206;0.125;0.364;0.152;0.794;0.125;0.125;0.152;0.939;0.788;0.844;0.97;0.364;0.156;0.818;1.0;0.848
ENSMUST00000209068_90_90;0.676;0.758;0.735;0.794;0.3;0.844;0.323;0.333;0.8;0.276;0.414;0.242;0.226;0.138;0.4;0.167;0.933;0.138;0.138;0.167;0.848;0.647;0.931;0.879;0.4;0.172;0.966;0.848;1.0
