;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.952;0.919;0.768;0.869;0.956;0.922;0.398;0.915;1.0;0.95;0.025;0.756;0.647;0.216;0.252;0.984;0.948;0.895;0.847;0.947;0.998
ENSCAFT00000016916_90_90;0.952;1.0;0.984;0.768;0.882;0.899;0.933;0.42;0.87;0.95;1.0;0.024;0.806;0.697;0.207;0.241;0.924;0.958;0.907;0.845;0.998;0.947
ENSCAFT00000023521_90_90;0.919;0.984;1.0;0.835;0.949;0.941;0.974;0.394;0.817;0.915;0.984;0.034;0.776;0.647;0.243;0.287;0.941;0.974;0.949;0.86;0.984;0.919
ENST00000342558_90_90;0.768;0.768;0.835;1.0;0.766;0.773;0.736;0.21;0.663;0.758;0.76;0.043;0.566;0.436;0.299;0.354;0.75;0.728;0.76;0.923;0.768;0.768
ENST00000360663_90_90;0.869;0.882;0.949;0.766;1.0;0.898;0.954;0.374;0.768;0.863;0.876;0.038;0.681;0.552;0.26;0.307;0.895;0.926;0.972;0.729;0.882;0.869
ENST00000394828_90_90;0.956;0.899;0.941;0.773;0.898;1.0;0.945;0.366;0.855;0.954;0.895;0.035;0.701;0.571;0.253;0.299;0.974;0.943;0.894;0.797;0.899;0.956
ENST00000394829_90_90;0.922;0.933;0.974;0.736;0.954;0.945;1.0;0.416;0.824;0.919;0.93;0.034;0.735;0.606;0.243;0.287;0.944;0.975;0.926;0.773;0.933;0.922
ENST00000430762_90_90;0.398;0.42;0.394;0.21;0.374;0.366;0.416;1.0;0.381;0.412;0.433;0.0;0.542;0.643;0.0;0.0;0.398;0.431;0.383;0.271;0.42;0.398
ENST00000323055_90_90;0.915;0.87;0.817;0.663;0.768;0.855;0.824;0.381;1.0;0.917;0.873;0.048;0.663;0.574;0.254;0.293;0.884;0.851;0.795;0.747;0.861;0.909
ENST00000394853_90_90;1.0;0.95;0.915;0.758;0.863;0.954;0.919;0.412;0.917;1.0;0.952;0.044;0.742;0.653;0.233;0.269;0.984;0.947;0.89;0.843;0.944;0.997
ENST00000394854_90_90;0.95;1.0;0.984;0.76;0.876;0.895;0.93;0.433;0.873;0.952;1.0;0.041;0.79;0.701;0.223;0.257;0.921;0.956;0.903;0.841;0.997;0.944
ENST00000492351_90_90;0.025;0.024;0.034;0.043;0.038;0.035;0.034;0.0;0.048;0.044;0.041;1.0;0.0;0.05;0.181;0.157;0.034;0.032;0.035;0.035;0.025;0.028
ENST00000507176_90_90;0.756;0.806;0.776;0.566;0.681;0.701;0.735;0.542;0.663;0.742;0.79;0.0;1.0;0.539;0.11;0.146;0.727;0.762;0.709;0.646;0.795;0.742
ENST00000512215_90_90;0.647;0.697;0.647;0.436;0.552;0.571;0.606;0.643;0.574;0.653;0.701;0.05;0.539;1.0;0.11;0.105;0.597;0.632;0.579;0.516;0.688;0.635
ENST00000525819_90_90;0.216;0.207;0.243;0.299;0.26;0.253;0.243;0.0;0.254;0.233;0.223;0.181;0.11;0.11;1.0;0.865;0.245;0.237;0.251;0.269;0.213;0.224
ENST00000529324_90_90;0.252;0.241;0.287;0.354;0.307;0.299;0.287;0.0;0.293;0.269;0.257;0.157;0.146;0.105;0.865;1.0;0.289;0.279;0.296;0.317;0.249;0.262
ENSMUST00000022355_90_90;0.984;0.924;0.941;0.75;0.895;0.974;0.944;0.398;0.884;0.984;0.921;0.034;0.727;0.597;0.245;0.289;1.0;0.945;0.898;0.819;0.924;0.984
ENSMUST00000159027_90_90;0.948;0.958;0.974;0.728;0.926;0.943;0.975;0.431;0.851;0.947;0.956;0.032;0.762;0.632;0.237;0.279;0.945;1.0;0.954;0.778;0.958;0.948
ENSMUST00000161445_90_90;0.895;0.907;0.949;0.76;0.972;0.894;0.926;0.383;0.795;0.89;0.903;0.035;0.709;0.579;0.251;0.296;0.898;0.954;1.0;0.736;0.907;0.895
ENSMUST00000161989_90_90;0.847;0.845;0.86;0.923;0.729;0.797;0.773;0.271;0.747;0.843;0.841;0.035;0.646;0.516;0.269;0.317;0.819;0.778;0.736;1.0;0.845;0.847
ENSMUST00000056758_90_90;0.947;0.998;0.984;0.768;0.882;0.899;0.933;0.42;0.861;0.944;0.997;0.025;0.795;0.688;0.213;0.249;0.924;0.958;0.907;0.845;1.0;0.951
ENSMUST00000070198_90_90;0.998;0.947;0.919;0.768;0.869;0.956;0.922;0.398;0.909;0.997;0.944;0.028;0.742;0.635;0.224;0.262;0.984;0.948;0.895;0.847;0.951;1.0
