;ENSCAFT00000027870_90_90;ENST00000554308_90_90;ENST00000554511_90_90;ENST00000554684_90_90;ENST00000554943_90_90;ENST00000555029_90_90;ENST00000555462_90_90;ENST00000555470_90_90;ENST00000557018_90_90;ENSMUST00000048305_90_90;ENSMUST00000163095_90_90;ENSMUST00000223091_90_90;ENSMUST00000223459_90_90
ENSCAFT00000027870_90_90;1.0;0.552;0.103;0.887;0.936;0.266;0.71;0.206;0.155;0.851;0.899;0.068;0.133
ENST00000554308_90_90;0.552;1.0;0.175;0.591;0.562;0.338;0.332;0.286;0.264;0.591;0.562;0.112;0.0
ENST00000554511_90_90;0.103;0.175;1.0;0.111;0.105;0.21;0.079;0.0;0.663;0.111;0.105;0.0;0.0
ENST00000554684_90_90;0.887;0.591;0.111;1.0;0.947;0.22;0.712;0.185;0.166;0.952;0.905;0.072;0.141
ENST00000554943_90_90;0.936;0.562;0.105;0.947;1.0;0.273;0.765;0.21;0.158;0.905;0.956;0.069;0.135
ENST00000555029_90_90;0.266;0.338;0.21;0.22;0.273;1.0;0.355;0.359;0.175;0.22;0.273;0.0;0.0
ENST00000555462_90_90;0.71;0.332;0.079;0.712;0.765;0.355;1.0;0.15;0.074;0.674;0.726;0.093;0.18
ENST00000555470_90_90;0.206;0.286;0.0;0.185;0.21;0.359;0.15;1.0;0.0;0.185;0.21;0.0;0.0
ENST00000557018_90_90;0.155;0.264;0.663;0.166;0.158;0.175;0.074;0.0;1.0;0.166;0.158;0.0;0.0
ENSMUST00000048305_90_90;0.851;0.591;0.111;0.952;0.905;0.22;0.674;0.185;0.166;1.0;0.947;0.072;0.141
ENSMUST00000163095_90_90;0.899;0.562;0.105;0.905;0.956;0.273;0.726;0.21;0.158;0.947;1.0;0.069;0.135
ENSMUST00000223091_90_90;0.068;0.112;0.0;0.072;0.069;0.0;0.093;0.0;0.0;0.072;0.069;1.0;0.0
ENSMUST00000223459_90_90;0.133;0.0;0.0;0.141;0.135;0.0;0.18;0.0;0.0;0.141;0.135;0.0;1.0
