;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;;0.504;0.704;0.764;0.101;0.028;0.086;0.209;0.524;0.042;0.276;0.551;0.545;0.551;0.545;0.551;0.545;0.764;0.704
ENSCAFT00000021670_90_90;0.504;;0.484;0.51;0.12;0.035;0.079;0.177;0.368;0.043;0.254;0.568;0.551;0.568;0.551;0.568;0.551;0.51;0.492
ENST00000265969_90_90;0.704;0.484;;;;;;;;;;0.443;0.431;0.443;0.431;0.443;0.431;0.833;0.985
ENST00000379472_90_90;0.764;0.51;;;;;;;;;;0.511;0.497;0.511;0.497;0.511;0.497;1.0;0.833
ENST00000638366_90_90;0.101;0.12;;;;;;;;;;0.085;0.082;0.085;0.082;0.085;0.082;0.12;0.123
ENST00000638825_90_90;0.028;0.035;;;;;;;;;;0.022;0.021;0.022;0.021;0.022;0.021;0.033;0.115
ENST00000639325_90_90;0.086;0.079;;;;;;;;;;0.07;0.068;0.07;0.068;0.07;0.068;0.102;0.098
ENST00000639495_90_90;0.209;0.177;;;;;;;;;;0.164;0.158;0.164;0.158;0.164;0.158;0.247;0.231
ENST00000640318_90_90;0.524;0.368;;;;;;;;;;0.34;0.331;0.34;0.331;0.34;0.331;0.611;0.695
ENST00000640461_90_90;0.042;0.043;;;;;;;;;;0.038;0.037;0.038;0.037;0.038;0.037;0.051;0.048
ENST00000640909_90_90;0.276;0.254;;;;;;;;;;0.219;0.212;0.219;0.212;0.219;0.212;0.321;0.448
ENST00000302127_90_90;0.551;0.568;0.443;0.511;0.085;0.022;0.07;0.164;0.34;0.038;0.219;;;;0.964;1.0;0.964;0.511;0.443
ENST00000315987_90_90;0.545;0.551;0.431;0.497;0.082;0.021;0.068;0.158;0.331;0.037;0.212;;;;1.0;0.964;1.0;0.497;0.431
ENST00000369697_90_90;0.551;0.568;0.443;0.511;0.085;0.022;0.07;0.164;0.34;0.038;0.219;;;;0.964;1.0;0.964;0.511;0.443
ENSMUST00000079169_90_90;0.545;0.551;0.431;0.497;0.082;0.021;0.068;0.158;0.331;0.037;0.212;0.964;1.0;0.964;;;;0.497;0.431
ENSMUST00000098761_90_90;0.551;0.568;0.443;0.511;0.085;0.022;0.07;0.164;0.34;0.038;0.219;1.0;0.964;1.0;;;;0.511;0.443
ENSMUST00000118360_90_90;0.545;0.551;0.431;0.497;0.082;0.021;0.068;0.158;0.331;0.037;0.212;0.964;1.0;0.964;;;;0.497;0.431
ENSMUST00000025202_90_90;0.764;0.51;0.833;1.0;0.12;0.033;0.102;0.247;0.611;0.051;0.321;0.511;0.497;0.511;0.497;0.511;0.497;;
ENSMUST00000160433_90_90;0.704;0.492;0.985;0.833;0.123;0.115;0.098;0.231;0.695;0.048;0.448;0.443;0.431;0.443;0.431;0.443;0.431;;
