;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.499;0.282;0.429;0.607;0.171;0.171;0.383;0.506;0.329;0.215;0.282;0.506;0.46;0.329;0.409;0.375
ENSCAFT00000025580_90_90;0.499;1.0;0.518;0.686;0.893;0.162;0.162;0.632;0.78;0.573;0.216;0.518;0.78;0.725;0.573;0.666;0.335
ENST00000263846_90_90;0.282;0.518;1.0;0.839;0.706;0.116;0.116;0.885;0.772;0.938;0.27;1.0;0.772;0.808;0.938;0.853;0.1
ENST00000535826_90_90;0.429;0.686;0.839;1.0;0.837;0.156;0.156;0.946;0.75;0.893;0.216;0.839;0.75;0.706;0.893;0.738;0.254
ENST00000539008_90_90;0.607;0.893;0.706;0.837;1.0;0.126;0.126;0.794;0.913;0.75;0.171;0.706;0.913;0.87;0.75;0.823;0.249
ENST00000539246_90_90;0.171;0.162;0.116;0.156;0.126;1.0;1.0;0.103;0.139;0.177;0.409;0.118;0.141;0.093;0.181;0.1;0.51
ENST00000539468_90_90;0.171;0.162;0.116;0.156;0.126;1.0;1.0;0.103;0.139;0.177;0.409;0.118;0.141;0.093;0.181;0.1;0.51
ENST00000540677_90_90;0.383;0.632;0.885;0.946;0.794;0.103;0.103;1.0;0.706;0.839;0.232;0.885;0.706;0.736;0.839;0.772;0.203
ENST00000542670_90_90;0.506;0.78;0.772;0.75;0.913;0.139;0.139;0.706;1.0;0.82;0.19;0.772;1.0;0.953;0.82;0.9;0.163
ENST00000542836_90_90;0.329;0.573;0.938;0.893;0.75;0.177;0.177;0.839;0.82;1.0;0.247;0.938;0.82;0.772;1.0;0.811;0.151
ENST00000545053_90_90;0.215;0.216;0.27;0.216;0.171;0.409;0.409;0.232;0.19;0.247;1.0;0.27;0.19;0.202;0.247;0.218;0.276
ENSMUST00000073899_90_90;0.282;0.518;1.0;0.839;0.706;0.118;0.118;0.885;0.772;0.938;0.27;1.0;0.772;0.808;0.938;0.853;0.099
ENSMUST00000076968_90_90;0.506;0.78;0.772;0.75;0.913;0.141;0.141;0.706;1.0;0.82;0.19;0.772;1.0;0.953;0.82;0.9;0.161
ENSMUST00000169121_90_90;0.46;0.725;0.808;0.706;0.87;0.093;0.093;0.736;0.953;0.772;0.202;0.808;0.953;1.0;0.772;0.945;0.118
ENSMUST00000223586_90_90;0.329;0.573;0.938;0.893;0.75;0.181;0.181;0.839;0.82;1.0;0.247;0.938;0.82;0.772;1.0;0.811;0.149
ENSMUST00000224135_90_90;0.409;0.666;0.853;0.738;0.823;0.1;0.1;0.772;0.9;0.811;0.218;0.853;0.9;0.945;0.811;1.0;0.125
ENSMUST00000225452_90_90;0.375;0.335;0.1;0.254;0.249;0.51;0.51;0.203;0.163;0.151;0.276;0.099;0.161;0.118;0.149;0.125;1.0
