;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.752;0.393;0.122;0.447;0.28;0.092;0.226;0.226;0.752;0.082;0.36;0.161;0.36;0.393;1.0;1.0;0.284;0.469;0.698;0.285;0.157
ENST00000262493_90_90;0.752;1.0;0.627;0.472;0.273;0.245;0.208;0.154;0.149;1.0;0.19;0.526;0.11;0.367;0.4;0.672;0.672;0.16;0.202;0.335;0.278;0.116
ENST00000262494_90_90;0.393;0.627;1.0;0.377;0.297;0.036;0.144;0.169;0.164;0.627;0.207;0.22;0.12;0.083;0.44;0.337;0.337;0.228;0.303;0.503;0.0;0.0
ENST00000562316_90_90;0.122;0.472;0.377;1.0;0.0;0.261;0.21;0.0;0.0;0.472;0.133;0.476;0.0;0.264;0.139;0.095;0.095;0.0;0.0;0.0;0.328;0.67
ENST00000563661_90_90;0.447;0.273;0.297;0.0;1.0;0.0;0.0;0.472;0.414;0.273;0.134;0.0;0.318;0.0;0.651;0.447;0.447;0.413;0.446;0.647;0.0;0.0
ENST00000564727_90_90;0.28;0.245;0.036;0.261;0.0;1.0;0.284;0.0;0.0;0.245;0.0;0.448;0.0;0.622;0.0;0.261;0.261;0.0;0.0;0.0;0.928;0.443
ENST00000568375_90_90;0.092;0.208;0.144;0.21;0.0;0.284;1.0;0.0;0.0;0.208;0.0;0.396;0.0;0.409;0.0;0.088;0.088;0.0;0.0;0.0;0.229;0.0
ENST00000569295_90_90;0.226;0.154;0.169;0.0;0.472;0.0;0.0;1.0;0.618;0.154;0.0;0.0;0.495;0.0;0.371;0.226;0.226;0.0;0.087;0.326;0.0;0.0
ENST00000570235_90_90;0.226;0.149;0.164;0.0;0.414;0.0;0.0;0.618;1.0;0.149;0.0;0.0;0.408;0.0;0.34;0.226;0.226;0.0;0.087;0.326;0.0;0.0
ENST00000638705_90_90;0.752;1.0;0.627;0.472;0.273;0.245;0.208;0.154;0.149;1.0;0.19;0.526;0.11;0.367;0.4;0.672;0.672;0.16;0.202;0.335;0.278;0.116
ENST00000639268_90_90;0.082;0.19;0.207;0.133;0.134;0.0;0.0;0.0;0.0;0.19;1.0;0.0;0.0;0.0;0.112;0.078;0.078;0.243;0.174;0.112;0.0;0.0
ENST00000639341_90_90;0.36;0.526;0.22;0.476;0.0;0.448;0.396;0.0;0.0;0.526;0.0;1.0;0.0;0.697;0.103;0.331;0.331;0.0;0.0;0.0;0.522;0.204
ENST00000639770_90_90;0.161;0.11;0.12;0.0;0.318;0.0;0.0;0.495;0.408;0.11;0.0;0.0;1.0;0.0;0.255;0.161;0.161;0.0;0.104;0.227;0.0;0.0
ENST00000640469_90_90;0.36;0.367;0.083;0.264;0.0;0.622;0.409;0.0;0.0;0.367;0.0;0.697;0.0;1.0;0.0;0.349;0.349;0.0;0.0;0.0;0.595;0.242
ENST00000640893_90_90;0.393;0.4;0.44;0.139;0.651;0.0;0.0;0.371;0.34;0.4;0.112;0.103;0.255;0.0;1.0;0.378;0.378;0.286;0.34;0.544;0.0;0.0
ENSMUST00000034198_90_90;1.0;0.672;0.337;0.095;0.447;0.261;0.088;0.226;0.226;0.672;0.078;0.331;0.161;0.349;0.378;1.0;1.0;0.284;0.469;0.592;0.273;0.145
ENSMUST00000125716_90_90;1.0;0.672;0.337;0.095;0.447;0.261;0.088;0.226;0.226;0.672;0.078;0.331;0.161;0.349;0.378;1.0;1.0;0.284;0.469;0.592;0.273;0.145
ENSMUST00000127900_90_90;0.284;0.16;0.228;0.0;0.413;0.0;0.0;0.0;0.0;0.16;0.243;0.0;0.0;0.0;0.286;0.284;0.284;1.0;0.613;0.324;0.0;0.0
ENSMUST00000137202_90_90;0.469;0.202;0.303;0.0;0.446;0.0;0.0;0.087;0.087;0.202;0.174;0.0;0.104;0.0;0.34;0.469;0.469;0.613;1.0;0.526;0.0;0.0
ENSMUST00000138659_90_90;0.698;0.335;0.503;0.0;0.647;0.0;0.0;0.326;0.326;0.335;0.112;0.0;0.227;0.0;0.544;0.592;0.592;0.324;0.526;1.0;0.044;0.046
ENSMUST00000142466_90_90;0.285;0.278;0.0;0.328;0.0;0.928;0.229;0.0;0.0;0.278;0.0;0.522;0.0;0.595;0.0;0.273;0.273;0.0;0.0;0.044;1.0;0.548
ENSMUST00000149530_90_90;0.157;0.116;0.0;0.67;0.0;0.443;0.0;0.0;0.0;0.116;0.0;0.204;0.0;0.242;0.0;0.145;0.145;0.0;0.0;0.046;0.548;1.0
