;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.903;0.903;1.0;0.903;0.515;0.738;0.757;0.845;0.845;0.845;0.731;0.838;0.921;0.796;0.641;0.685;0.646;0.67;0.656;0.667;0.646;0.614;0.634;0.681;0.631;0.631
transcript17_ENSHGLG00100003156;1.0;1.0;0.903;0.903;1.0;0.903;0.515;0.738;0.757;0.845;0.845;0.845;0.731;0.838;0.921;0.796;0.641;0.685;0.646;0.67;0.656;0.667;0.646;0.614;0.634;0.681;0.631;0.631
transcript20_ENSHGLG00100003156;0.903;0.903;1.0;1.0;0.903;1.0;0.612;0.835;0.843;0.942;0.942;0.942;0.66;0.894;0.981;0.718;0.705;0.714;0.711;0.699;0.722;0.734;0.711;0.602;0.702;0.694;0.695;0.695
transcript13_ENSHGLG00000019563;0.903;0.903;1.0;1.0;0.903;1.0;0.612;0.835;0.843;0.942;0.942;0.942;0.66;0.894;0.981;0.718;0.705;0.714;0.711;0.699;0.722;0.734;0.711;0.602;0.702;0.694;0.695;0.695
transcript17_ENSHGLG00000019563;1.0;1.0;0.903;0.903;1.0;0.903;0.515;0.738;0.757;0.845;0.845;0.845;0.731;0.838;0.921;0.796;0.641;0.685;0.646;0.67;0.656;0.667;0.646;0.614;0.634;0.681;0.631;0.631
transcript25_ENSHGLG00000019563;0.903;0.903;1.0;1.0;0.903;1.0;0.612;0.835;0.843;0.942;0.942;0.942;0.66;0.894;0.981;0.718;0.705;0.714;0.711;0.699;0.722;0.734;0.711;0.602;0.702;0.694;0.695;0.695
transcript26_ENSHGLG00000019563;0.515;0.515;0.612;0.612;0.515;0.612;1.0;0.461;0.496;0.553;0.553;0.553;0.272;0.54;0.592;0.33;0.475;0.49;0.479;0.476;0.487;0.496;0.479;0.357;0.462;0.453;0.468;0.468
transcript27_ENSHGLG00000019563;0.738;0.738;0.835;0.835;0.738;0.835;0.461;1.0;0.789;0.887;0.887;0.887;0.588;0.743;0.816;0.553;0.586;0.62;0.591;0.606;0.6;0.61;0.591;0.5;0.577;0.569;0.577;0.577
transcript0_ENSHGLG00100006079;0.757;0.757;0.843;0.843;0.757;0.843;0.496;0.789;1.0;0.89;0.89;0.89;0.624;0.897;0.826;0.591;0.662;0.636;0.667;0.623;0.677;0.687;0.667;0.53;0.644;0.649;0.652;0.652
transcript13_ENSHGLG00100006079;0.845;0.845;0.942;0.942;0.845;0.942;0.553;0.887;0.89;1.0;1.0;1.0;0.701;0.841;0.922;0.66;0.672;0.691;0.677;0.676;0.688;0.699;0.677;0.575;0.667;0.659;0.662;0.662
