;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.877;0.019;0.906;0.659;0.15;0.147;0.821;0.546;0.16;0.804;0.858;0.375;0.875
ENST00000295894_90_90;0.877;1.0;0.02;0.96;0.758;0.16;0.131;0.877;0.627;0.208;0.698;0.791;0.308;0.77
ENST00000450542_90_90;0.019;0.02;1.0;0.02;0.026;0.346;0.0;0.119;0.026;0.0;0.019;0.02;0.039;0.065
ENST00000460711_90_90;0.906;0.96;0.02;1.0;0.728;0.155;0.126;0.845;0.604;0.199;0.731;0.828;0.345;0.803
ENST00000465156_90_90;0.659;0.758;0.026;0.728;1.0;0.178;0.17;0.659;0.404;0.241;0.5;0.574;0.393;0.578
ENST00000468110_90_90;0.15;0.16;0.346;0.155;0.178;1.0;0.295;0.263;0.204;0.566;0.047;0.049;0.26;0.186
ENST00000472899_90_90;0.147;0.131;0.0;0.126;0.17;0.295;1.0;0.093;0.169;0.529;0.08;0.117;0.403;0.128
ENST00000478300_90_90;0.821;0.877;0.119;0.845;0.659;0.263;0.093;1.0;0.546;0.16;0.657;0.698;0.257;0.808
ENST00000479198_90_90;0.546;0.627;0.026;0.604;0.404;0.204;0.169;0.546;1.0;0.272;0.408;0.469;0.391;0.483
ENST00000498449_90_90;0.16;0.208;0.0;0.199;0.241;0.566;0.529;0.16;0.272;1.0;0.049;0.081;0.377;0.14
ENSMUST00000070323_90_90;0.804;0.698;0.019;0.731;0.5;0.047;0.08;0.657;0.408;0.049;1.0;0.877;0.259;0.728
ENSMUST00000112656_90_90;0.858;0.791;0.02;0.828;0.574;0.049;0.117;0.698;0.469;0.081;0.877;1.0;0.31;0.772
ENSMUST00000153954_90_90;0.375;0.308;0.039;0.345;0.393;0.26;0.403;0.257;0.391;0.377;0.259;0.31;1.0;0.352
ENSMUST00000223583_90_90;0.875;0.77;0.065;0.803;0.578;0.186;0.128;0.808;0.483;0.14;0.728;0.772;0.352;1.0
