;transcript7_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00000018457;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.798;0.791;0.999;0.999;0.782;0.798;0.798;0.748;0.798;0.798
transcript33_ENSCGRG00015005362;0.798;1.0;0.993;0.799;0.799;0.984;1.0;1.0;0.95;1.0;1.0
transcript41_ENSCGRG00015005362;0.791;0.993;1.0;0.792;0.792;0.976;0.993;0.993;0.943;0.993;0.993
transcript42_ENSCGRG00015005362;0.999;0.799;0.792;1.0;1.0;0.783;0.799;0.799;0.749;0.799;0.799
transcript43_ENSCGRG00015005362;0.999;0.799;0.792;1.0;1.0;0.783;0.799;0.799;0.749;0.799;0.799
transcript7_ENSCGRG00000018457;0.782;0.984;0.976;0.783;0.783;1.0;0.984;0.984;0.966;0.984;0.984
transcript33_ENSCGRG00000018457;0.798;1.0;0.993;0.799;0.799;0.984;1.0;1.0;0.95;1.0;1.0
transcript46_ENSCGRG00000018457;0.798;1.0;0.993;0.799;0.799;0.984;1.0;1.0;0.95;1.0;1.0
transcript47_ENSCGRG00000018457;0.748;0.95;0.943;0.749;0.749;0.966;0.95;0.95;1.0;0.95;0.95
transcript33_ENSCGRG00001010245;0.798;1.0;0.993;0.799;0.799;0.984;1.0;1.0;0.95;1.0;1.0
transcript40_ENSCGRG00001010245;0.798;1.0;0.993;0.799;0.799;0.984;1.0;1.0;0.95;1.0;1.0
