;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.994;0.859;0.25;0.031;0.12;0.366;0.998;0.379;0.226;0.837
ENST00000260643_90_90;0.994;1.0;0.861;0.253;0.031;0.12;0.369;0.997;0.378;0.227;0.836
ENST00000406567_90_90;0.859;0.861;1.0;0.114;0.015;0.139;0.252;0.861;0.247;0.264;0.7
ENST00000430533_90_90;0.25;0.253;0.114;1.0;0.117;0.0;0.498;0.251;0.381;0.093;0.298
ENST00000441451_90_90;0.031;0.031;0.015;0.117;1.0;0.0;0.072;0.031;0.038;0.0;0.037
ENST00000444452_90_90;0.12;0.12;0.139;0.0;0.0;1.0;0.0;0.12;0.0;0.0;0.143
ENST00000456259_90_90;0.366;0.369;0.252;0.498;0.072;0.0;1.0;0.367;0.364;0.067;0.214
ENSMUST00000074840_90_90;0.998;0.997;0.861;0.251;0.031;0.12;0.367;1.0;0.38;0.227;0.839
ENSMUST00000201002_90_90;0.379;0.378;0.247;0.381;0.038;0.0;0.364;0.38;1.0;0.101;0.397
ENSMUST00000201821_90_90;0.226;0.227;0.264;0.093;0.0;0.0;0.067;0.227;0.101;1.0;0.27
ENSMUST00000202567_90_90;0.837;0.836;0.7;0.298;0.037;0.143;0.214;0.839;0.397;0.27;1.0
