;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;1.0;0.65;0.45;0.95;0.7;0.7;0.95;0.95;0.45;0.15;0.45;1.0;0.9;1.0;0.5;0.4;0.6;0.9;0.9;0.95;0.65;0.7;0.95;0.7;0.933;0.933;0.933;0.933;0.867;0.733
ENSCAFT00000010587_90_90;1.0;1.0;0.838;0.541;0.973;1.0;0.932;0.905;0.973;0.23;0.297;0.243;0.949;0.872;0.949;0.769;0.641;0.256;0.641;0.641;0.973;0.838;1.0;0.905;0.932;1.0;1.0;0.37;0.37;1.0;1.0
ENST00000360332_90_90;0.65;0.838;1.0;0.635;0.698;0.838;0.861;0.714;0.698;0.274;0.349;0.29;0.707;0.763;0.707;0.537;0.611;0.323;0.806;0.806;0.698;1.0;0.838;0.714;0.861;0.667;0.667;0.357;0.357;0.667;0.667
ENST00000374174_90_90;0.45;0.541;0.635;1.0;0.471;0.533;0.548;0.482;0.471;0.415;0.524;0.439;0.707;0.763;0.707;0.537;0.611;0.323;0.806;0.806;0.476;0.645;0.541;0.488;0.556;0.273;0.273;0.0;0.0;0.273;0.273
ENST00000374176_90_90;0.95;0.973;0.698;0.471;1.0;0.837;0.753;0.908;1.0;0.202;0.259;0.214;0.902;0.829;0.902;0.732;0.61;0.256;0.641;0.641;1.0;0.698;0.837;0.908;0.753;0.97;0.97;0.455;0.455;0.97;0.97
ENST00000374179_90_90;0.7;1.0;0.838;0.533;0.837;1.0;0.896;0.753;0.837;0.23;0.293;0.243;0.902;0.829;0.902;0.732;0.61;0.256;0.641;0.641;0.837;0.838;1.0;0.753;0.896;0.818;0.818;0.303;0.303;0.818;0.818
ENST00000374182_90_90;0.7;0.932;0.861;0.548;0.753;0.896;1.0;0.833;0.753;0.236;0.301;0.25;0.829;0.756;0.829;0.659;0.615;0.278;0.694;0.694;0.753;0.861;0.896;0.833;1.0;0.727;0.727;0.333;0.333;0.727;0.727
ENST00000374189_90_90;0.95;0.905;0.714;0.482;0.908;0.753;0.833;1.0;0.908;0.207;0.265;0.22;0.829;0.756;0.829;0.659;0.615;0.278;0.694;0.694;0.908;0.714;0.753;1.0;0.833;0.879;0.879;0.5;0.5;0.879;0.879
ENST00000395611_90_90;0.95;0.973;0.698;0.471;1.0;0.837;0.753;0.908;1.0;0.202;0.259;0.214;0.902;0.829;0.902;0.732;0.61;0.256;0.641;0.641;1.0;0.698;0.837;0.908;0.753;0.97;0.97;0.455;0.455;0.97;0.97
ENST00000426557_90_90;0.45;0.23;0.274;0.415;0.202;0.23;0.236;0.207;0.202;1.0;0.25;0.944;0.325;0.351;0.325;0.15;0.171;0.714;0.5;0.5;0.202;0.274;0.23;0.207;0.236;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000429041_90_90;0.15;0.297;0.349;0.524;0.259;0.293;0.301;0.265;0.259;0.25;1.0;0.281;0.35;0.378;0.35;0.424;0.5;0.087;0.538;0.538;0.262;0.355;0.297;0.268;0.306;0.212;0.212;0.0;0.0;0.212;0.212
ENST00000432379_90_90;0.45;0.243;0.29;0.439;0.214;0.243;0.25;0.22;0.214;0.944;0.281;1.0;0.325;0.351;0.325;0.15;0.171;0.714;0.5;0.5;0.214;0.29;0.243;0.22;0.25;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000229794_90_90;1.0;0.949;0.707;0.707;0.902;0.902;0.829;0.829;0.902;0.325;0.35;0.325;1.0;0.929;0.964;0.764;0.618;0.214;0.625;0.625;0.902;0.707;0.902;0.829;0.829;1.0;1.0;0.0;0.0;1.0;1.0
ENST00000229795_90_90;0.9;0.872;0.763;0.763;0.829;0.829;0.756;0.756;0.829;0.351;0.378;0.351;0.929;1.0;0.893;0.696;0.642;0.222;0.648;0.648;0.829;0.763;0.829;0.756;0.756;1.0;1.0;0.0;0.0;1.0;1.0
ENST00000310795_90_90;1.0;0.949;0.707;0.707;0.902;0.902;0.829;0.829;0.902;0.325;0.35;0.325;0.964;0.893;1.0;0.727;0.642;0.222;0.648;0.648;0.902;0.707;0.902;0.829;0.829;1.0;1.0;0.0;0.0;1.0;1.0
ENST00000468133_90_90;0.5;0.769;0.537;0.537;0.732;0.732;0.659;0.659;0.732;0.15;0.424;0.15;0.764;0.696;0.727;1.0;0.81;0.038;0.393;0.393;0.732;0.537;0.732;0.659;0.659;1.0;1.0;0.0;0.0;1.0;1.0
ENST00000472333_90_90;0.4;0.641;0.611;0.611;0.61;0.61;0.615;0.615;0.61;0.171;0.5;0.171;0.618;0.642;0.642;0.81;1.0;0.044;0.458;0.458;0.61;0.611;0.61;0.615;0.615;0.9;0.9;0.0;0.0;0.9;0.9
ENST00000474429_90_90;0.6;0.256;0.323;0.323;0.256;0.256;0.278;0.278;0.256;0.714;0.087;0.714;0.214;0.222;0.222;0.038;0.044;1.0;0.324;0.324;0.256;0.323;0.256;0.278;0.278;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000491957_90_90;0.9;0.641;0.806;0.806;0.641;0.641;0.694;0.694;0.641;0.5;0.538;0.5;0.625;0.648;0.648;0.393;0.458;0.324;1.0;1.0;0.641;0.806;0.641;0.694;0.694;0.5;0.5;0.0;0.0;0.5;0.5
ENST00000622903_90_90;0.9;0.641;0.806;0.806;0.641;0.641;0.694;0.694;0.641;0.5;0.538;0.5;0.625;0.648;0.648;0.393;0.458;0.324;1.0;1.0;0.641;0.806;0.641;0.694;0.694;0.5;0.5;0.0;0.0;0.5;0.5
ENSMUST00000022504_90_90;0.95;0.973;0.698;0.476;1.0;0.837;0.753;0.908;1.0;0.202;0.262;0.214;0.902;0.829;0.902;0.732;0.61;0.256;0.641;0.641;1.0;0.698;0.837;0.908;0.753;0.97;0.97;0.455;0.455;0.97;0.97
ENSMUST00000111942_90_90;0.65;0.838;1.0;0.645;0.698;0.838;0.861;0.714;0.698;0.274;0.355;0.29;0.707;0.763;0.707;0.537;0.611;0.323;0.806;0.806;0.698;1.0;0.838;0.714;0.861;0.667;0.667;0.357;0.357;0.667;0.667
