;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript48_ENSMUGG00000013649;transcript8_ENSRNOG00000031503;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript25_ENSPEMG00000024651;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSMUGG00000013592;transcript47_ENSMUGG00000013649;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.667;0.667;0.333;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;1.0;1.0;0.158;0.133;0.136;0.136;0.125;0.2;0.125;0.118;0.083;0.042;0.125;0.136;0.136;0.136;1.0;0.125;0.125
transcript55_ENSMUSG00000054036;1.0;0.158;1.0;0.8;0.818;0.818;0.792;0.467;0.688;0.458;0.75;0.708;0.792;0.818;0.818;0.818;0.158;0.792;0.792
transcript42_ENSRNOG00000031503;1.0;0.133;0.8;1.0;1.0;1.0;1.0;0.667;1.0;0.667;1.0;0.933;1.0;1.0;1.0;1.0;0.133;1.0;1.0
transcript54_ENSMUGG00000013592;1.0;0.136;0.818;1.0;1.0;0.86;0.86;0.714;1.0;0.682;0.955;0.909;0.9;0.9;0.84;0.82;0.067;0.82;0.88
transcript53_ENSMUGG00000013592;1.0;0.136;0.818;1.0;0.86;1.0;0.92;0.714;1.0;0.682;0.955;0.909;0.96;0.96;0.9;0.88;0.062;0.88;0.94
transcript48_ENSMUGG00000013649;1.0;0.125;0.792;1.0;0.86;0.92;1.0;0.667;1.0;0.667;0.958;0.917;0.956;0.96;0.9;0.88;0.046;0.868;0.97
transcript8_ENSRNOG00000031503;1.0;0.2;0.467;0.667;0.714;0.714;0.667;1.0;1.0;1.0;0.667;0.6;0.667;0.714;0.714;0.714;0.2;0.667;0.667
transcript8_ENSMSIG00000000513;1.0;0.125;0.688;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.938;1.0;1.0;1.0;1.0;0.125;1.0;1.0
transcript8_ENSMUSG00000054036;0.667;0.118;0.458;0.667;0.682;0.682;0.667;1.0;1.0;1.0;0.696;0.652;0.667;0.682;0.682;0.682;0.118;0.667;0.667
transcript42_ENSMUSG00000054036;0.667;0.083;0.75;1.0;0.955;0.955;0.958;0.667;1.0;0.696;1.0;0.957;0.958;0.955;0.955;0.955;0.083;0.958;0.958
transcript54_ENSMUSG00000054036;0.333;0.042;0.708;0.933;0.909;0.909;0.917;0.6;0.938;0.652;0.957;1.0;0.917;0.909;0.909;0.909;0.042;0.917;0.917
transcript25_ENSPEMG00000024651;1.0;0.125;0.792;1.0;0.9;0.96;0.956;0.667;1.0;0.667;0.958;0.917;1.0;1.0;0.94;0.92;0.044;0.912;0.985
transcript28_ENSMUGG00000013592;1.0;0.136;0.818;1.0;0.9;0.96;0.96;0.714;1.0;0.682;0.955;0.909;1.0;1.0;0.94;0.92;0.06;0.92;0.98
transcript52_ENSMUGG00000013592;1.0;0.136;0.818;1.0;0.84;0.9;0.9;0.714;1.0;0.682;0.955;0.909;0.94;0.94;1.0;0.979;0.064;0.979;0.92
transcript7_ENSMUGG00000013592;1.0;0.136;0.818;1.0;0.82;0.88;0.88;0.714;1.0;0.682;0.955;0.909;0.92;0.92;0.979;1.0;0.065;1.0;0.9
transcript47_ENSMUGG00000013649;1.0;1.0;0.158;0.133;0.067;0.062;0.046;0.2;0.125;0.118;0.083;0.042;0.044;0.06;0.064;0.065;1.0;0.048;0.045
transcript7_ENSMUGG00000013649;1.0;0.125;0.792;1.0;0.82;0.88;0.868;0.667;1.0;0.667;0.958;0.917;0.912;0.92;0.979;1.0;0.048;1.0;0.897
transcript44_ENSMUGG00000013649;1.0;0.125;0.792;1.0;0.88;0.94;0.97;0.667;1.0;0.667;0.958;0.917;0.985;0.98;0.92;0.9;0.045;0.897;1.0
