;transcript16_ENSXMAG00000026005;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript12_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript22_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript17_ENSXMAG00000026005;transcript3_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript16_ENSXMAG00000026005;1.0;0.802;0.802;0.738;0.736;0.29;0.196;0.698;0.718;0.767;0.767;0.418;0.253;0.385;0.179;0.758;0.829;0.746;0.72;0.946;0.946;0.696;0.696;0.548
transcript19_ENSAPOG00000016134;0.802;1.0;1.0;0.884;0.879;0.434;0.303;0.869;0.885;1.0;1.0;0.593;0.396;0.56;0.317;0.869;1.0;0.903;0.869;0.831;0.831;1.0;1.0;0.819
transcript19_ENSAPOG00000023408;0.802;1.0;1.0;0.884;0.879;0.434;0.303;0.869;0.885;1.0;1.0;0.593;0.396;0.56;0.317;0.869;1.0;0.903;0.869;0.831;0.831;1.0;1.0;0.819
transcript22_ENSAPOG00000016134;0.738;0.884;0.884;1.0;1.0;0.466;0.326;0.751;0.766;0.884;0.884;0.508;0.417;0.473;0.331;1.0;0.884;0.784;0.751;0.715;0.715;0.884;0.884;0.701
transcript22_ENSAPOG00000023408;0.736;0.879;0.879;1.0;1.0;0.466;0.326;0.747;0.762;0.879;0.879;0.504;0.417;0.47;0.331;1.0;0.879;0.78;0.747;0.713;0.713;0.879;0.879;0.696
transcript27_ENSAPOG00000016134;0.29;0.434;0.434;0.466;0.466;1.0;0.702;0.504;0.282;0.434;0.434;0.566;1.0;0.605;0.834;0.466;0.434;0.289;0.504;0.284;0.284;0.434;0.434;0.501
transcript28_ENSAPOG00000016134;0.196;0.303;0.303;0.326;0.326;0.702;1.0;0.358;0.362;0.303;0.303;0.397;0.702;0.425;1.0;0.326;0.303;0.136;0.358;0.193;0.193;0.303;0.303;0.353
transcript32_ENSAPOG00000023408;0.698;0.869;0.869;0.751;0.747;0.504;0.358;1.0;0.754;0.869;0.869;0.461;0.405;0.483;0.323;0.739;0.869;0.766;1.0;0.726;0.726;0.869;0.869;0.688
transcript33_ENSAPOG00000023408;0.718;0.885;0.885;0.766;0.762;0.282;0.362;0.754;1.0;0.885;0.885;0.477;0.258;0.441;0.32;0.754;0.885;0.782;0.754;0.745;0.745;0.885;0.885;0.704
transcript19_ENSAOCG00000015695;0.767;1.0;1.0;0.884;0.879;0.434;0.303;0.869;0.885;1.0;1.0;0.593;0.396;0.56;0.317;0.869;1.0;0.903;0.869;0.795;0.795;1.0;1.0;0.801
transcript12_ENSAOCG00000015695;0.767;1.0;1.0;0.884;0.879;0.434;0.303;0.869;0.885;1.0;1.0;0.593;0.396;0.56;0.317;0.869;1.0;0.903;0.869;0.795;0.795;1.0;1.0;0.801
transcript26_ENSAOCG00000015695;0.418;0.593;0.593;0.508;0.504;0.566;0.397;0.461;0.477;0.593;0.593;1.0;0.664;0.945;0.608;0.498;0.593;0.485;0.461;0.447;0.447;0.593;0.593;0.647
transcript27_ENSAOCG00000015695;0.253;0.396;0.396;0.417;0.417;1.0;0.702;0.405;0.258;0.396;0.396;0.664;1.0;0.685;0.834;0.417;0.396;0.262;0.405;0.248;0.248;0.396;0.396;0.468
transcript29_ENSAOCG00000015695;0.385;0.56;0.56;0.473;0.47;0.605;0.425;0.483;0.441;0.56;0.56;0.945;0.685;1.0;0.621;0.463;0.56;0.448;0.483;0.413;0.413;0.56;0.56;0.612
transcript28_ENSAOCG00000015695;0.179;0.317;0.317;0.331;0.331;0.834;1.0;0.323;0.32;0.317;0.317;0.608;0.834;0.621;1.0;0.331;0.317;0.142;0.323;0.176;0.176;0.317;0.317;0.389
transcript22_ENSPNYG00000024266;0.758;0.869;0.869;1.0;1.0;0.466;0.326;0.739;0.754;0.869;0.869;0.498;0.417;0.463;0.331;1.0;0.869;0.77;0.739;0.724;0.724;0.869;0.869;0.642
transcript12_ENSPNYG00000024266;0.829;1.0;1.0;0.884;0.879;0.434;0.303;0.869;0.885;1.0;1.0;0.593;0.396;0.56;0.317;0.869;1.0;0.903;0.869;0.847;0.847;1.0;1.0;0.769
transcript21_ENSPNYG00000024266;0.746;0.903;0.903;0.784;0.78;0.289;0.136;0.766;0.782;0.903;0.903;0.485;0.262;0.448;0.142;0.77;0.903;1.0;0.766;0.765;0.765;0.903;0.903;0.673
transcript14_ENSPNYG00000024266;0.72;0.869;0.869;0.751;0.747;0.504;0.358;1.0;0.754;0.869;0.869;0.461;0.405;0.483;0.323;0.739;0.869;0.766;1.0;0.74;0.74;0.869;0.869;0.647
