;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;1.0;0.946;0.862;0.437;0.623;0.259;0.704;0.242;0.59;0.315;0.862;0.808;0.946;0.37;0.24;0.072;0.608;0.424;0.303;1.0
ENST00000313899_90_90;1.0;1.0;0.946;0.862;0.437;0.623;0.259;0.684;0.242;0.59;0.315;0.862;0.808;0.946;0.37;0.24;0.072;0.608;0.424;0.303;1.0
ENST00000352301_90_90;0.946;0.946;1.0;0.808;0.461;0.569;0.206;0.632;0.256;0.623;0.332;0.808;0.854;1.0;0.391;0.254;0.076;0.614;0.448;0.32;0.946
ENST00000353341_90_90;0.862;0.862;0.808;1.0;0.507;0.722;0.301;0.574;0.281;0.684;0.365;1.0;0.938;0.808;0.232;0.279;0.083;0.706;0.492;0.352;0.862
ENST00000503822_90_90;0.437;0.437;0.461;0.507;1.0;0.701;0.42;0.229;0.555;0.269;0.399;0.505;0.538;0.46;0.0;0.552;0.165;0.265;0.063;0.41;0.435
ENST00000507010_90_90;0.623;0.623;0.569;0.722;0.701;1.0;0.416;0.424;0.389;0.406;0.505;0.721;0.659;0.568;0.0;0.386;0.115;0.427;0.213;0.488;0.621
ENST00000509107_90_90;0.259;0.259;0.206;0.301;0.42;0.416;1.0;0.206;0.216;0.159;0.244;0.302;0.239;0.206;0.0;0.218;0.275;0.182;0.0;0.251;0.26
ENST00000509263_90_90;0.704;0.684;0.632;0.574;0.229;0.424;0.206;1.0;0.025;0.665;0.428;0.593;0.539;0.653;0.374;0.026;0.101;0.713;0.472;0.429;0.706
ENST00000513584_90_90;0.242;0.242;0.256;0.281;0.555;0.389;0.216;0.025;1.0;0.029;0.044;0.279;0.297;0.254;0.0;1.0;0.0;0.029;0.023;0.045;0.24
ENST00000514671_90_90;0.59;0.59;0.623;0.684;0.269;0.406;0.159;0.665;0.029;1.0;0.533;0.686;0.732;0.625;0.317;0.029;0.121;0.972;0.717;0.513;0.591
ENST00000515432_90_90;0.315;0.315;0.332;0.365;0.399;0.505;0.244;0.428;0.044;0.533;1.0;0.366;0.39;0.333;0.0;0.044;0.227;0.519;0.258;0.961;0.315
ENSMUST00000019128_90_90;0.862;0.862;0.808;1.0;0.505;0.721;0.302;0.593;0.279;0.686;0.366;1.0;0.938;0.808;0.231;0.281;0.083;0.704;0.49;0.351;0.862
ENSMUST00000072750_90_90;0.808;0.808;0.854;0.938;0.538;0.659;0.239;0.539;0.297;0.732;0.39;0.938;1.0;0.854;0.244;0.3;0.088;0.714;0.523;0.374;0.808
ENSMUST00000112939_90_90;0.946;0.946;1.0;0.808;0.46;0.568;0.206;0.653;0.254;0.625;0.333;0.808;0.854;1.0;0.39;0.256;0.075;0.612;0.446;0.319;0.946
ENSMUST00000164833_90_90;0.37;0.37;0.391;0.232;0.0;0.0;0.0;0.374;0.0;0.317;0.0;0.231;0.244;0.39;1.0;0.0;0.0;0.31;0.412;0.0;0.369
ENSMUST00000168396_90_90;0.24;0.24;0.254;0.279;0.552;0.386;0.218;0.026;1.0;0.029;0.044;0.281;0.3;0.256;0.0;1.0;0.0;0.028;0.023;0.045;0.242
ENSMUST00000170912_90_90;0.072;0.072;0.076;0.083;0.165;0.115;0.275;0.101;0.0;0.121;0.227;0.083;0.088;0.075;0.0;0.0;1.0;0.118;0.0;0.236;0.071
ENSMUST00000171106_90_90;0.608;0.608;0.614;0.706;0.265;0.427;0.182;0.713;0.029;0.972;0.519;0.704;0.714;0.612;0.31;0.028;0.118;1.0;0.697;0.498;0.607
ENSMUST00000171640_90_90;0.424;0.424;0.448;0.492;0.063;0.213;0.0;0.472;0.023;0.717;0.258;0.49;0.523;0.446;0.412;0.023;0.0;0.697;1.0;0.237;0.423
ENSMUST00000171786_90_90;0.303;0.303;0.32;0.352;0.41;0.488;0.251;0.429;0.045;0.513;0.961;0.351;0.374;0.319;0.0;0.045;0.236;0.498;0.237;1.0;0.302
ENSMUST00000172361_90_90;1.0;1.0;0.946;0.862;0.435;0.621;0.26;0.706;0.24;0.591;0.315;0.862;0.808;0.946;0.369;0.242;0.071;0.607;0.423;0.302;1.0
