;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.538;0.971;0.842;0.092;0.129;0.065;0.215;0.684;0.038;0.497;0.524;0.538;0.524;0.538;0.524;0.538;0.842;0.999
ENSCAFT00000021670_90_90;0.538;1.0;0.539;0.615;0.079;0.019;0.059;0.179;0.38;0.034;0.274;0.971;1.0;0.971;1.0;0.971;1.0;0.615;0.539
ENST00000265969_90_90;0.971;0.539;1.0;0.843;0.093;0.131;0.066;0.216;0.686;0.038;0.52;0.524;0.539;0.524;0.539;0.524;0.539;0.843;0.972
ENST00000379472_90_90;0.842;0.615;0.843;1.0;0.1;0.024;0.074;0.244;0.599;0.043;0.371;0.593;0.615;0.593;0.615;0.593;0.615;1.0;0.843
ENST00000638366_90_90;0.092;0.079;0.093;0.1;1.0;0.12;0.308;0.26;0.107;0.196;0.174;0.058;0.079;0.058;0.079;0.058;0.079;0.1;0.093
ENST00000638825_90_90;0.129;0.019;0.131;0.024;0.12;1.0;0.082;0.056;0.152;0.102;0.251;0.0;0.019;0.0;0.019;0.0;0.019;0.024;0.13
ENST00000639325_90_90;0.065;0.059;0.066;0.074;0.308;0.082;1.0;0.446;0.205;0.671;0.116;0.039;0.059;0.039;0.059;0.039;0.059;0.074;0.066
ENST00000639495_90_90;0.215;0.179;0.216;0.244;0.26;0.056;0.446;1.0;0.36;0.382;0.389;0.16;0.179;0.16;0.179;0.16;0.179;0.244;0.216
ENST00000640318_90_90;0.684;0.38;0.686;0.599;0.107;0.152;0.205;0.36;1.0;0.138;0.54;0.365;0.38;0.365;0.38;0.365;0.38;0.599;0.685
ENST00000640461_90_90;0.038;0.034;0.038;0.043;0.196;0.102;0.671;0.382;0.138;1.0;0.069;0.014;0.034;0.014;0.034;0.014;0.034;0.043;0.038
ENST00000640909_90_90;0.497;0.274;0.52;0.371;0.174;0.251;0.116;0.389;0.54;0.069;1.0;0.257;0.274;0.257;0.274;0.257;0.274;0.371;0.498
ENST00000302127_90_90;0.524;0.971;0.524;0.593;0.058;0.0;0.039;0.16;0.365;0.014;0.257;1.0;0.971;1.0;0.971;1.0;0.971;0.593;0.524
ENST00000315987_90_90;0.538;1.0;0.539;0.615;0.079;0.019;0.059;0.179;0.38;0.034;0.274;0.971;1.0;0.971;1.0;0.971;1.0;0.615;0.539
ENST00000369697_90_90;0.524;0.971;0.524;0.593;0.058;0.0;0.039;0.16;0.365;0.014;0.257;1.0;0.971;1.0;0.971;1.0;0.971;0.593;0.524
ENSMUST00000079169_90_90;0.538;1.0;0.539;0.615;0.079;0.019;0.059;0.179;0.38;0.034;0.274;0.971;1.0;0.971;1.0;0.971;1.0;0.615;0.539
ENSMUST00000098761_90_90;0.524;0.971;0.524;0.593;0.058;0.0;0.039;0.16;0.365;0.014;0.257;1.0;0.971;1.0;0.971;1.0;0.971;0.593;0.524
ENSMUST00000118360_90_90;0.538;1.0;0.539;0.615;0.079;0.019;0.059;0.179;0.38;0.034;0.274;0.971;1.0;0.971;1.0;0.971;1.0;0.615;0.539
ENSMUST00000025202_90_90;0.842;0.615;0.843;1.0;0.1;0.024;0.074;0.244;0.599;0.043;0.371;0.593;0.615;0.593;0.615;0.593;0.615;1.0;0.843
ENSMUST00000160433_90_90;0.999;0.539;0.972;0.843;0.093;0.13;0.066;0.216;0.685;0.038;0.498;0.524;0.539;0.524;0.539;0.524;0.539;0.843;1.0
