;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.766;0.667;0.722;0.723;0.786;0.832;0.819;0.667;0.042;0.819;0.52;0.786;0.819;0.431
ENSCAFT00000018912_90_90;0.766;1.0;0.709;0.766;0.83;0.897;0.901;0.931;0.709;0.042;0.931;0.519;0.897;0.931;0.431
ENST00000400304_90_90;0.667;0.709;1.0;0.769;0.72;0.787;0.67;0.762;1.0;0.053;0.762;0.586;0.787;0.762;0.495
ENST00000400305_90_90;0.722;0.766;0.769;1.0;0.849;0.789;0.728;0.827;0.769;0.054;0.827;0.498;0.789;0.827;0.404
ENST00000400308_90_90;0.723;0.83;0.72;0.849;1.0;0.927;0.795;0.893;0.72;0.049;0.893;0.464;0.927;0.893;0.376
ENST00000400309_90_90;0.786;0.897;0.787;0.789;0.927;1.0;0.865;0.963;0.787;0.045;0.963;0.536;1.0;0.963;0.448
ENST00000400310_90_90;0.832;0.901;0.67;0.728;0.795;0.865;1.0;0.901;0.67;0.049;0.901;0.572;0.865;0.901;0.479
ENST00000400314_90_90;0.819;0.931;0.762;0.827;0.893;0.963;0.901;1.0;0.762;0.042;1.0;0.519;0.963;1.0;0.431
ENST00000449640_90_90;0.667;0.709;1.0;0.769;0.72;0.787;0.67;0.762;1.0;0.053;0.762;0.586;0.787;0.762;0.495
ENST00000549265_90_90;0.042;0.042;0.053;0.054;0.049;0.045;0.049;0.042;0.053;1.0;0.042;0.096;0.045;0.042;0.0
ENSMUST00000001148_90_90;0.819;0.931;0.762;0.827;0.893;0.963;0.901;1.0;0.762;0.042;1.0;0.519;0.963;1.0;0.431
ENSMUST00000092393_90_90;0.52;0.519;0.586;0.498;0.464;0.536;0.572;0.519;0.586;0.096;0.519;1.0;0.536;0.519;0.358
ENSMUST00000105411_90_90;0.786;0.897;0.787;0.789;0.927;1.0;0.865;0.963;0.787;0.045;0.963;0.536;1.0;0.963;0.448
ENSMUST00000168465_90_90;0.819;0.931;0.762;0.827;0.893;0.963;0.901;1.0;0.762;0.042;1.0;0.519;0.963;1.0;0.431
ENSMUST00000173854_90_90;0.431;0.431;0.495;0.404;0.376;0.448;0.479;0.431;0.495;0.0;0.431;0.358;0.448;0.431;1.0
