;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.843;0.297;0.311;0.297;0.297;0.303;0.303;0.308;0.297;0.294;0.308;0.12;0.291;0.291;0.291;0.292;0.255;0.233;0.235;0.289;0.289;0.205;0.289
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.843;0.297;0.311;0.297;0.297;0.303;0.303;0.308;0.297;0.294;0.308;0.12;0.291;0.291;0.291;0.292;0.255;0.233;0.235;0.289;0.289;0.205;0.289
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.843;0.297;0.311;0.297;0.297;0.303;0.303;0.308;0.297;0.294;0.308;0.12;0.291;0.291;0.291;0.292;0.255;0.233;0.235;0.289;0.289;0.205;0.289
transcript38_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.843;0.297;0.311;0.297;0.297;0.303;0.303;0.308;0.297;0.294;0.308;0.12;0.291;0.291;0.291;0.292;0.255;0.233;0.235;0.289;0.289;0.205;0.289
transcript8_ENSRNOG00000031503;0.843;0.843;0.843;0.843;1.0;0.274;0.287;0.274;0.274;0.279;0.279;0.284;0.274;0.271;0.284;0.118;0.271;0.271;0.271;0.272;0.222;0.2;0.202;0.266;0.266;0.187;0.266
transcript32_ENSCGRG00015005362;0.297;0.297;0.297;0.297;0.274;1.0;0.955;1.0;1.0;0.981;0.983;0.912;1.0;0.956;0.912;0.775;0.791;0.834;0.791;0.833;0.652;0.635;0.639;0.973;0.973;0.883;0.973
transcript33_ENSCGRG00015005362;0.311;0.311;0.311;0.311;0.287;0.955;1.0;0.955;0.955;0.936;0.937;0.954;0.955;0.912;0.954;0.731;0.785;0.829;0.785;0.827;0.608;0.591;0.594;0.928;0.928;0.839;0.928
transcript22_ENSCGRG00000018457;0.297;0.297;0.297;0.297;0.274;1.0;0.955;1.0;1.0;0.981;0.983;0.912;1.0;0.956;0.912;0.775;0.791;0.834;0.791;0.833;0.652;0.635;0.639;0.973;0.973;0.883;0.973
transcript26_ENSCGRG00000018457;0.297;0.297;0.297;0.297;0.274;1.0;0.955;1.0;1.0;0.981;0.983;0.912;1.0;0.956;0.912;0.775;0.791;0.834;0.791;0.833;0.652;0.635;0.639;0.973;0.973;0.883;0.973
transcript42_ENSCGRG00000018457;0.303;0.303;0.303;0.303;0.279;0.981;0.936;0.981;0.981;1.0;0.964;0.893;0.981;0.938;0.893;0.756;0.778;0.821;0.778;0.819;0.644;0.627;0.631;0.954;0.954;0.865;0.954
