;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;0.806;0.75;0.625;0.75;0.806;0.036;0.75;0.214;0.179;0.071;0.286;0.071;0.258;0.633;0.241;0.625;0.25;0.867;0.806;0.806
ENST00000392476_90_90;0.806;1.0;0.931;0.793;0.931;1.0;0.036;0.931;0.214;0.179;0.071;0.286;0.071;0.345;0.75;0.241;0.793;0.25;0.806;0.75;0.75
ENST00000430767_90_90;0.75;0.931;1.0;0.857;1.0;0.931;0.036;1.0;0.214;0.179;0.071;0.286;0.071;0.345;0.75;0.241;0.857;0.25;0.75;0.806;0.75
ENST00000431431_90_90;0.625;0.793;0.857;1.0;0.857;0.793;0.0;0.857;0.071;0.036;0.083;0.333;0.0;0.4;0.607;0.231;1.0;0.107;0.625;0.677;0.625
ENST00000436233_90_90;0.75;0.931;1.0;0.857;1.0;0.931;0.036;1.0;0.214;0.179;0.071;0.286;0.071;0.345;0.75;0.241;0.857;0.25;0.75;0.806;0.75
ENST00000443798_90_90;0.806;1.0;0.931;0.793;0.931;1.0;0.036;0.931;0.214;0.179;0.071;0.286;0.071;0.345;0.75;0.241;0.793;0.25;0.806;0.75;0.75
ENST00000561721_90_90;0.036;0.036;0.036;0.0;0.036;0.036;1.0;0.036;0.167;0.2;0.0;0.0;0.5;0.0;0.048;0.0;0.0;0.143;0.036;0.036;0.036
ENST00000585618_90_90;0.75;0.931;1.0;0.857;1.0;0.931;0.036;1.0;0.214;0.179;0.071;0.286;0.071;0.345;0.75;0.241;0.857;0.25;0.75;0.806;0.75
ENST00000586429_90_90;0.214;0.214;0.214;0.071;0.214;0.214;0.167;0.214;1.0;0.833;0.0;0.167;0.333;0.0;0.286;0.273;0.071;0.857;0.214;0.214;0.214
ENST00000587820_90_90;0.179;0.179;0.179;0.036;0.179;0.179;0.2;0.179;0.833;1.0;0.0;0.083;0.4;0.0;0.238;0.182;0.036;0.714;0.179;0.179;0.179
ENST00000588488_90_90;0.071;0.071;0.071;0.083;0.071;0.071;0.0;0.071;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.083;0.0;0.071;0.071;0.071
ENST00000588616_90_90;0.286;0.286;0.286;0.333;0.286;0.286;0.0;0.286;0.167;0.083;0.0;1.0;0.0;0.118;0.381;0.6;0.333;0.25;0.286;0.286;0.286
ENST00000588880_90_90;0.071;0.071;0.071;0.0;0.071;0.071;0.5;0.071;0.333;0.4;0.0;0.0;1.0;0.0;0.095;0.0;0.0;0.286;0.071;0.071;0.071
ENST00000589202_90_90;0.258;0.345;0.345;0.4;0.345;0.345;0.0;0.345;0.0;0.0;0.0;0.118;0.0;1.0;0.455;0.056;0.4;0.0;0.219;0.219;0.219
ENST00000589827_90_90;0.633;0.75;0.75;0.607;0.75;0.75;0.048;0.75;0.286;0.238;0.0;0.381;0.095;0.455;1.0;0.318;0.607;0.333;0.581;0.581;0.581
ENST00000590483_90_90;0.241;0.241;0.241;0.231;0.241;0.241;0.0;0.241;0.273;0.182;0.0;0.6;0.0;0.056;0.318;1.0;0.231;0.364;0.241;0.241;0.241
ENST00000591437_90_90;0.625;0.793;0.857;1.0;0.857;0.793;0.0;0.857;0.071;0.036;0.083;0.333;0.0;0.4;0.607;0.231;1.0;0.107;0.625;0.677;0.625
ENST00000591786_90_90;0.25;0.25;0.25;0.107;0.25;0.25;0.143;0.25;0.857;0.714;0.0;0.25;0.286;0.0;0.333;0.364;0.107;1.0;0.25;0.25;0.25
ENSMUST00000021177_90_90;0.867;0.806;0.75;0.625;0.75;0.806;0.036;0.75;0.214;0.179;0.071;0.286;0.071;0.219;0.581;0.241;0.625;0.25;1.0;0.931;0.931
ENSMUST00000090433_90_90;0.806;0.75;0.806;0.677;0.806;0.75;0.036;0.806;0.214;0.179;0.071;0.286;0.071;0.219;0.581;0.241;0.677;0.25;0.931;1.0;0.931
ENSMUST00000103026_90_90;0.806;0.75;0.75;0.625;0.75;0.75;0.036;0.75;0.214;0.179;0.071;0.286;0.071;0.219;0.581;0.241;0.625;0.25;0.931;0.931;1.0
