;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.981;0.938;0.782;0.937;0.957;0.939;0.315;0.917;0.999;0.98;0.008;0.793;0.535;0.257;0.287;0.958;0.94;0.938;0.785;0.972;0.991
ENSCAFT00000016916_90_90;0.981;1.0;0.957;0.771;0.953;0.939;0.955;0.332;0.899;0.98;0.999;0.008;0.812;0.554;0.253;0.281;0.94;0.956;0.954;0.774;0.991;0.972
ENSCAFT00000023521_90_90;0.938;0.957;1.0;0.807;0.996;0.979;0.996;0.33;0.858;0.937;0.956;0.007;0.783;0.522;0.251;0.28;0.979;0.996;0.996;0.807;0.957;0.938
ENST00000342558_90_90;0.782;0.771;0.807;1.0;0.806;0.819;0.805;0.189;0.707;0.781;0.77;0.008;0.609;0.366;0.265;0.296;0.818;0.804;0.805;0.997;0.771;0.782
ENST00000360663_90_90;0.937;0.953;0.996;0.806;1.0;0.979;0.998;0.331;0.857;0.936;0.952;0.007;0.78;0.519;0.251;0.28;0.978;0.994;0.996;0.804;0.953;0.937
ENST00000394828_90_90;0.957;0.939;0.979;0.819;0.979;1.0;0.981;0.315;0.875;0.956;0.938;0.008;0.765;0.504;0.255;0.285;0.999;0.98;0.978;0.82;0.939;0.957
ENST00000394829_90_90;0.939;0.955;0.996;0.805;0.998;0.981;1.0;0.333;0.859;0.938;0.954;0.007;0.782;0.521;0.251;0.279;0.98;0.996;0.994;0.806;0.955;0.939
ENST00000430762_90_90;0.315;0.332;0.33;0.189;0.331;0.315;0.333;1.0;0.283;0.315;0.332;0.0;0.407;0.588;0.0;0.0;0.315;0.332;0.33;0.19;0.332;0.315
ENST00000323055_90_90;0.917;0.899;0.858;0.707;0.857;0.875;0.859;0.283;1.0;0.918;0.9;0.009;0.712;0.455;0.281;0.313;0.877;0.86;0.858;0.71;0.891;0.908
ENST00000394853_90_90;0.999;0.98;0.937;0.781;0.936;0.956;0.938;0.315;0.918;1.0;0.981;0.008;0.793;0.536;0.258;0.288;0.957;0.939;0.937;0.784;0.971;0.99
ENST00000394854_90_90;0.98;0.999;0.956;0.77;0.952;0.938;0.954;0.332;0.9;0.981;1.0;0.008;0.812;0.555;0.253;0.282;0.939;0.955;0.953;0.772;0.99;0.971
ENST00000492351_90_90;0.008;0.008;0.007;0.008;0.007;0.008;0.007;0.0;0.009;0.008;0.008;1.0;0.0;0.014;0.03;0.027;0.008;0.007;0.007;0.008;0.008;0.008
ENST00000507176_90_90;0.793;0.812;0.783;0.609;0.78;0.765;0.782;0.407;0.712;0.793;0.812;0.0;1.0;0.398;0.178;0.21;0.766;0.783;0.781;0.611;0.804;0.785
ENST00000512215_90_90;0.535;0.554;0.522;0.366;0.519;0.504;0.521;0.588;0.455;0.536;0.555;0.014;0.398;1.0;0.094;0.091;0.505;0.521;0.52;0.369;0.547;0.528
ENST00000525819_90_90;0.257;0.253;0.251;0.265;0.251;0.255;0.251;0.0;0.281;0.258;0.253;0.03;0.178;0.094;1.0;0.898;0.255;0.251;0.251;0.265;0.253;0.257
ENST00000529324_90_90;0.287;0.281;0.28;0.296;0.28;0.285;0.279;0.0;0.313;0.288;0.282;0.027;0.21;0.091;0.898;1.0;0.285;0.279;0.28;0.295;0.281;0.287
ENSMUST00000022355_90_90;0.958;0.94;0.979;0.818;0.978;0.999;0.98;0.315;0.877;0.957;0.939;0.008;0.766;0.505;0.255;0.285;1.0;0.981;0.979;0.821;0.94;0.958
ENSMUST00000159027_90_90;0.94;0.956;0.996;0.804;0.994;0.98;0.996;0.332;0.86;0.939;0.955;0.007;0.783;0.521;0.251;0.279;0.981;1.0;0.998;0.807;0.956;0.94
ENSMUST00000161445_90_90;0.938;0.954;0.996;0.805;0.996;0.978;0.994;0.33;0.858;0.937;0.953;0.007;0.781;0.52;0.251;0.28;0.979;0.998;1.0;0.805;0.954;0.938
ENSMUST00000161989_90_90;0.785;0.774;0.807;0.997;0.804;0.82;0.806;0.19;0.71;0.784;0.772;0.008;0.611;0.369;0.265;0.295;0.821;0.807;0.805;1.0;0.774;0.785
ENSMUST00000056758_90_90;0.972;0.991;0.957;0.771;0.953;0.939;0.955;0.332;0.891;0.971;0.99;0.008;0.804;0.547;0.253;0.281;0.94;0.956;0.954;0.774;1.0;0.981
ENSMUST00000070198_90_90;0.991;0.972;0.938;0.782;0.937;0.957;0.939;0.315;0.908;0.99;0.971;0.008;0.785;0.528;0.257;0.287;0.958;0.94;0.938;0.785;0.981;1.0
